ticker,event_date,form,report_date,accession,source
GOOGL,2018-04-24,10-Q,2018-03-31,0001652044-18-000016,SEC submissions filingDate
GOOGL,2018-07-24,10-Q,2018-06-30,0001652044-18-000027,SEC submissions filingDate
GOOGL,2018-10-26,10-Q,2018-09-30,0001652044-18-000035,SEC submissions filingDate
GOOGL,2019-02-05,10-K,2018-12-31,0001652044-19-000004,SEC submissions filingDate
GOOGL,2019-04-30,10-Q,2019-03-31,0001652044-19-000015,SEC submissions filingDate
GOOGL,2019-07-26,10-Q,2019-06-30,0001652044-19-000023,SEC submissions filingDate
GOOGL,2019-10-29,10-Q,2019-09-30,0001652044-19-000032,SEC submissions filingDate
GOOGL,2020-02-04,10-K,2019-12-31,0001652044-20-000008,SEC submissions filingDate
GOOGL,2020-04-29,10-Q,2020-03-31,0001652044-20-000021,SEC submissions filingDate
GOOGL,2020-07-31,10-Q,2020-06-30,0001652044-20-000032,SEC submissions filingDate
GOOGL,2020-10-30,10-Q,2020-09-30,0001652044-20-000050,SEC submissions filingDate
GOOGL,2021-02-03,10-K,2020-12-31,0001652044-21-000010,SEC submissions filingDate
GOOGL,2021-04-28,10-Q,2021-03-31,0001652044-21-000020,SEC submissions filingDate
GOOGL,2021-07-28,10-Q,2021-06-30,0001652044-21-000047,SEC submissions filingDate
GOOGL,2021-10-27,10-Q,2021-09-30,0001652044-21-000057,SEC submissions filingDate
GOOGL,2022-02-02,10-K,2021-12-31,0001652044-22-000019,SEC submissions filingDate
GOOGL,2022-04-27,10-Q,2022-03-31,0001652044-22-000029,SEC submissions filingDate
GOOGL,2022-07-27,10-Q,2022-06-30,0001652044-22-000071,SEC submissions filingDate
GOOGL,2022-10-26,10-Q,2022-09-30,0001652044-22-000090,SEC submissions filingDate
GOOGL,2023-02-03,10-K,2022-12-31,0001652044-23-000016,SEC submissions filingDate
GOOGL,2023-04-26,10-Q,2023-03-31,0001652044-23-000045,SEC submissions filingDate
GOOGL,2023-07-26,10-Q,2023-06-30,0001652044-23-000070,SEC submissions filingDate
GOOGL,2023-10-25,10-Q,2023-09-30,0001652044-23-000094,SEC submissions filingDate
GOOGL,2024-01-31,10-K,2023-12-31,0001652044-24-000022,SEC submissions filingDate
GOOGL,2024-04-26,10-Q,2024-03-31,0001652044-24-000053,SEC submissions filingDate
GOOGL,2024-07-24,10-Q,2024-06-30,0001652044-24-000079,SEC submissions filingDate
GOOGL,2024-10-30,10-Q,2024-09-30,0001652044-24-000118,SEC submissions filingDate
GOOGL,2025-02-05,10-K,2024-12-31,0001652044-25-000014,SEC submissions filingDate
GOOGL,2025-04-25,10-Q,2025-03-31,0001652044-25-000043,SEC submissions filingDate
GOOGL,2025-07-24,10-Q,2025-06-30,0001652044-25-000062,SEC submissions filingDate
GOOGL,2025-10-30,10-Q,2025-09-30,0001652044-25-000091,SEC submissions filingDate
GOOGL,2026-02-05,10-K,2025-12-31,0001652044-26-000018,SEC submissions filingDate
GOOGL,2026-04-30,10-Q,2026-03-31,0001652044-26-000048,SEC submissions filingDate
