sma160_ratio_bin,n,avg_sma160_ratio_pct,loss_rate,avg_episode_return_pct,median_episode_return_pct,avg_tqqq_episode_return_pct,tqqq_up_rate
"(0.0038399999999999997, 0.0576]",20,4.465464370718471,0.45,1.7618320185714829,1.0672786234290577,2.2992754861687654,0.55
"(0.0576, 0.0706]",19,6.365883055231025,0.2631578947368421,1.812537579670351,3.8838792916128018,0.6383080522086594,0.5263157894736842
"(0.0706, 0.0838]",19,7.691596205353264,0.3157894736842105,5.313243807253056,3.4312482302532477,2.4052375797362435,0.47368421052631576
"(0.0838, 0.105]",19,9.393283163368139,0.3684210526315789,1.9568160490051216,2.2775433318011906,2.0063372813544533,0.42105263157894735
"(0.105, 0.135]",20,11.615380527591306,0.25,7.250461717411706,4.493617543248252,2.0435762702722204,0.5
