Date,gspc_open,gspc_close,gspc_close_sma160_prev,signal_below_prev_close_sma_open,trigger_reference_tqqq_open,target_regime_at_open,overnight_regime,close_to_open_return,open_to_close_return,strategy_return,strategy_equity
2010-02-12,1075.949951171875,1075.510009765625,1050.830561065674,False,,above,above,-0.0272104352751004,0.0321781818828266,0.004092164272333276,1.0040921642723333
2010-02-16,1079.1300048828125,1094.8699951171875,1051.8008735656738,False,,above,above,0.0235078426410877,0.0148785678001617,0.038736173471820345,1.0429868525292818
2010-02-17,1096.1400146484375,1099.510009765625,1052.9006858825683,False,,above,above,0.0133924423195286,0.0035302858725203,0.016970007341968074,1.06068634707428
2010-02-18,1099.030029296875,1106.75,1053.9774360656738,False,,above,above,-0.0010199826983322,0.0199985213734683,0.01895814052934308,1.0807949878996699
2010-02-19,1105.489990234375,1109.1700439453125,1055.1488735198975,False,,above,above,-0.0067978619080868,0.006844389120171,0.0,1.0807949878996699
2010-02-22,1110.0,1108.010009765625,1056.3103736877442,False,,above,above,0.0118075042330167,-0.0186080862192008,-0.007020297042985568,1.0732074860420442
2010-02-23,1107.489990234375,1094.5999755859375,1057.6328113555908,False,,above,above,-0.0054973742635479,-0.0337299737782212,-0.0390419217520106,1.0313074033483187
2010-02-24,1095.8900146484375,1105.239990234375,1058.8570613861084,False,,above,above,0.0176285076198476,0.0123932014745242,0.030240182740999932,1.062494327687718
2010-02-25,1101.239990234375,1102.93994140625,1060.2583736419679,False,,above,above,-0.0319593342316779,0.0324255389100638,-0.0005700939572830244,1.0618886060918555
2010-02-26,1103.0999755859375,1104.489990234375,1061.6544982910157,False,,above,above,-0.0029477683883308,0.0154683560514914,0.012474990532172603,1.0751356563990735
2010-03-01,1105.3599853515625,1115.7099609375,1063.0408107757569,False,,above,above,0.0126566005956867,0.0298595935959475,0.042894115141727696,1.1212526490376324
2010-03-02,1117.010009765625,1118.31005859375,1064.5194355010985,False,,above,above,0.0088040250448135,-0.002767406357378,0.006012254372556036,1.127993905179549
2010-03-03,1119.3599853515625,1118.7900390625,1065.8773109436036,False,,above,above,0.0112108517741742,-0.0055939833601194,0.005554155095777391,1.1342589582760076
2010-03-04,1119.1199951171875,1122.969970703125,1067.2082485198976,False,,above,above,0.003501758076621,0.0075110516906964,0.011039111653239342,1.1467801695601034
2010-03-05,1125.1199951171875,1138.699951171875,1068.3975608825683,False,,above,above,0.0213126927882603,0.0224114787884048,0.044201820539013115,1.197469940812698
2010-03-08,1138.4000244140625,1138.5,1069.6348106384278,False,,above,above,0.0009074640355419,0.0044210437728631,0.005332519746628517,1.203855472918076
2010-03-09,1137.56005859375,1140.449951171875,1070.8730606079102,False,,above,above,-0.0055040455828387,0.0233343262376737,0.017701847459578035,1.2251659388630498
2010-03-10,1140.219970703125,1145.6099853515625,1072.0563102722167,False,,above,above,0.0013776540696508,0.0230611147620674,0.024470539070320818,1.2551464098376244
2010-03-11,1143.9599609375,1150.239990234375,1073.2502475738524,False,,above,above,-0.0060415052185256,0.0153436371649258,0.009209433282397095,1.2667055969586642
2010-03-12,1151.7099609375,1149.989990234375,1074.476309967041,False,,above,above,0.0110270244099659,-0.0086504302350591,0.0022812056695482585,1.269595212948095
2010-03-15,1148.530029296875,1150.510009765625,1075.5619350433349,False,,above,above,-0.0066390762446859,-9.53857863379426e-05,-0.006733828757515603,1.2610459761927408
2010-03-16,1150.8299560546875,1159.4599609375,1076.6322475433349,False,,above,above,0.0098374227969111,0.0089827788052128,0.018908568995122055,1.2848905510396023
2010-03-17,1159.93994140625,1166.2099609375,1077.7402473449706,False,,above,above,0.0028107499637497,0.0041123208031585,0.006934629472456821,1.2938007909237228
2010-03-18,1166.1300048828125,1165.8299560546875,1078.9064346313476,False,,above,above,0.003441447875822,0.0066778489546246,0.010142278299546614,1.3069228786094447
2010-03-19,1166.6800537109375,1159.9000244140625,1080.0981842041015,False,,above,above,-0.0176892755135952,0.0,-0.017689275513595226,1.2838043597347013
2010-03-22,1157.25,1165.81005859375,1081.1803718566894,False,,above,above,-0.0117230908223454,0.0391944713854228,0.027011900215292428,1.3184823549958125
2010-03-23,1166.469970703125,1174.1700439453125,1082.2949348449706,False,,above,above,0.0068484831192732,0.0139703225494376,0.020914481186861567,1.3460577294045812
2010-03-24,1172.699951171875,1167.719970703125,1083.3670600891114,False,,above,above,-0.0070655974180786,-0.007209558995994,-0.014224216572644943,1.3269111127422477
