signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share
160,0.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.686855109560718,162,0.19513393954288524,0.0
160,0.5,0.4231142626639752,0.5976960459363527,-0.7880415799167848,298.08205391145873,0.7079087531876223,198,0.16785450970754484,0.027279429835340378
160,1.0,0.4247431422425023,0.5972832641598184,-0.7880415799167845,303.6390595602011,0.7111251356422594,196,0.16711722782010321,0.02801671172278201
160,1.5,0.42828302584917166,0.5972207694418473,-0.7914929923386949,316.05238091347746,0.7171268109939276,195,0.1666257065618088,0.02850823298107643
160,2.0,0.44406897737286877,0.5969061848176435,-0.7914929923386947,377.4318745709752,0.7439510406623331,195,0.16515114278692553,0.029982796755959697
160,2.5,0.4258078527505178,0.5957215749189987,-0.809535385774597,307.3237363131642,0.7147766182690557,193,0.16416810027033668,0.030965839272548538
160,3.0,0.43193395324543693,0.5944950601878868,-0.8044589478384196,329.35271347804394,0.7265560004971726,191,0.16220201523715902,0.03293192430572622
160,3.5,0.43208536336879244,0.5942521766969965,-0.804973553308959,329.9154798496093,0.7271077504005654,190,0.16146473334971737,0.03366920619316786
160,4.0,0.43208536336879244,0.5942521766969965,-0.804973553308959,329.9154798496093,0.7271077504005654,190,0.16146473334971737,0.03366920619316786
160,4.5,0.41390346085399443,0.5934179609359784,-0.804973553308959,268.41177302063045,0.6974906189242372,189,0.16048169083312852,0.034652248709756694
160,5.0,0.43144616180175555,0.5932799361174023,-0.8049735533089587,327.5457910663325,0.7272218990334742,189,0.15900712705824527,0.03612681248463996
160,5.5,0.39732646000359084,0.5910679683737299,-0.8049735533089589,221.8704924930917,0.672217885697306,187,0.1572868026542148,0.03784713688867043
160,6.0,0.3790465978319404,0.5908185007615069,-0.8049735533089588,179.37288462873786,0.6415618287907143,185,0.15581223887933154,0.0393217006635537
160,6.5,0.385668618078717,0.5908909215951338,-0.8049735533089589,193.79800286297734,0.6526900380151197,184,0.1553207176210371,0.03981322192184812
160,7.0,0.37946255449805677,0.5900640826125262,-0.806106324500895,180.24848400426743,0.6430870233924002,184,0.15458343573359548,0.040550503809289755
160,7.5,0.38210838267358516,0.5896945018637212,-0.8000134497603955,185.9125750705487,0.647976844732208,184,0.15409191447530105,0.04104202506758417
160,8.0,0.3579141383726858,0.5883764862915727,-0.8010955305417515,139.7867449056928,0.608308025068357,181,0.15089702629638732,0.04423691324649791
160,8.5,0.3934785190711816,0.5855340061515516,-0.7940633408605334,212.20813740515345,0.6719994311813531,181,0.14647333497173753,0.0486606045711477
160,9.0,0.40090048087907615,0.5849536527974905,-0.7940633408605332,231.2133240796219,0.6853542651828981,181,0.1457360530842959,0.049397886458589335
160,9.5,0.40803840749825104,0.5837377783779306,-0.7901110413355005,250.9876803346036,0.6990097653643275,181,0.14376996805111822,0.05136397149176702
160,10.0,0.4119386149469071,0.5835766065093858,-0.7901110413355004,262.4519599524702,0.7058861002172159,181,0.143524207421971,0.05160973212091423
160,10.5,0.4010888049968726,0.5818419778993855,-0.7814854074544242,231.71571394987433,0.6893431897865412,180,0.14057507987220447,0.054558859670680755
160,11.0,0.4092884811618138,0.5820307615337071,-0.7814854074544245,254.60996985258691,0.7032076450449101,180,0.14008355861391006,0.05505038092897518
160,11.5,0.4158483402643274,0.5815568200512398,-0.7644701756854011,274.43586613382666,0.7150605511387311,180,0.13934627672646843,0.05578766281641681
160,12.0,0.4207145335082716,0.5814325895215953,-0.7644701756854011,290.0688184557096,0.723582649287748,180,0.13910051609732121,0.05603342344556402
160,12.5,0.4411812260378787,0.579566583942436,-0.7629231316608728,365.4276939197384,0.7612261270082091,180,0.13369378225608258,0.06144015728680265
160,13.0,0.46484907717984836,0.5761240275363566,-0.7629231316608731,475.3666550701182,0.8068559111614448,180,0.13099041533546327,0.06414352420742198
160,13.5,0.45177883251653084,0.5744774200341074,-0.7629231316608728,411.31870353561834,0.7864170405334786,179,0.12877856967313836,0.06635536986974687
160,14.0,0.45553227828286125,0.5734315803035035,-0.7564569699419208,428.830040577842,0.7943969148712721,178,0.12632096338166626,0.06881297616121897
160,14.5,0.4628448937856149,0.5736645986978269,-0.7561895538237497,464.9730529663436,0.8068214333536287,178,0.12533792086507742,0.06979601867780781
160,15.0,0.4628448937856149,0.5736645986978269,-0.7561895538237497,464.9730529663436,0.8068214333536287,178,0.12533792086507742,0.06979601867780781
160,15.5,0.48905269362583303,0.5721083718127227,-0.75618955382375,619.3678437983621,0.8548252703876223,178,0.12140575079872204,0.07372818874416319
160,16.0,0.4961351458446883,0.5718562650228196,-0.7561895538237499,668.6877428137751,0.8675871476635659,178,0.12091422954042762,0.07421971000245761
160,16.5,0.5059355922317434,0.5715597835513272,-0.7426635295846435,743.034295915856,0.8851840293733848,178,0.12066846891128041,0.07446547063160482
160,17.0,0.4922804490093817,0.5723705860631432,-0.7426635295846435,641.4057480191155,0.8600729335086307,176,0.1182108626198083,0.07692307692307693
160,17.5,0.4937118534749123,0.5717061305704421,-0.7426635295846435,651.4124194394809,0.8635762799714812,175,0.1157532563283362,0.07938068321454902
160,18.0,0.4937118534749123,0.5717061305704421,-0.7426635295846435,651.4124194394809,0.8635762799714812,175,0.1157532563283362,0.07938068321454902
160,18.5,0.49907467760562674,0.571552787445769,-0.7426635295846437,690.2201137525258,0.8731908732979117,175,0.11526173507004178,0.07987220447284345
160,19.0,0.4775340389248257,0.5704378618930436,-0.7426635295846437,546.3768961708871,0.8371359456051722,174,0.11329565003686409,0.08183828950602114
160,19.5,0.47582296531875556,0.5702228263655243,-0.7426635295846435,536.2493132005468,0.8344509257048637,174,0.11255836814942247,0.08257557139346276
160,20.0,0.45751652730404246,0.5678193052649635,-0.7426635295846437,438.3675766721416,0.8057431705153982,173,0.10911771934136151,0.08601622020152372
160,20.5,0.4585425372584475,0.5678431919820244,-0.7426635295846438,443.3769166605243,0.8075161307436493,173,0.1088719587122143,0.08626198083067092
160,21.0,0.45060830936926854,0.5672884037305411,-0.7426635295846438,405.9964537653917,0.7943196201544515,173,0.10862619808306709,0.08650774145981814
160,21.5,0.45982198048504763,0.5666906416245656,-0.7426635295846435,449.6988470467144,0.8114162237916065,173,0.10788891619562546,0.08724502334725977
160,22.0,0.45982198048504763,0.5666906416245656,-0.7426635295846435,449.6988470467144,0.8114162237916065,173,0.10788891619562546,0.08724502334725977
160,22.5,0.4591824858734219,0.5666997547229324,-0.7426635295846435,446.5285082882482,0.8102747213962053,173,0.10764315556647824,0.08749078397640699
160,23.0,0.4474712867643409,0.5652062598935852,-0.7426635295846438,392.04953231611324,0.7916955605703819,172,0.10543130990415335,0.08970262963873188
160,23.5,0.433212076762018,0.5583267450073747,-0.7426635295846438,334.13170720551597,0.7759113827805184,171,0.09830425165888425,0.09682968788400098
160,24.0,0.449921027642912,0.5584548622187675,-0.7426635295846438,402.90162676289475,0.8056533447579891,171,0.09805849102973703,0.0970754485131482
160,24.5,0.459668115966249,0.5501582431978441,-0.7132622041132706,448.934129821174,0.8355198193421348,171,0.0973212091422954,0.09781273040058983
160,25.0,0.4605528551713727,0.5501778952652553,-0.7132622041132706,453.3480618458708,0.8370980716143239,171,0.0970754485131482,0.09805849102973703
160,25.5,0.4620923213301986,0.5497767503840036,-0.7132622041132706,461.12559679105215,0.840509026632065,171,0.09658392725485378,0.09855001228803145
160,26.0,0.4620923213301986,0.5497767503840036,-0.7132622041132706,461.12559679105215,0.840509026632065,171,0.09658392725485378,0.09855001228803145
160,26.5,0.4612086748318205,0.5477477582869978,-0.7132622041132706,456.64615983592654,0.8420092421266755,171,0.09535512410911771,0.09977881543376751
160,27.0,0.46657162905700456,0.5475721620992653,-0.7132622041132706,484.47348516220825,0.8520733180961513,171,0.09486360285082329,0.10027033669206194
160,27.5,0.4593914663942775,0.5469230601792502,-0.7132622041132706,447.56223004641924,0.8399562933837809,171,0.09461784222167609,0.10051609732120914
160,28.0,0.46452870283069525,0.5468418762974654,-0.7132622041132706,473.6907033096019,0.8494753656686046,171,0.09412632096338167,0.10100761857950356
160,28.5,0.46489504323403685,0.5453609459493202,-0.7132622041132706,475.6075698360427,0.8524538595714536,171,0.09191447530105677,0.10321946424182846
160,29.0,0.4833779250164185,0.5437355936753052,-0.7132622041132706,582.3352814044115,0.8889944499478002,171,0.08994839026787908,0.10518554927500615
160,29.5,0.48994637488711223,0.5406103254569085,-0.7132622041132706,625.3973742686749,0.9062837904048975,171,0.08896534775129024,0.10616859179159499
160,30.0,0.48994637488711223,0.5406103254569085,-0.7132622041132706,625.3973742686749,0.9062837904048975,171,0.08896534775129024,0.10616859179159499
160,30.5,0.46812044990617263,0.5368190227191112,-0.7132622041132706,492.80131849652537,0.872026567790082,170,0.07790611943966577,0.11722782010321947
160,31.0,0.47024442512462183,0.536027308529017,-0.7132622041132706,504.4402089668425,0.8772769925007764,170,0.07766035881051855,0.11747358073236668
160,31.5,0.47024442512462183,0.536027308529017,-0.7132622041132706,504.4402089668425,0.8772769925007764,170,0.07766035881051855,0.11747358073236668
160,32.0,0.4692536767407287,0.5343086940654891,-0.7132622041132706,498.9794166807613,0.8782445091249316,170,0.07667731629392971,0.11845662324895552
160,32.5,0.436483702956902,0.5328096874123015,-0.7665745297942832,346.6626001107335,0.8192112742483602,169,0.07471123126075203,0.12042270828213321
160,33.0,0.436483702956902,0.5328096874123015,-0.7665745297942832,346.6626001107335,0.8192112742483602,169,0.07471123126075203,0.12042270828213321
160,33.5,0.44128131187481867,0.5323020461707392,-0.7536629769789391,365.83768184662927,0.8290054773399743,169,0.07446547063160482,0.12066846891128041
160,34.0,0.44128131187481867,0.5323020461707392,-0.7536629769789391,365.83768184662927,0.8290054773399743,169,0.07446547063160482,0.12066846891128041
160,34.5,0.4495418118331431,0.532269567368572,-0.745900439006718,401.20350734164174,0.844575454605798,169,0.0739739493733104,0.12115999016957484
160,35.0,0.4495418118331431,0.532269567368572,-0.745900439006718,401.20350734164174,0.844575454605798,169,0.0739739493733104,0.12115999016957484
160,35.5,0.4664783654382183,0.5292392695404287,-0.7459004390067181,483.9762555379805,0.8814129870659266,169,0.0720078643401327,0.12312607520275252
