feature,direction,threshold,available_n,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,kept_n,kept_win_rate,kept_avg_return_pct,loss_recall_total,win_cost_total,score
UUP_PREV_CLOSE_RET_5D,<=,-0.01402309224188325,97,10,5,5,0.5,-2.3231739653484507,87,0.6896551724137931,4.322378915583797,0.15625,0.07692307692307693,2.7081613860974922
HYG_PREV_CLOSE_RET_5D,>=,0.011568820460479268,97,10,5,5,0.5,-2.2305632195925025,87,0.6896551724137931,4.311734002278515,0.15625,0.07692307692307693,2.707629140432228
UVIX_OPEN,>=,0.0010856961914766613,97,20,10,10,0.5,1.2034379478382902,77,0.7142857142857143,4.269434636955065,0.3125,0.15384615384615385,2.7024827208587423
UVIX_CLOSE,>=,0.0010219596034994607,97,20,10,10,0.5,1.2034379478382902,77,0.7142857142857143,4.269434636955065,0.3125,0.15384615384615385,2.7024827208587423
SPY_PREV_CLOSE_RET_5D,<=,0.004222079864514017,97,10,5,5,0.5,-1.3266393150705926,87,0.6896551724137931,4.207834702908181,0.15625,0.07692307692307693,2.7024341754637113
^VIX3M_OPEN_SMA20_RATIO,>=,0.004454899284330486,97,10,5,5,0.5,-1.1368945461593807,87,0.6896551724137931,4.1860249593551675,0.15625,0.07692307692307693,2.7013436882860606
^VIX_PREV_CLOSE_RET_10D,>=,0.028899979325517453,97,10,5,5,0.5,-0.7027844365914836,87,0.6896551724137931,4.136127245611731,0.15625,0.07692307692307693,2.698848802598889
^VIX_PREV_CLOSE_RET_5D,<=,-0.11497563849813246,97,10,5,5,0.5,0.16656149145464383,87,0.6896551724137931,4.036202426296085,0.15625,0.07692307692307693,2.6938525616331064
HYG_PREV_CLOSE_RET_20D,>=,0.023923147683460405,97,10,5,5,0.5,0.4210782389086189,87,0.6896551724137931,4.006947627738156,0.15625,0.07692307692307693,2.69238982170521
UVIX_PREV_CLOSE_SMA20_RATIO,<=,-0.27023550333895624,97,10,5,5,0.5,0.5411213769836307,87,0.6896551724137931,3.9931495658904543,0.15625,0.07692307692307693,2.691699918612825
HYG_TLT_PREV_CLOSE_RET_20D,>=,0.049880547480116465,97,10,5,5,0.5,1.2593095485953643,87,0.6896551724137931,3.910599201337381,0.15625,0.07692307692307693,2.6875724003851715
SPY_PREV_CLOSE_SMA20_RATIO,>=,0.03111406311355585,97,10,5,5,0.5,1.7340566711251235,87,0.6896551724137931,3.8560305665638457,0.15625,0.07692307692307693,2.6848439686464944
UVIX_OPEN_GAP_FROM_PREV_CLOSE,>=,0.009225159240235587,97,20,10,10,0.5,2.691146739952021,77,0.7142857142857143,3.8830167688735773,0.3125,0.15384615384615385,2.683161827454668
UVIX_PREV_CLOSE_SMA5_RATIO,>=,-0.0820693134292491,97,77,30,47,0.38961038961038963,2.949795265114944,20,0.9,6.284049529422755,0.9375,0.7230769230769231,2.6807359430046045
IWM_SPY_PREV_CLOSE_RATIO_SMA20,>=,0.01850624184450212,97,10,5,5,0.5,2.5858105444952817,87,0.6896551724137931,3.7581278224983103,0.15625,0.07692307692307693,2.679948831443218
IWM_SPY_PREV_CLOSE_RET_20D,>=,0.043196948660516335,97,10,5,5,0.5,2.7651441085252424,87,0.6896551724137931,3.7375147691615327,0.15625,0.07692307692307693,2.678918178776379
^VIX_OPEN_GAP_FROM_PREV_CLOSE,>=,0.045182727874527207,97,10,5,5,0.5,2.8712585486749855,87,0.6896551724137931,3.7253177070753556,0.15625,0.07692307692307693,2.67830832567207
IWM_PREV_CLOSE_RET_20D,>=,0.0893605105626434,97,10,5,5,0.5,3.2626452415406106,87,0.6896551724137931,3.6803307308839046,0.15625,0.07692307692307693,2.6760589768624974
^VIX_OPEN_GAP_FROM_PREV_CLOSE,>=,0.02399882636871872,97,20,10,10,0.5,3.4603573388652835,77,0.7142857142857143,3.683221808116885,0.3125,0.15384615384615385,2.673172079416833
