cagr,annualized_vol,max_drawdown,final_multiple,filter_name,uvix_entries,uvix_exits,skipped_uvix_entry_days,uvix_day_share,low_rsi_entries,low_rsi_exits,episode_count,episode_win_rate,episode_avg_return_pct,episode_median_return_pct,bb20_z_threshold
1.2067517432340442,0.6306481523337262,-0.6568036304375768,355244.52569269954,skip_bb20_z_lte_1.6,99,98,69,0.07028753993610223,11,11,87,0.7126436781609196,4.587519790710594,3.6407004553887123,1.6
1.1460146235729662,0.6315807013982718,-0.6568036304375775,226367.94704759514,skip_bb20_z_lte_1.55,100,99,56,0.0739739493733104,11,11,82,0.6951219512195121,4.521058678390556,3.6622979901351993,1.55
1.1128730460992933,0.6277712488488458,-0.6568036304375772,176065.43822303895,skip_bb20_z_lte_1.65,92,91,85,0.06635536986974687,11,11,81,0.7037037037037037,4.520706092393583,3.6407004553887123,1.65
1.1047920322146263,0.6345681495387944,-0.6568036304375771,165501.6677003092,skip_bb20_z_lte_1.45,105,104,35,0.07938068321454902,11,11,87,0.6896551724137931,4.072526418902432,3.4312482302532477,1.45
1.094858257234144,0.6320678321502483,-0.6568036304375773,153330.28586372698,skip_bb20_z_lte_1.5,100,99,48,0.07618579503563529,11,11,82,0.6951219512195121,4.406526203899198,3.6622979901351993,1.5
1.0859926514501628,0.6398402901495021,-0.6568036304375773,143181.73191219533,skip_bb20_z_lte_1.15,126,125,3,0.0879823052347014,11,11,98,0.673469387755102,3.678446887117194,3.0370105505238443,1.15
1.0839149027075612,0.6375170797200591,-0.6568036304375773,140896.22806688992,skip_bb20_z_lte_1.4,110,109,26,0.08208405013516834,11,11,89,0.6741573033707865,3.832769820446988,3.323316802816323,1.4
1.0762826641949963,0.6386678282239383,-0.6568036304375774,132791.21933119858,skip_bb20_z_lte_1.3,113,112,18,0.08429589579749325,11,11,91,0.6703296703296703,3.9167648391571372,3.323316802816323,1.3
1.075063623420268,0.6381723572683468,-0.6568036304375775,131537.91020199796,skip_bb20_z_lte_1.35,111,110,23,0.08306709265175719,11,11,89,0.6741573033707865,3.943618716120667,3.323316802816323,1.35
1.0742344090379148,0.6393177458989834,-0.6568036304375768,130691.7362874191,skip_bb20_z_lte_1.2,122,121,7,0.08699926271811256,11,11,97,0.6701030927835051,3.713618885199954,3.323316802816323,1.2
1.0658418241639676,0.640264228579425,-0.6568036304375773,122410.11423961783,skip_bb20_z_lte_1.05,126,125,1,0.08847382649299582,11,11,97,0.6701030927835051,3.6702490146083218,3.0941502907246177,1.05
1.0658418241639676,0.640264228579425,-0.6568036304375773,122410.11423961783,skip_bb20_z_lte_1.1,126,125,1,0.08847382649299582,11,11,97,0.6701030927835051,3.6702490146083218,3.0941502907246177,1.1
1.0650688306802496,0.6249878893870746,-0.6568036304375773,121672.62966607382,skip_bb20_z_lte_1.7,86,85,96,0.06340624231998034,11,11,75,0.7066666666666667,4.553800072465313,4.039056942957586,1.7
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,skip_bb20_z_lte_0.85,127,126,0,0.08871958712214303,11,11,97,0.6701030927835051,3.6372703711577845,3.0941502907246177,0.85
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,skip_bb20_z_lte_0.8,127,126,0,0.08871958712214303,11,11,97,0.6701030927835051,3.6372703711577845,3.0941502907246177,0.8
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,skip_bb20_z_lte_0.95,127,126,0,0.08871958712214303,11,11,97,0.6701030927835051,3.6372703711577845,3.0941502907246177,0.95
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,skip_bb20_z_lte_0.9,127,126,0,0.08871958712214303,11,11,97,0.6701030927835051,3.6372703711577845,3.0941502907246177,0.9
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,skip_bb20_z_lte_1.0,127,126,0,0.08871958712214303,11,11,97,0.6701030927835051,3.6372703711577845,3.0941502907246177,1.0
1.0543841062154873,0.6391623627869341,-0.6568036304375771,111896.35775520938,skip_bb20_z_lte_1.25,119,118,10,0.08626198083067092,11,11,96,0.6666666666666666,3.637030135690331,3.2087335467704703,1.25
1.024613522574982,0.6221303030599837,-0.6568036304375773,88400.13672018592,skip_bb20_z_lte_1.75,83,82,110,0.05971983288277218,11,11,73,0.6986301369863014,4.557864251973263,3.440716688657597,1.75
0.8936305560466542,0.6159034557993505,-0.6493805487564674,30021.89012276979,skip_bb20_z_lte_1.85,67,66,138,0.05234701400835586,11,11,60,0.6666666666666666,4.379848089328299,3.0370105505238443,1.85
0.8928696490052748,0.6150436139234315,-0.6493805487564681,29827.694075152904,skip_bb20_z_lte_1.9,63,62,146,0.05038092897517818,11,11,56,0.6964285714285714,4.642481012713557,3.2086243789429036,1.9
0.8889069781242385,0.6142720339566224,-0.6493805487564683,28835.25941064021,skip_bb20_z_lte_1.95,57,56,159,0.04644875890882281,11,11,51,0.7450980392156863,5.412277708443363,3.440716688657597,1.95
0.8799912416405458,0.613496425488207,-0.6493805487564678,26714.451033681366,skip_bb20_z_lte_2.0,53,52,168,0.04423691324649791,11,11,48,0.7291666666666666,5.456328038882161,3.6584720287457517,2.0
0.8793038061149958,0.6160742916962964,-0.6493805487564682,26557.15880270485,skip_bb20_z_lte_1.8,68,67,136,0.052838535266650284,11,11,60,0.65,4.270339240944326,3.0370105505238443,1.8
0.8541345748865676,0.6083775266334119,-0.6493805487564681,21361.413420960132,skip_bb20_z_lte_2.1,43,42,195,0.037109855001228806,11,11,39,0.8205128205128205,6.526187595900821,4.263961786431536,2.1
0.8531353945486457,0.6095878946659634,-0.6493805487564678,21176.29562094751,skip_bb20_z_lte_2.05,45,44,186,0.03956746129270091,11,11,41,0.7804878048780488,5.852746477989889,4.039056942957586,2.05
0.8183073402002587,0.6042482562907305,-0.6493805487564681,15588.43167184154,skip_bb20_z_lte_2.15,38,37,209,0.03366920619316786,11,11,34,0.8235294117647058,6.04828576282739,4.1515093646945616,2.15
0.7638273252723802,0.6019470848969676,-0.6493805487564681,9538.565637185926,skip_bb20_z_lte_2.2,34,33,219,0.03121159990169575,11,11,30,0.8,6.0164154818771225,4.1515093646945616,2.2
0.7193754465421323,0.5970855407496403,-0.649380548756468,6316.6952944194845,skip_bb20_z_lte_2.25,30,30,230,0.02850823298107643,11,11,27,0.8148148148148148,4.098824865213543,4.039056942957586,2.25
