Date,gspc_open_implied_rsi14,GSPC_BB20_Z,TQQQ_OPEN,base_target_regime_at_open,selected_leg,action,skip_reason,strategy_return,strategy_equity
2010-02-12,43.0378122589776,-0.7184003773017456,0.2004484585818023,above,TQQQ,,,0.004092164272333054,1.004092164272333
2010-02-16,44.48138382896311,-0.5187066410838862,0.2117622635212514,above,TQQQ,,,0.038736173471820345,1.0429868525292816
2010-02-17,50.908889597757366,0.25311104071779483,0.2177911924413176,above,TQQQ,,,0.016970007341968074,1.0606863470742796
2010-02-18,51.894853623923495,0.5953524944674592,0.2183371301338427,above,TQQQ,,,0.01895814052934286,1.080794987899669
2010-02-19,54.0708642844092,1.2211222392909,0.2211896419188025,above,TQQQ,,,0.0,1.080794987899669
2010-02-22,55.7495079333542,1.5922173148314296,0.225333123005568,above,TQQQ,,,-0.007020297042985568,1.0732074860420433
2010-02-23,54.669295747765624,1.312234967390768,0.2199244149037374,above,TQQQ,,,-0.0390419217520106,1.0313074033483178
2010-02-24,49.66688732781187,0.593407996880427,0.2162525403214021,above,TQQQ,,,0.030240182740999932,1.062494327687717
2010-02-25,51.599956256622306,0.8630626140225522,0.2119356614335032,above,TQQQ,,,-0.0005700939572831354,1.0618886060918546
2010-02-26,52.38885222080758,0.9477548040188585,0.2181627947848259,above,TQQQ,,,0.012474990532172603,1.0751356563990726
2010-03-01,53.348942640123695,1.0001599634969272,0.2243413251449817,above,TQQQ,,,0.042894115141727696,1.1212526490376313
2010-03-02,57.95909571186113,1.5061833741059123,0.2330741484674836,above,TQQQ,,,0.006012254372556036,1.1279939051795478
2010-03-03,58.86472895239853,1.4726842788902101,0.2350348661967643,above,TQQQ,,,0.005554155095777391,1.1342589582760065
2010-03-04,58.78030234093101,1.3624495343228846,0.2345385162617609,above,TQQQ,,,0.011039111653239342,1.1467801695601023
2010-03-05,61.24140687428907,1.5209294018991872,0.2413363396235486,above,TQQQ,,,0.044201820539013115,1.197469940812697
2010-03-08,65.85538710725993,1.9010809894456755,0.2469689561331623,above,TQQQ,,,0.005332519746628517,1.2038554729180748
2010-03-09,65.27130290266851,1.6567742368050922,0.2466954786563391,above,TQQQ,,,0.017701847459578035,1.2251659388630487
