signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share
160,35.5,0.2591271017768253,0.6182958524537856,-0.9120915368239241,266.13298959944996,0.4190988840511326,244,0.11806124119862453,0.14638938922547895
160,18.5,0.25349867026180806,0.6541294905413259,-0.9311421461631536,238.75172033024185,0.3875359144135588,254,0.17078762076305878,0.0936630096610447
160,30.0,0.25236760718337337,0.624918377351989,-0.9337029163609178,233.58528504156087,0.4038409115967249,246,0.13066972326838056,0.13378090715572294
160,29.5,0.2505022636840659,0.6271180411872448,-0.9360549966046633,225.29817339172254,0.39944993961554837,246,0.1367283445226789,0.1277222859014246
160,16.5,0.24998444878424086,0.6552454009692841,-0.9402436109069578,223.04814839779144,0.38151271022192096,257,0.17668249549697068,0.0877681349271328
160,35.0,0.24702865069751745,0.6200560647390332,-0.916078560040679,210.61127524572044,0.3983972817062694,244,0.11953495988210251,0.144915670542001
160,19.0,0.2460516658277212,0.6527635528629812,-0.927547797171239,206.64874411282028,0.37693842548125367,253,0.1693139020795808,0.09513672834452268
160,50.0,0.2452902773768857,0.5731396780598941,-0.8533030734037379,203.61030480270628,0.4279764371002987,239,0.07532339937776322,0.18912723104634027
160,18.0,0.24503917492057603,0.655015410927382,-0.9380821508875663,202.61766771474572,0.3740968087661409,254,0.171606353364991,0.0928442770591125
160,29.0,0.24474514268596193,0.6289817143633227,-0.9385922257393996,201.46122113987727,0.3891132875519307,246,0.1375470771246111,0.12690355329949238
