cagr,annualized_vol,max_drawdown,final_multiple,start,alpha_tqqq_drawdown_pct,beta_soxl_drawdown_pct,soxl_days,soxl_day_share,uvix_entries,uvix_exits,low_rsi_entries,low_rsi_exits
1.14353141604693,0.6503514359734858,-0.6708566475083225,222175.37411633696,2010-02-12,54.5,75.5,64,0.01572868026542148,127,126,11,11
1.134321847352318,0.651291193994367,-0.6871720277803557,207253.69201002596,2010-02-12,54.5,75.0,69,0.016957483411157534,127,126,11,11
1.1331935663471753,0.6502155618003702,-0.6867734197297668,205491.67980871617,2010-02-12,54.5,76.0,57,0.014008355861391006,127,126,11,11
1.1231708553786968,0.6499449046123016,-0.6712797934346966,190444.6595380488,2010-02-12,54.5,76.5,48,0.01179651019906611,127,126,11,11
1.115538904259843,0.6518431276110576,-0.7043951273404774,179686.86469529188,2010-02-12,54.5,74.5,72,0.017694765298599164,127,126,11,11
1.1148330419486632,0.660317503909893,-0.719783712708684,178721.24665145855,2010-02-12,54.5,66.5,132,0.0324404030474318,127,126,11,11
1.113360565914744,0.6478905842527181,-0.6551735014663564,176722.54994009167,2010-02-12,54.5,77.5,36,0.008847382649299582,127,126,11,11
1.1131055113445014,0.6529351332216173,-0.7223773465898065,176378.48396766052,2010-02-12,54.5,74.0,74,0.018186286556893586,127,126,11,11
1.1125112076594048,0.6481599617799401,-0.6551735014663564,175579.21087833386,2010-02-12,54.5,77.0,39,0.009584664536741214,127,126,11,11
1.1087489251685727,0.659652671164465,-0.7006303376026876,170597.6594706527,2010-02-12,54.5,67.5,125,0.030720078643401327,127,126,11,11
1.1087489251685727,0.659652671164465,-0.7006303376026876,170597.6594706527,2010-02-12,54.5,68.0,125,0.030720078643401327,127,126,11,11
1.1067254620535185,0.6428835608225502,-0.6240334576306077,167973.57758144735,2010-02-12,54.5,79.5,18,0.004423691324649791,127,126,11,11
1.1063516410311172,0.6557649514810858,-0.7302691113813291,167492.95920495514,2010-02-12,54.5,69.5,108,0.026542147947898748,127,126,11,11
1.1045145050554819,0.6593982878397974,-0.710190643261825,165149.65997660812,2010-02-12,54.5,68.5,116,0.02850823298107643,127,126,11,11
1.1045145050554819,0.6593982878397974,-0.710190643261825,165149.65997660812,2010-02-12,54.5,69.0,116,0.02850823298107643,127,126,11,11
1.1039902805668684,0.6679977929133665,-0.7200126530430535,164486.6636732029,2010-02-12,54.5,62.5,168,0.04128778569673138,127,126,11,11
1.1033738074171824,0.6598825045846974,-0.7127166604553227,163710.19340694082,2010-02-12,54.5,67.0,128,0.03145736053084296,127,126,11,11
1.1032623010686744,0.6455724598359673,-0.6519347070923343,163570.11485387725,2010-02-12,54.5,78.0,32,0.00786434013271074,127,126,11,11
1.1025937992299037,0.6422556146693158,-0.617587836921756,162732.6720042732,2010-02-12,54.5,80.0,12,0.0029491275497665276,127,126,11,11
1.1014081764019465,0.6435481940860466,-0.638001635860803,161257.30733901428,2010-02-12,54.5,79.0,22,0.005406733841238634,127,126,11,11
