Date,gspc_open_implied_rsi14,TQQQ_OPEN,selected_leg,base_target_regime_at_open,effective_state,action,strategy_return,strategy_equity
2010-02-12,43.0378122589776,0.2004484585818023,above,above,base,,0.004092164272333276,1.0040921642723333
2010-02-16,44.48138382896311,0.2117622635212514,above,above,base,,0.038736173471820345,1.0429868525292818
2010-02-17,50.908889597757366,0.2177911924413176,above,above,base,,0.016970007341968074,1.06068634707428
2010-02-18,51.894853623923495,0.2183371301338427,above,above,base,,0.01895814052934308,1.0807949878996699
2010-02-19,54.0708642844092,0.2211896419188025,above,above,base,,0.0,1.0807949878996699
2010-02-22,55.7495079333542,0.225333123005568,above,above,base,,-0.007020297042985568,1.0732074860420442
2010-02-23,54.669295747765624,0.2199244149037374,above,above,base,,-0.0390419217520106,1.0313074033483187
2010-02-24,49.66688732781187,0.2162525403214021,above,above,base,,0.030240182740999932,1.062494327687718
2010-02-25,51.599956256622306,0.2119356614335032,above,above,base,,-0.0005700939572830244,1.0618886060918555
2010-02-26,52.38885222080758,0.2181627947848259,above,above,base,,0.012474990532172603,1.0751356563990735
2010-03-01,53.348942640123695,0.2243413251449817,above,above,base,,0.042894115141727696,1.1212526490376324
2010-03-02,57.95909571186113,0.2330741484674836,above,above,base,,0.006012254372556036,1.127993905179549
2010-03-03,58.86472895239853,0.2350348661967643,above,above,base,,0.005554155095777391,1.1342589582760076
2010-03-04,58.78030234093101,0.2345385162617609,above,above,base,,0.011039111653239342,1.1467801695601034
2010-03-05,61.24140687428907,0.2413363396235486,above,above,base,,0.044201820539013115,1.197469940812698
2010-03-08,65.85538710725993,0.2469689561331623,above,above,base,,0.005332519746628517,1.203855472918076
2010-03-09,65.27130290266851,0.2466954786563391,above,above,base,,0.017701847459578035,1.2251659388630498
2010-03-10,66.43804878531058,0.2527997428949531,above,above,base,,0.024470539070320818,1.2551464098376244
2010-03-11,67.16713398531223,0.2570670747794923,above,above,base,,0.009209433282397095,1.2667055969586642
2010-03-12,70.50812620706434,0.2638895979872641,UVIX,above,base,,-0.010230582567048896,1.2537464607608357
2010-03-15,68.5521245885098,0.2598700116770095,UVIX,above,base,,0.004835764149229815,1.2598092829480068
2010-03-16,70.12376771009264,0.2624014310995993,UVIX,above,base,,-0.061057285096685066,1.1828887483916
2010-03-17,73.36380738221656,0.2655026951282031,UVIX,above,base,,-0.0735037033535485,1.0959420447295736
2010-03-18,75.26156717782348,0.2675119985546472,UVIX,above,base,,-0.023957745470795877,1.0696857441711989
2010-03-19,75.26238926893018,0.2645347096236503,UVIX,above,base,,0.023655185421993297,1.0949893587928314
2010-03-22,66.9512374911291,0.2614335451970694,above,above,base,,0.13477846082712786,1.242570339193013
2010-03-23,71.89290650080268,0.2735408927162865,UVIX,above,base,,-0.03262001363169098,1.202037677790202
2010-03-24,73.1182584187542,0.2754026165336184,UVIX,above,base,,0.05568994332259547,1.2689790879379625
2010-03-25,69.63035080799919,0.280091067697814,UVIX,above,base,,0.0028720893839842,1.272623709304927
2010-03-26,67.79620546881337,0.2755760561890299,above,above,base,,0.0016149607936886134,1.274678946700573
2010-03-29,67.88870883319825,0.2772385178890121,above,above,base,,0.013716039710269579,1.2921624937513627
2010-03-30,70.45936744234211,0.2791488268082483,UVIX,above,base,,-0.023283971171399576,1.262075819498092
2010-03-31,68.65273213254297,0.2766430813121662,UVIX,above,base,,-0.020326172884950644,1.2364226481970582
2010-04-01,67.2619164156747,0.2790744652516145,above,above,base,,-0.05595657999326453,1.1672366653777355
2010-04-05,70.6238940743174,0.2774615473895696,UVIX,above,base,,-0.08267684121182761,1.0707332249376773
2010-04-06,72.50948036313265,0.2812571955398377,UVIX,above,base,,-0.06410208764479652,1.0020969899085266
2010-04-07,73.36974312601969,0.2846070697167064,UVIX,above,base,,0.03501441607363298,1.037184830859319
2010-04-08,67.04644152163763,0.2810837925093422,above,above,base,,0.058291834783241736,1.0976442376594548
2010-04-09,69.92047396119202,0.285921805492033,UVIX,above,base,,-0.01328009280756981,1.083067420313643
2010-04-12,72.85692306176897,0.2911075866955647,UVIX,above,base,,0.0007274749143857395,1.0838553246925096
2010-04-13,72.84916717108857,0.2903387684031547,UVIX,above,base,,0.0036129068826957766,1.0877711930549376
2010-04-14,74.30749867670012,0.2998909400037151,UVIX,above,base,,-0.04305982024819033,1.0409319610108325
2010-04-15,78.33122397440651,0.3057712315459674,UVIX,above,base,,0.004175917570484522,1.0452788070764965
2010-04-16,76.8886363631673,0.306911742306367,UVIX,above,base,,0.07635671953464263,1.1250928677839422
2010-04-19,60.88063885294641,0.2963429673345857,above,above,base,,0.09377706804013153,1.2306007781975836
2010-04-20,64.06172467864843,0.3033141251635642,above,above,base,,0.014785054735754644,1.2487952780610971
2010-04-21,67.3140171290026,0.309243981226011,above,above,base,,0.017599911740855623,1.2707739647373697
2010-04-22,63.568878187315875,0.2994193308256137,above,above,base,,0.014802817999693518,1.289585000456126
2010-04-23,66.76496779077948,0.3132883545227196,above,above,base,,0.013238130767937228,1.3066566953285346
2010-04-26,70.61925629618503,0.3173575755928351,UVIX,above,base,,-0.02106538152633497,1.279131473517499
2010-04-27,64.57722705183807,0.3117259213233566,above,above,base,,-0.07786914009938639,1.1795266056006304
2010-04-28,49.00483312842423,0.2998908962089435,above,above,base,,0.002351390562511435,1.1823001333292709
2010-04-29,53.196361982142285,0.3001634026634915,above,above,base,,0.0510412680829293,1.2426462313890132
2010-04-30,58.74626615816405,0.3106836160410073,above,above,base,,-0.058927174243170954,1.169420600389333
2010-05-03,50.15818684189317,0.2962437863637162,above,above,base,,0.04084008420627527,1.2171798361817865
2010-05-04,53.25216937767974,0.2932407766183118,above,above,base,,-0.08840672023511842,1.109572958928636
2010-05-05,43.49478287655045,0.2691250195905832,above,above,base,,-0.016432503518346797,1.0913398973771788
2010-05-06,42.05126539850304,0.2676358334018413,above,above,base,,-0.09796646813242393,0.9844251820991347
2010-05-07,33.140155447297076,0.2399720424199286,above,above,base,,-0.07277244987396725,0.9127861498801543
2010-05-10,34.61904317244988,0.2574139024773716,above,above,base,,0.1491521246758123,1.0489301435094338
2010-05-11,45.19846528296013,0.2552311292096585,above,above,base,,-0.0006602713727821286,1.0482375649636262
