Date,gspc_open_implied_rsi14,GSPC_BB20_Z,GSPC_OPEN,TQQQ_OPEN,base_target_regime_at_open,selected_leg,action,skip_reason,strategy_return,strategy_equity
2010-02-12,43.0378122589776,-0.7184003773017456,1075.949951171875,0.2004484585818023,above,TQQQ,,,0.004092164272333054,1.004092164272333
2010-02-16,44.48138382896311,-0.5187066410838862,1079.1300048828125,0.2117622635212514,above,TQQQ,,,0.038736173471820345,1.0429868525292816
2010-02-17,50.908889597757366,0.25311104071779483,1096.1400146484375,0.2177911924413176,above,TQQQ,,,0.016970007341968074,1.0606863470742796
2010-02-18,51.894853623923495,0.5953524944674592,1099.030029296875,0.2183371301338427,above,TQQQ,,,0.01895814052934286,1.080794987899669
2010-02-19,54.0708642844092,1.2211222392909,1105.489990234375,0.2211896419188025,above,TQQQ,,,0.0,1.080794987899669
2010-02-22,55.7495079333542,1.5922173148314296,1110.0,0.225333123005568,above,TQQQ,,,-0.007020297042985568,1.0732074860420433
2010-02-23,54.669295747765624,1.312234967390768,1107.489990234375,0.2199244149037374,above,TQQQ,,,-0.0390419217520106,1.0313074033483178
2010-02-24,49.66688732781187,0.593407996880427,1095.8900146484375,0.2162525403214021,above,TQQQ,,,0.030240182740999932,1.062494327687717
2010-02-25,51.599956256622306,0.8630626140225522,1101.239990234375,0.2119356614335032,above,TQQQ,,,-0.0005700939572831354,1.0618886060918546
2010-02-26,52.38885222080758,0.9477548040188585,1103.0999755859375,0.2181627947848259,above,TQQQ,,,0.012474990532172603,1.0751356563990726
2010-03-01,53.348942640123695,1.0001599634969272,1105.3599853515625,0.2243413251449817,above,TQQQ,,,0.042894115141727696,1.1212526490376313
2010-03-02,57.95909571186113,1.5061833741059123,1117.010009765625,0.2330741484674836,above,TQQQ,,,0.006012254372556036,1.1279939051795478
2010-03-03,58.86472895239853,1.4726842788902101,1119.3599853515625,0.2350348661967643,above,TQQQ,,,0.005554155095777391,1.1342589582760065
2010-03-04,58.78030234093101,1.3624495343228846,1119.1199951171875,0.2345385162617609,above,TQQQ,,,0.011039111653239342,1.1467801695601023
2010-03-05,61.24140687428907,1.5209294018991872,1125.1199951171875,0.2413363396235486,above,TQQQ,,,0.044201820539013115,1.197469940812697
2010-03-08,65.85538710725993,1.9010809894456755,1138.4000244140625,0.2469689561331623,above,TQQQ,,,0.005332519746628517,1.2038554729180748
2010-03-09,65.27130290266851,1.6567742368050922,1137.56005859375,0.2466954786563391,above,TQQQ,,,0.017701847459578035,1.2251659388630487
2010-03-10,66.43804878531058,1.6598515616395342,1140.219970703125,0.2527997428949531,above,TQQQ,,,0.024470539070320818,1.2551464098376233
2010-03-11,67.16713398531223,1.6505585558627147,1143.9599609375,0.2570670747794923,above,TQQQ,,,0.009209433282397095,1.2667055969586631
2010-03-12,70.50812620706434,1.863014770611395,1151.7099609375,0.2638895979872641,above,UVIX,enter_uvix_high_rsi_bb20z,,-0.010230582567048896,1.2537464607608346
2010-03-15,68.5521245885098,1.5472830394263966,1148.530029296875,0.2598700116770095,above,TQQQ,exit_uvix_gspc_profit,,0.03950380002512888,1.3032742102289436
2010-03-16,70.12376771009264,1.5614688701174475,1150.8299560546875,0.2624014310995993,above,TQQQ,,skip_gspc_bb20_z_lt_1p60,0.018908568995122055,1.3279172605526208
2010-03-17,73.36380738221656,1.7936688377634888,1159.93994140625,0.2655026951282031,above,UVIX,enter_uvix_high_rsi_bb20z,,-0.010481398833933175,1.3139988301263048
