series,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share,below_entry_drawdown_pct
strategy,0.21260227767825013,0.6814927019139602,-0.9573483567775478,63.57221162493644,0.311965597109346,214,0.2641370418124885,0.0,0.0
strategy,0.6044130775146963,0.6667226539996798,-0.9345270442432418,26451.214827439097,0.9065434838441632,261,0.23006078467489408,0.0340762571375944,0.5
strategy,0.6150012633468469,0.6657389403987977,-0.9345270442432418,30477.36776113448,0.9237874278143361,257,0.2232455332473752,0.04089150856511328,1.0
strategy,0.6535425905493724,0.6640270852375035,-0.9345270442432418,50652.17133543157,0.9842107424211752,252,0.21790384969607662,0.046233192116411866,1.5
strategy,0.724726269761548,0.6608870076048899,-0.9319584611549646,125567.57024958068,1.0965963340511367,245,0.20777307054706207,0.056363971265426416,2.0
strategy,0.7731960085909435,0.6554085728230924,-0.9246416938173065,228108.42079109862,1.1797160437808984,241,0.19395837170749677,0.07017867010499171,2.5
strategy,0.8004520106678534,0.6523318158349116,-0.9357076046757826,316838.1850552117,1.2270626562087341,237,0.18511696445017498,0.0790200773623135,3.0
strategy,0.7912093878720012,0.6504425772319392,-0.9357076046757826,283590.8148285233,1.2164169683342645,234,0.18014367286793148,0.08399336894455701,3.5
strategy,0.8257110624194544,0.6492560305101517,-0.9267576259070994,427723.6846307092,1.2717803510745267,233,0.17645975317738075,0.08767728863510775,4.0
strategy,0.8813828340260232,0.6443117127096746,-0.9202967009734349,816866.8279187022,1.3679447643739675,232,0.16946030576533433,0.09467673604715417,4.5
strategy,0.8842019334020388,0.6418758601087742,-0.9202967009734349,843641.2864436246,1.3775279432571266,229,0.16430281819856327,0.09983422361392522,5.0
strategy,0.8976910268689791,0.6412978165429917,-0.9202967009734349,983759.7098165051,1.3998036539530292,229,0.16393442622950818,0.1002026155829803,5.5
strategy,0.9124734985656207,0.6393722668607946,-0.9210260046310043,1162722.4982753813,1.4271396271935677,229,0.15767176275557193,0.10646527905691656,6.0
strategy,0.9439641452457985,0.6353588283295275,-0.9210260046310043,1652925.4561825565,1.485718153515943,229,0.15214588321974581,0.11199115859274268,6.5
strategy,0.970197674288229,0.6326941964215853,-0.9115086388484839,2206214.026979494,1.5334385549535747,228,0.14846196352919505,0.11567507828329343,7.0
strategy,0.9437375940564792,0.629793121199146,-0.913158695085033,1648781.1583572386,1.4984882531895125,226,0.1436728679314791,0.1204641738810094,7.5
strategy,0.9618157285176685,0.6258812103699936,-0.9131586950850329,2012634.8157763556,1.5367384618386053,226,0.13998894824092833,0.12414809357156013,8.0
strategy,0.9656030805602127,0.6241163762560776,-0.913158695085033,2098006.7355014766,1.5471522896941605,225,0.13501565665868484,0.12912138515380364,8.5
strategy,0.9814090293469793,0.623482309409842,-0.913158695085033,2493036.5734101734,1.5740767853957771,225,0.13446306870510222,0.12967397310738626,9.0
strategy,1.0332032020795885,0.6173803420721984,-0.9096628720620302,4346265.712148311,1.673527859036954,225,0.12764781727758334,0.13648922453490514,9.5
strategy,1.040959257303367,0.6172016687775362,-0.9096628720620302,4717731.495528362,1.6865788120196572,225,0.1269110333394732,0.13722600847301528,10.0
strategy,1.044223978503549,0.613369841812816,-0.9096628720620302,4882978.814532951,1.7024377582982277,224,0.11806962608215141,0.14606741573033707,10.5
strategy,1.0388424505256126,0.6117022073095568,-0.9096628720620302,4613451.708678861,1.698281350160141,223,0.11364892245349051,0.15048811935899797,11.0
strategy,1.0193929834707518,0.6074271960663442,-0.9096628720620302,3752840.107595681,1.678214261844496,222,0.10572849511880641,0.15840854669368207,11.5
strategy,1.033474677695526,0.6068973606850827,-0.9096628720620302,4358782.740790832,1.702882142260284,222,0.10517590716522379,0.1589611346472647,12.0
strategy,1.0491785639158344,0.6050710017023332,-0.9096628720620302,5144344.772962483,1.7339759482176962,222,0.1037023392890035,0.160434702523485,12.5
strategy,1.014727220780062,0.59887467591761,-0.9096628720620302,3570438.3495338513,1.694389930957212,221,0.09357156013998895,0.17056548167249955,13.0
strategy,1.0279368229207444,0.5974341478941955,-0.9096628720620302,4110122.3828168595,1.7205859868304518,221,0.09265058021735126,0.17148646159513722,13.5
strategy,0.9842129173347609,0.5924739862531005,-0.9096628720620302,2570140.8185333074,1.6611917825440397,220,0.08325658500644686,0.18088045680604162,14.0
strategy,1.0185540682740242,0.5839530341350349,-0.8858970130732463,3719401.7630535257,1.7442397054803058,220,0.0681525142751888,0.1959845275372997,14.5
strategy,1.0253593810687964,0.5837711249735822,-0.8858970130732462,3999059.2898064693,1.7564407302865446,220,0.06796831829066126,0.19616872352182724,15.0
strategy,1.0186040489278962,0.5781060486205759,-0.8858970130732462,3721385.9581728154,1.7619674648940218,219,0.06115306686314238,0.2029839749493461,15.5
strategy,1.003277684116521,0.5762300126120121,-0.8696404545940488,3157974.7117728624,1.741106263397719,218,0.05746914717259164,0.20666789463989685,16.0
strategy,1.0124608929535688,0.5754923642574341,-0.8696404545940487,3484920.2616438656,1.7592950937932275,218,0.056916559219009025,0.20722048259347947,16.5
strategy,1.0064275132366567,0.5753685701150778,-0.8696404545940487,3266672.7727692365,1.7491875043424148,218,0.05654816724995395,0.20758887456253453,17.0
strategy,0.949183126673383,0.5609869782996942,-0.8696404545940488,1751192.6184242247,1.691987806116783,217,0.04568060416282925,0.21845643764965925,17.5
strategy,0.9514873804773072,0.5549343410203865,-0.8696404545940488,1796329.554597548,1.714594520727908,217,0.045312212193774175,0.2188248296187143,18.0
strategy,0.9325325993108933,0.5482904855813078,-0.8551072004638582,1455730.7466613986,1.7008002579548775,216,0.036655000920979924,0.22748204089150856,18.5
strategy,0.9325325993108933,0.5482904855813078,-0.8551072004638582,1455730.7466613986,1.7008002579548775,216,0.036655000920979924,0.22748204089150856,19.0
strategy,0.9325325993108933,0.5482904855813078,-0.8551072004638582,1455730.7466613986,1.7008002579548775,216,0.036655000920979924,0.22748204089150856,19.5
strategy,0.9325325993108933,0.5482904855813078,-0.8551072004638582,1455730.7466613986,1.7008002579548775,216,0.036655000920979924,0.22748204089150856,20.0
strategy,0.9325325993108933,0.5482904855813078,-0.8551072004638582,1455730.7466613986,1.7008002579548775,216,0.036655000920979924,0.22748204089150856,20.5
strategy,0.9325325993108933,0.5482904855813078,-0.8551072004638582,1455730.7466613986,1.7008002579548775,216,0.036655000920979924,0.22748204089150856,21.0
strategy,0.9566163220403663,0.5427152244405692,-0.8551072004638582,1900814.057158343,1.7626487685626404,216,0.035918216982869774,0.22821882482961872,21.5
strategy,0.9950300386283095,0.536024552485144,-0.7805624322776337,2889453.4134464134,1.8563142938417674,216,0.035181433044759625,0.22895560876772886,22.0
strategy,1.0002530062982502,0.5359457749730483,-0.7678497622669601,3056848.031139358,1.8663324780357697,216,0.034997237060232084,0.2291398047522564,22.5
strategy,1.0002530062982502,0.5359457749730483,-0.7678497622669601,3056848.031139358,1.8663324780357697,216,0.034997237060232084,0.2291398047522564,23.0
strategy,1.0002530062982502,0.5359457749730483,-0.7678497622669601,3056848.031139358,1.8663324780357697,216,0.034997237060232084,0.2291398047522564,23.5
strategy,1.0215638514555825,0.535803544630463,-0.7678497622669601,3840704.663251031,1.906601517838301,216,0.03481304107570455,0.22932400073678394,24.0
strategy,1.0215638514555825,0.535803544630463,-0.7678497622669601,3840704.663251031,1.906601517838301,216,0.03481304107570455,0.22932400073678394,24.5
strategy,1.0215638514555825,0.535803544630463,-0.7678497622669601,3840704.663251031,1.906601517838301,216,0.03481304107570455,0.22932400073678394,25.0
strategy,1.037234995340162,0.5351774400437449,-0.7264517909846673,4535736.168846175,1.9381141986392016,216,0.034628845091177016,0.22950819672131148,25.5
strategy,1.037234995340162,0.5351774400437449,-0.7264517909846673,4535736.168846175,1.9381141986392016,216,0.034628845091177016,0.22950819672131148,26.0
