feature,win_mean,loss_mean,win_median,loss_median,difference_loss_minus_win_mean,difference_loss_minus_win_median
episode_return_pct,8.406884564474865,-6.0510084590175115,5.902427095294338,-2.9038439638405302,-14.457893023492376,-8.806271059134868
holding_days,3.169230769230769,4.84375,2.0,3.5,1.674519230769231,1.5
days_since_previous_exit,38.676923076923075,41.0,11.0,8.0,2.3230769230769255,-3.0
entry_rsi,71.03978862733598,70.74621130930687,70.78831556569122,70.41971719671469,-0.2935773180291079,-0.3685983689765351
exit_rsi,71.49221186002765,71.69478834330555,70.6053282454621,70.72002925185495,0.20257648327789468,0.11470100639284908
rsi_change,0.45242323269167656,0.9485770339986788,0.0,0.355570779655892,0.4961538013070022,0.355570779655892
max_rsi_during_episode,72.82451796238907,73.67018649767891,71.70904190260329,73.01807208516205,0.8456685352898461,1.3090301825587574
min_rsi_during_episode,70.31175526797095,70.11992273356917,70.08633610583959,70.06737477343381,-0.19183253440178305,-0.01896133240578024
pre5_tqqq_open_return,0.0297081102838252,0.03171421557842706,0.027092752251316465,0.0245899640959113,0.0020061052946018613,-0.0025027881554051667
pre10_tqqq_open_return,0.06382090284348374,0.0708836050094047,0.061560715284421974,0.06716409698641557,0.0070627021659209616,0.005603381701993593
pre20_tqqq_open_return,0.13868483851300872,0.1458046348862499,0.1433550604463918,0.1330097960600023,0.007119796373241172,-0.010345264386389497
episode_tqqq_open_return,0.014788432005796034,0.027087500763697946,0.0,0.018860137616713568,0.012299068757901911,0.018860137616713568
max_tqqq_open_return_from_entry,0.02220116882181658,0.03560208202331108,0.0,0.024961449018560233,0.013400913201494502,0.024961449018560233
min_tqqq_open_return_from_entry,-0.0042022877063265796,-0.0016302665343101812,0.0,0.0,0.0025720211720163984,0.0
tqqq_open_return_during_episode,0.014788432005796024,0.02708750076369791,0.0,0.0188601376167135,0.012299068757901887,0.0188601376167135
