series,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,cash_wait_share,below_entry_drawdown_pct
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,43.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,43.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,44.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,44.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,45.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,45.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,46.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,46.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,47.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,47.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,48.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,48.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,49.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,49.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,50.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,50.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,51.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,51.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,52.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,52.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,53.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,53.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,54.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,54.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,55.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,55.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,56.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,56.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,57.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,57.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,58.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,58.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,59.0
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,59.5
strategy,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024,60.0
strategy,0.8518120998439951,0.5887888358027744,-0.9145183936523053,996499984.6872368,1.4467191768040335,270,0.030442477876106194,0.23067846607669618,38.5
strategy,0.8243949242647346,0.5604600220584757,-0.9145183936523054,603447652.8448129,1.4709254751781764,269,0.01958702064896755,0.2415339233038348,42.0
strategy,0.8243949242647346,0.5604600220584757,-0.9145183936523054,603447652.8448129,1.4709254751781764,269,0.01958702064896755,0.2415339233038348,42.5
strategy,0.8201858562347142,0.5606200734687731,-0.9145183936523053,558351521.6183505,1.4629976610717974,269,0.019705014749262537,0.24141592920353983,39.0
strategy,0.8201858562347142,0.5606200734687731,-0.9145183936523053,558351521.6183505,1.4629976610717974,269,0.019705014749262537,0.24141592920353983,39.5
strategy,0.8201858562347142,0.5606200734687731,-0.9145183936523053,558351521.6183505,1.4629976610717974,269,0.019705014749262537,0.24141592920353983,40.0
strategy,0.8201858562347142,0.5606200734687731,-0.9145183936523053,558351521.6183505,1.4629976610717974,269,0.019705014749262537,0.24141592920353983,40.5
strategy,0.8201858562347142,0.5606200734687731,-0.9145183936523053,558351521.6183505,1.4629976610717974,269,0.019705014749262537,0.24141592920353983,41.0
strategy,0.8201858562347142,0.5606200734687731,-0.9145183936523053,558351521.6183505,1.4629976610717974,269,0.019705014749262537,0.24141592920353983,41.5
strategy,0.816426473106372,0.6002417504008805,-0.9148779236950245,520851132.5799918,1.3601627553583358,270,0.03233038348082596,0.2287905604719764,38.0
strategy,0.8054442166725824,0.6225701592356073,-0.9554465036096346,424764877.1587449,1.2937404800472738,270,0.037876106194690264,0.2232448377581121,37.0
strategy,0.8054442166725824,0.6225701592356073,-0.9554465036096346,424764877.1587449,1.2937404800472738,270,0.037876106194690264,0.2232448377581121,37.5
strategy,0.8026220825423085,0.6263313479131556,-0.9554465036096347,402997959.17309695,1.2814656095635766,270,0.038702064896755164,0.2224188790560472,36.0
strategy,0.8026220825423085,0.6263313479131556,-0.9554465036096347,402997959.17309695,1.2814656095635766,270,0.038702064896755164,0.2224188790560472,36.5
strategy,0.7413675572090448,0.6643455345057689,-0.9743621047989638,126014147.3973901,1.1159366906267765,271,0.04861356932153392,0.21250737463126843,35.5
strategy,0.7392323226362596,0.665194669610857,-0.9753983524137133,120920833.04216264,1.1113022343800725,271,0.048849557522123895,0.21227138643067847,34.0
strategy,0.7392323226362596,0.665194669610857,-0.9753983524137133,120920833.04216264,1.1113022343800725,271,0.048849557522123895,0.21227138643067847,34.5
strategy,0.7392323226362596,0.665194669610857,-0.9753983524137133,120920833.04216264,1.1113022343800725,271,0.048849557522123895,0.21227138643067847,35.0
strategy,0.7180788916895875,0.6723735965895138,-0.9753983524137133,80129173.71012528,1.0679760408973598,271,0.05085545722713864,0.21026548672566372,32.5
strategy,0.7180788916895875,0.6723735965895138,-0.9753983524137133,80129173.71012528,1.0679760408973598,271,0.05085545722713864,0.21026548672566372,33.0
strategy,0.7180788916895875,0.6723735965895138,-0.9753983524137133,80129173.71012528,1.0679760408973598,271,0.05085545722713864,0.21026548672566372,33.5
strategy,0.7118133824120882,0.6725466229728958,-0.9768334314578264,70865562.14445658,1.058385185647977,271,0.051091445427728616,0.21002949852507374,32.0
strategy,0.7104130505575366,0.6725665433679638,-0.9768334314578264,68941968.52506563,1.0562717660620635,271,0.0512094395280236,0.20991150442477877,31.5
strategy,0.7050701227763829,0.6779377784245849,-0.9791468912486387,62057285.89320167,1.0400218799059244,271,0.05274336283185841,0.20837758112094396,31.0
strategy,0.6926660267203055,0.6787498527090138,-0.9791468912486387,48547036.55919565,1.0205026549261849,271,0.05297935103244838,0.20814159292035397,30.5
strategy,0.687636851288016,0.6877748886425252,-0.9793934388764753,43924550.727285735,0.999799298641476,271,0.05451327433628319,0.20660766961651916,30.0
strategy,0.6618117019558867,0.6932185473573615,-0.9826089850074399,26151771.805100374,0.9546941646019111,271,0.05569321533923304,0.2054277286135693,29.0
strategy,0.6618117019558867,0.6932185473573615,-0.9826089850074399,26151771.805100374,0.9546941646019111,271,0.05569321533923304,0.2054277286135693,29.5
strategy,0.6590529381710193,0.6944529106939258,-0.9835539825491708,24730729.95801438,0.9490246610277241,271,0.05640117994100295,0.20471976401179942,27.5
strategy,0.6582859179893388,0.6939587502992451,-0.9838077426427136,24349137.735685043,0.9485951689570544,271,0.05616519174041298,0.20495575221238937,28.0
strategy,0.6582859179893388,0.6939587502992451,-0.9838077426427136,24349137.735685043,0.9485951689570544,271,0.05616519174041298,0.20495575221238937,28.5
strategy,0.658012933963581,0.6944648763526634,-0.9835539825491708,24214711.670052167,0.9475107472957762,271,0.056519174041297936,0.20460176991150442,27.0
strategy,0.6480420112870984,0.6952092832996372,-0.9835539825491708,19769188.98558677,0.9321538518751201,271,0.05663716814159292,0.20448377581120944,26.5
strategy,0.6317915963749636,0.6989562334073004,-0.9851947793471779,14166815.217864105,0.9039072350711863,271,0.057227138643067846,0.20389380530973453,26.0
strategy,0.6241835558464466,0.6994238960053148,-0.9873477977258449,12106635.61997156,0.8924252651523698,271,0.05734513274336283,0.20377581120943952,25.5
strategy,0.5940199078616337,0.7180654185949849,-0.9932893337256778,6445458.488273303,0.8272504043210062,271,0.0607669616519174,0.20035398230088497,24.5
strategy,0.5940199078616337,0.7180654185949849,-0.9932893337256778,6445458.488273303,0.8272504043210062,271,0.0607669616519174,0.20035398230088497,25.0
strategy,0.5915623722316903,0.8281979785443806,-0.9986239661383822,6119572.8879791135,0.7142765227118824,288,0.13699115044247787,0.12412979351032448,10.0
strategy,0.5847024383948087,0.754682914820028,-0.998034988879722,5292233.705523938,0.7747657021416006,275,0.07905604719764012,0.18206489675516224,17.5
strategy,0.5839139536199836,0.7201214325944812,-0.9945814553441562,5204401.950330135,0.8108548464058845,271,0.061592920353982304,0.19952802359882005,23.0
strategy,0.5839139536199836,0.7201214325944812,-0.9945814553441562,5204401.950330135,0.8108548464058845,271,0.061592920353982304,0.19952802359882005,23.5
strategy,0.5833465767590393,0.718935546724887,-0.9946463449146514,5142076.837464751,0.811403163213276,271,0.06088495575221239,0.20023598820058996,24.0
strategy,0.5799865822229797,0.8463451159696722,-0.9990147392191109,4787565.051824697,0.6852837823238089,294,0.16047197640117994,0.10064896755162242,8.0
strategy,0.5786833871878148,0.7203617719155428,-0.9945814553441562,4656548.4164745305,0.8033232880320877,271,0.06182890855457227,0.1992920353982301,22.5
strategy,0.5775225970199409,0.7203769502084556,-0.9947138373557617,4542782.952560455,0.8016949971161946,271,0.061946902654867256,0.1991740412979351,22.0
strategy,0.5760490099337112,0.8253604044602778,-0.9986239661383822,4402240.730757253,0.6979363279613625,287,0.13179941002949852,0.12932153392330384,10.5
strategy,0.5722678759311566,0.804880689231758,-0.9983207561648961,4060643.658974052,0.7109971497482123,282,0.11528023598820059,0.14584070796460177,12.0
strategy,0.5679887918032964,0.8012075197268561,-0.9983207561648961,3705052.892524293,0.7089159522578277,281,0.11079646017699116,0.1503244837758112,12.5
strategy,0.5678288198110726,0.8295595855073953,-0.9986006435233874,3692362.919964291,0.6844943144906985,288,0.13817109144542772,0.12294985250737463,9.5
strategy,0.5676798315072793,0.7415341172321369,-0.9972208718955666,3680582.1758781844,0.765547826209549,273,0.071976401179941,0.18914454277286136,19.5
strategy,0.5676798315072793,0.7415341172321369,-0.9972208718955666,3680582.1758781844,0.765547826209549,273,0.071976401179941,0.18914454277286136,20.0
strategy,0.5665082821181742,0.8169126199287263,-0.9987507583867995,3589208.204967023,0.6934747588641741,285,0.12495575221238939,0.13616519174041297,11.0
strategy,0.565745667091553,0.8080425834516124,-0.9984315008167051,3530915.5069807363,0.7001433818932283,282,0.11752212389380531,0.14359882005899705,11.5
strategy,0.5613627064423992,0.7263879364445568,-0.9962608937216503,3213285.2131616906,0.7728139170235881,271,0.0647787610619469,0.19634218289085545,20.5
strategy,0.5613627064423992,0.7263879364445568,-0.9962608937216503,3213285.2131616906,0.7728139170235881,271,0.0647787610619469,0.19634218289085545,21.0
strategy,0.5613627064423992,0.7263879364445568,-0.9962608937216503,3213285.2131616906,0.7728139170235881,271,0.0647787610619469,0.19634218289085545,21.5
strategy,0.5594094916674741,0.7608492071139793,-0.9981788135094024,3080836.7433592663,0.7352435757794928,275,0.08294985250737463,0.17817109144542773,16.5
strategy,0.5569560584240005,0.7577653572222977,-0.9983033983886814,2921957.959246713,0.7349980480311298,275,0.08011799410029498,0.18100294985250737,17.0
strategy,0.5531785615623224,0.8394124795078256,-0.9990147392191109,2692765.6455932604,0.6590068352172566,291,0.1497345132743363,0.11138643067846608,8.5
strategy,0.5488192926036082,0.7706209495789264,-0.9984210925101493,2449921.6451456607,0.7121780077526929,276,0.08707964601769912,0.17404129793510326,16.0
strategy,0.5481316950005821,0.8506026975581095,-0.9990319379479502,2413611.186839571,0.6444038992283305,295,0.1657817109144543,0.09533923303834808,7.5
strategy,0.5450258214337378,0.8347738435499532,-0.9988489336958981,2256000.5332853305,0.652902370677985,289,0.1424188790560472,0.11870206489675517,9.0
strategy,0.5446235023965191,0.74380122064352,-0.997615421009853,2236329.9049317027,0.7322164676273631,273,0.07268436578171092,0.18843657817109144,18.5
strategy,0.5446235023965191,0.74380122064352,-0.997615421009853,2236329.9049317027,0.7322164676273631,273,0.07268436578171092,0.18843657817109144,19.0
strategy,0.5444060391909276,0.7833670564127266,-0.9984269625074715,2225766.843274098,0.6949565146177151,278,0.09616519174041298,0.16495575221238937,14.0
strategy,0.5427659870125621,0.7438371137965178,-0.997615421009853,2147647.386803878,0.7296839280340611,273,0.0728023598820059,0.18831858407079646,18.0
strategy,0.5381209740694977,0.7709915278149955,-0.9984210925101493,1940556.9119628468,0.697959646320035,276,0.08743362831858408,0.1736873156342183,15.5
strategy,0.5328654204869241,0.7724125958425206,-0.9984210925101493,1729581.2872362603,0.6898714797700743,276,0.08825958702064897,0.1728613569321534,15.0
strategy,0.5328252431180911,0.8592304323127435,-0.9990548653651632,1728057.5128309724,0.6201191474141745,296,0.1743952802359882,0.08672566371681416,7.0
strategy,0.5298379588975906,0.7724993271383815,-0.9985226454368237,1618337.251237164,0.6858749778595964,276,0.08837758112094395,0.1727433628318584,14.5
strategy,0.524133509373043,0.7877410188158482,-0.9982630551799179,1427288.9492334172,0.6653627230951278,278,0.10017699115044248,0.16094395280235987,13.5
strategy,0.5205815845534252,0.7891373129383471,-0.9983207561648961,1319587.4759964987,0.6596844123553649,278,0.10206489675516224,0.1590560471976401,13.0
strategy,0.5144032480267682,0.862705608908413,-0.9991249330170922,1150745.140203613,0.5962674204444387,297,0.18053097345132743,0.08058997050147493,6.5
strategy,0.5045483412562444,0.8647222264401968,-0.9992035392144748,923918.4991134703,0.5834802504537431,299,0.18430678466076697,0.0768141592920354,6.0
strategy,0.47061951279702474,0.8694156482737025,-0.9991087027153379,429072.55751092685,0.541305546698497,301,0.1896165191740413,0.07150442477876107,5.5
strategy,0.4463898562609816,0.882575076984318,-0.9989996457381851,245422.00761513232,0.5057811713721362,309,0.20294985250737463,0.05817109144542773,4.5
strategy,0.43898767580804754,0.8762309754218004,-0.9991337930150113,206529.80426677995,0.500995386058713,304,0.1958702064896755,0.06525073746312685,5.0
strategy,0.40976824913577503,0.8861608407776589,-0.9991016580223584,103606.78226003147,0.4624084367981991,312,0.20908554572271387,0.05203539823008849,4.0
strategy,0.3426051735859852,0.8931148853816488,-0.9991016580223584,20068.5503917646,0.3836070579425871,312,0.216165191740413,0.04495575221238938,3.5
strategy,0.33293295224282793,0.8951378854760736,-0.9991016580223584,15737.178687081549,0.3719348243938525,315,0.2208849557522124,0.04023598820058997,3.0
strategy,0.30123022308761693,0.9006355778695956,-0.9992965899940951,7004.625392378516,0.33446405015462594,315,0.22737463126843657,0.03374631268436578,2.5
strategy,0.24455837274891223,0.9053179782022891,-0.9993543081625825,1567.0288971964353,0.2701353321564844,316,0.23410029498525073,0.027020648967551623,2.0
strategy,0.1855562949651679,0.9090612108447249,-0.9995513684553491,306.0412745432599,0.2041185926223206,318,0.240117994100295,0.021002949852507374,1.5
strategy,0.11400035076880455,0.9144384997732675,-0.999800329275734,37.72351620566282,0.12466705065137854,312,0.2470796460176991,0.014041297935103244,1.0
strategy,-0.006466825507898011,0.922679971129099,-0.999982245576874,0.803991950009726,-0.007008741611660267,291,0.25557522123893806,0.0055457227138643065,0.5
strategy,-0.08787111297377204,0.9274682871959543,-0.9999941582204473,0.045374390869545346,-0.0947429838700315,268,0.2611209439528024,0.0,0.0
