stage,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,seed
local,1.6407192655575291,40.5,0.8,66.0,60.5,14.0,1.1,30.5,34.5,
local,1.639588776247216,40.5,0.8,66.0,60.0,15.0,1.1,30.0,34.5,
local,1.6393084020550814,40.5,0.8,66.0,60.5,14.0,1.15,30.0,34.5,
local,1.639257707959168,40.5,0.8,66.0,60.0,14.0,1.15,30.5,34.5,
local,1.6388086790721323,40.5,0.9,66.5,60.0,14.0,1.05,30.0,38.0,
local,1.6385799043750326,40.5,0.8,66.5,63.5,14.0,1.1,30.0,38.0,
local,1.6385281086423573,40.5,0.7,66.0,62.5,14.0,1.15,29.5,38.0,
local,1.6374893188392412,40.5,0.8,66.0,60.0,14.0,1.1,31.0,34.5,
local,1.6373640242325114,40.5,0.8,66.0,62.5,14.0,1.05,29.5,38.0,
local,1.636758837456767,40.5,0.9,66.5,63.5,14.0,1.1,30.5,33.0,
,1.636407790795836,40.0,0.9,66.5,60.0,14.0,1.1,30.0,38.0,97
local,1.636407790795836,40.0,0.9,66.5,60.0,14.0,1.1,29.5,38.0,
local,1.636407790795836,39.5,0.9,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.636407790795836,39.5,0.9,66.5,60.0,14.0,1.1,29.5,38.0,
local,1.636407790795836,39.0,0.9,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.636207893799455,40.0,0.9,66.5,60.0,14.0,1.1,30.0,37.5,
local,1.636207893799455,39.5,0.9,66.5,60.0,14.0,1.1,30.0,37.5,
local,1.6356897253482283,40.5,0.8,66.0,60.0,14.0,1.05,30.5,34.5,
local,1.6355451607895017,40.5,0.9,66.5,63.5,14.0,1.05,30.5,38.0,
local,1.635523115243703,40.5,0.9,66.5,62.5,14.0,1.1,30.0,33.0,
local,1.6354215389268183,40.5,0.9,66.5,63.5,14.0,1.1,29.5,33.0,
local,1.635367657100531,40.5,0.9,66.0,60.0,14.0,1.15,30.0,34.5,
local,1.634964450358011,40.0,0.8,66.0,62.5,14.0,1.1,29.5,38.0,
,1.6343833208700143,40.5,0.8,66.0,60.0,14.0,1.05,29.5,34.5,11
local,1.63424970358083,40.5,0.8,66.0,60.0,14.0,1.1,30.5,33.5,
local,1.6341093645867364,38.5,0.8,66.0,60.0,14.0,1.1,30.0,34.5,
local,1.6340000841851192,40.5,0.7,66.0,62.5,14.0,1.15,29.5,38.5,
local,1.6340000841851192,40.5,0.7,66.0,62.0,14.0,1.15,29.5,38.5,
local,1.6340000841851192,40.5,0.7,66.0,62.5,14.0,1.15,30.0,38.5,
local,1.6339648867089842,38.5,0.9,66.5,63.5,14.0,1.1,30.0,38.0,
local,1.632913677621203,40.5,0.8,66.0,60.0,14.0,1.1,29.5,33.5,
local,1.632811962517117,40.5,0.8,66.0,60.0,14.0,1.15,30.0,34.0,
local,1.6324835509440412,40.5,0.9,66.5,63.5,14.0,1.1,30.5,33.5,
local,1.6324532210074287,40.5,0.9,66.5,63.5,14.0,1.1,30.5,34.0,
local,1.6324213098559537,40.5,0.8,66.0,60.0,14.0,1.15,30.0,35.0,
local,1.6323218748243415,40.5,0.9,66.5,63.5,14.0,1.1,30.0,32.5,
local,1.6318847796689084,40.0,0.8,66.0,60.0,14.0,1.15,30.0,34.5,
local,1.6318834050533177,40.0,0.9,66.5,60.0,14.0,1.1,30.0,38.5,
local,1.6318834050533177,39.5,0.9,66.5,60.0,14.0,1.1,30.0,38.5,
local,1.6317873899555368,40.5,0.9,66.5,63.5,14.0,1.05,30.0,33.0,
local,1.6316429529019825,40.0,0.9,66.5,60.0,14.0,1.1,30.0,37.0,
local,1.6316429529019825,39.5,0.9,66.5,60.0,14.0,1.1,30.0,37.0,
local,1.6313195171616623,40.0,0.9,66.5,60.0,14.0,1.1,30.0,39.0,
local,1.6313195171616623,39.5,0.9,66.5,60.0,14.0,1.1,30.0,39.0,
local,1.6312332288384166,40.5,0.8,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.631156969004031,39.5,0.8,66.0,60.0,14.0,1.1,30.0,33.0,
local,1.631156969004031,39.0,0.8,66.0,60.0,14.0,1.1,30.0,33.0,
local,1.631156969004031,40.0,0.8,66.0,60.0,14.0,1.1,30.0,33.0,
local,1.6311484207331244,40.5,0.9,66.5,63.5,14.0,1.1,29.5,34.0,
local,1.6311484207331244,40.5,0.9,66.5,63.5,14.0,1.1,29.5,33.5,
local,1.631084783396299,40.5,0.8,66.0,60.0,15.0,1.15,30.0,34.5,
local,1.6309626734147202,40.5,0.7,66.5,63.5,14.0,1.1,30.0,33.0,
local,1.630829100253528,40.5,0.9,66.5,62.5,14.0,1.1,30.0,35.0,
local,1.6306539370816795,40.5,0.8,66.0,62.5,15.0,1.1,29.5,38.0,
local,1.6299474040438913,40.5,0.7,66.0,63.0,14.0,1.15,29.5,38.5,
local,1.6296133298953386,40.5,0.8,66.5,60.0,14.0,1.1,30.0,34.5,
,1.6295489608447542,40.5,0.9,66.5,62.5,14.0,1.05,30.0,37.0,47
local,1.6293928899145302,40.0,0.9,66.5,63.5,14.0,1.1,30.0,33.0,
local,1.628940347933761,40.5,0.9,66.5,63.5,14.0,1.15,30.0,38.0,
local,1.6281826037274776,40.0,0.9,66.5,63.5,14.0,1.05,30.0,38.0,
local,1.6280998891419451,40.0,0.9,66.5,61.0,14.0,1.1,30.0,38.0,
local,1.6280998891419451,39.5,0.9,66.5,61.0,14.0,1.1,30.0,38.0,
local,1.627520164234018,40.5,0.9,66.5,63.5,14.0,1.05,30.0,33.5,
local,1.626988846852854,40.5,0.6,66.0,60.0,14.0,1.1,30.0,34.5,
local,1.6268907654579778,39.5,0.8,66.0,60.0,14.0,1.1,30.0,33.5,
local,1.6268907654579778,39.0,0.8,66.0,60.0,14.0,1.1,30.0,33.5,
local,1.6268907654579778,40.0,0.8,66.0,60.0,14.0,1.1,30.0,33.5,
