stage,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,seed
,1.5910029197995303,39.5,0.8,66.0,64.0,15.0,1.15,29.5,34.5,71
local,1.590888484867492,40.5,0.9,66.5,63.5,15.0,1.1,30.0,33.0,
local,1.5907784765326793,42.0,0.9,66.5,60.0,14.0,1.1,30.0,38.0,
,1.590380268366244,39.0,0.8,66.0,60.0,14.0,1.15,30.0,32.0,11
,1.5902310433490512,40.5,0.8,66.0,63.0,14.0,1.1,31.0,35.0,97
local,1.589812539070008,41.5,0.9,66.5,60.0,14.0,1.05,30.0,37.5,
,1.5895815809056244,41.0,0.8,66.5,60.0,14.0,1.1,29.5,37.5,71
,1.5895314946378227,40.5,0.7,66.0,60.0,14.0,1.1,31.5,33.5,131
local,1.5893432323512426,40.0,0.9,66.5,60.0,14.0,1.1,29.0,38.0,
local,1.5893432323512426,39.5,0.9,66.5,60.0,14.0,1.1,29.0,38.0,
,1.5892737943997517,39.0,0.8,66.0,65.5,14.0,1.15,30.5,35.0,131
local,1.5892024437607786,40.5,0.9,66.5,63.5,14.0,1.05,31.0,37.0,
,1.5891146478171394,40.0,0.7,66.0,64.5,14.0,1.05,30.5,37.5,131
,1.5890884550024644,40.0,0.7,66.0,62.0,15.0,1.15,29.5,37.0,71
,1.5885058966319368,40.5,0.8,66.0,62.5,14.0,1.15,28.5,37.5,29
,1.5883744555066275,40.0,0.8,66.0,65.0,14.0,1.15,29.5,33.5,97
local,1.5881492347903743,39.5,0.9,66.0,60.0,14.0,1.1,30.0,33.0,
local,1.5869785075769824,40.5,0.7,66.0,62.5,14.0,1.15,29.0,38.5,
,1.5869654802508948,40.0,0.8,66.5,65.0,14.0,1.1,30.5,35.0,11
local,1.5869579326913574,39.5,0.9,66.0,60.0,14.0,1.05,30.0,38.0,
local,1.5868496250983242,40.5,0.9,66.5,63.5,14.0,1.2,30.0,34.0,
local,1.5867617850687035,39.5,0.9,66.0,60.0,14.0,1.05,30.0,37.5,
local,1.5866875733400598,40.5,0.9,66.5,63.5,15.0,1.1,30.0,33.5,
,1.5859865730482277,39.5,0.8,66.0,63.0,15.0,1.15,30.0,33.5,29
local,1.585196843222617,39.5,0.8,66.0,60.0,14.0,1.1,29.0,33.0,
,1.584429055712544,40.5,0.8,66.0,65.0,14.0,1.15,31.0,38.0,131
local,1.5843147448782586,40.0,0.9,66.5,60.0,14.0,1.1,31.0,38.0,
local,1.5843147448782586,39.5,0.9,66.5,60.0,14.0,1.1,31.0,38.0,
local,1.5841858457574012,40.5,1.0,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.583990237595529,40.5,0.9,66.5,63.5,14.0,1.1,29.0,35.0,
local,1.5839527647305283,39.5,0.9,66.0,60.0,14.0,1.1,30.0,33.5,
,1.5837941365582888,38.5,0.9,66.0,61.0,14.0,1.15,30.5,37.0,11
,1.5835918820600563,40.0,0.6,66.0,64.5,14.0,1.1,30.0,33.5,131
,1.58348447339946,40.0,0.8,66.0,63.5,14.0,1.1,29.0,38.5,29
,1.583240733815762,39.0,0.9,66.0,60.0,14.0,1.1,30.0,35.5,71
local,1.5829454615868785,39.5,0.8,66.0,60.0,14.0,1.1,31.0,35.0,
,1.5829381577261246,40.0,0.8,66.5,64.0,15.0,1.15,29.5,39.0,71
,1.581714296214276,40.5,0.8,66.0,60.0,14.0,1.1,20.0,34.0,131
local,1.581156228437623,40.5,0.7,66.0,62.5,14.0,1.15,28.5,39.5,
,1.5808807151544157,40.5,0.9,66.5,63.5,14.0,1.1,22.5,42.5,71
local,1.5807814059189678,40.5,0.9,65.5,63.5,14.0,1.1,30.0,33.0,
,1.5805703496934251,40.5,0.8,66.0,62.0,14.0,1.05,28.5,38.5,131
,1.580431346652281,39.0,0.7,66.0,60.0,14.0,1.1,29.0,40.0,29
local,1.5803270826237648,40.0,0.9,66.5,60.0,14.0,1.2,30.0,38.0,
local,1.5803270826237648,39.5,0.9,66.5,60.0,14.0,1.2,30.0,38.0,
local,1.5802182187941511,40.5,0.8,65.5,60.0,14.0,1.05,30.5,34.5,
local,1.5801357123086368,39.5,0.9,66.5,60.0,15.0,1.1,30.0,38.0,
,1.5799833663386846,40.5,0.9,66.5,64.0,14.0,1.1,20.0,36.5,131
local,1.5797802956947118,40.5,1.0,66.5,63.5,14.0,1.1,30.0,38.0,
local,1.5793557043252031,40.5,0.9,66.5,63.5,12.0,1.05,30.0,38.0,
,1.5789841415732613,40.5,0.8,65.5,63.0,15.0,1.1,30.0,37.5,11
,1.5784811941251857,39.5,0.9,66.0,62.5,14.0,1.15,29.5,33.5,11
,1.578263810272278,40.5,0.8,66.0,63.5,15.0,1.15,29.5,32.0,71
,1.5779149202324048,39.0,0.8,66.0,64.0,14.0,1.1,31.0,39.0,71
,1.577735638139635,40.0,0.8,66.0,60.0,14.0,1.05,28.5,37.5,11
local,1.5771823995680014,42.5,0.8,66.0,60.0,14.0,1.1,30.0,34.5,
local,1.5770410440689946,42.5,0.9,66.5,63.5,14.0,1.1,30.0,38.0,
local,1.5768366659429018,40.5,0.9,65.5,62.5,14.0,1.05,30.0,37.0,
,1.5768349243092978,39.5,0.9,66.5,60.0,16.0,1.2,29.5,35.0,29
local,1.5765711353044294,40.5,0.8,66.0,60.0,14.0,1.05,28.5,34.5,
,1.5762942014217507,39.5,0.9,66.5,61.5,15.0,1.15,30.0,36.5,29
local,1.5761848889938523,40.5,0.9,65.5,63.5,14.0,1.1,30.0,35.0,
local,1.5759891726278465,40.0,0.9,65.5,60.0,14.0,1.1,30.0,38.0,
local,1.5759891726278465,39.5,0.9,65.5,60.0,14.0,1.1,30.0,38.0,
local,1.5757808601824084,39.5,0.8,65.5,60.0,14.0,1.1,30.0,33.0,
,1.5755492965033238,40.0,0.9,66.5,64.0,14.0,1.2,30.5,34.5,29
,1.5754282137316435,40.5,0.7,66.0,60.0,16.0,1.2,30.0,31.5,11
,1.5749805237061283,39.5,0.7,66.0,61.0,14.0,1.1,29.0,39.0,71
,1.5746718968387245,39.5,0.8,66.5,63.5,15.0,1.15,29.5,34.5,71
local,1.5744986994873766,40.5,0.8,65.5,60.0,14.0,1.15,30.0,34.5,
,1.5744214611988037,40.5,0.8,66.0,62.5,14.0,1.1,28.5,32.5,29
local,1.5740777878418633,39.5,0.9,66.5,60.0,14.0,1.05,29.0,37.5,
local,1.5740460582458589,39.5,0.9,65.5,60.0,14.0,1.05,30.0,37.5,
,1.5737676097712234,40.5,0.7,66.0,60.0,14.0,1.1,20.5,37.0,71
,1.5736946931652724,40.5,0.9,66.5,60.0,14.0,1.1,20.5,41.0,71
,1.5733212367031948,38.5,0.9,66.5,64.0,15.0,1.1,30.0,38.5,131
,1.5727998428642094,40.5,0.9,66.5,60.0,14.0,1.1,20.0,34.0,131
,1.5727002271302148,40.5,0.7,66.5,61.5,14.0,1.1,29.0,38.5,131
local,1.572568603344743,39.5,0.7,66.5,60.0,14.0,1.05,30.0,37.5,
,1.5722856859402792,40.5,0.8,66.0,63.0,14.0,1.1,20.0,39.5,11
,1.5722856859402792,40.5,0.8,66.0,62.5,14.0,1.1,20.0,42.0,71
,1.5722737960595499,39.5,0.7,66.0,65.0,14.0,1.1,31.0,38.0,11
local,1.57217891253172,40.5,0.9,66.5,63.5,13.0,1.1,30.0,38.0,
local,1.5716044444196777,39.5,0.8,65.5,60.0,14.0,1.1,30.0,33.5,
local,1.571574815896542,39.5,0.8,65.5,60.0,14.0,1.1,30.0,34.0,
,1.5713913255382495,40.5,0.8,66.0,63.0,14.0,1.1,20.0,35.0,29
,1.5713913255382495,40.5,0.8,66.0,60.5,14.0,1.1,21.5,35.0,131
,1.5708620042417052,40.5,0.8,66.0,60.0,14.0,1.15,20.0,41.5,47
,1.5704928019793662,40.5,0.7,66.0,62.0,14.0,1.1,20.0,38.0,29
,1.5702513656971675,40.5,0.8,66.0,60.0,14.0,1.15,29.0,30.0,97
,1.5702128752035431,39.5,0.9,66.5,63.5,14.0,1.1,30.0,43.0,11
,1.5700791487787522,41.5,0.9,66.0,60.0,14.0,1.1,30.0,34.5,47
,1.5699681388408884,40.5,0.8,66.0,60.0,14.0,1.15,20.0,35.5,97
local,1.5698657129888471,42.5,0.9,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.5688841537544387,39.5,0.9,66.5,60.0,14.0,1.05,31.0,37.5,
,1.5687010461273716,40.5,0.7,66.5,62.0,14.0,1.15,30.5,40.0,97
local,1.5684588019956816,42.5,0.8,66.0,62.5,14.0,1.1,29.5,38.0,
,1.5682053665571427,40.0,0.9,66.5,66.0,14.0,1.1,28.5,36.0,131
local,1.56814102917347,39.5,0.8,66.0,60.0,14.0,1.1,29.0,35.0,
,1.5680663027341564,39.0,0.6,66.5,62.5,14.0,1.1,30.0,37.5,29
,1.5680448628112882,39.0,0.8,65.5,60.0,15.0,1.1,29.5,38.0,71
,1.5674732449123185,40.5,0.8,66.5,63.0,15.0,1.1,30.5,38.5,131
,1.567289087566618,40.5,0.7,66.0,60.5,12.0,1.0,30.0,37.0,29
,1.56721242125223,40.5,0.8,66.0,65.5,14.0,1.05,29.0,35.5,131
,1.567194441922429,39.0,0.9,66.5,62.0,16.0,1.2,30.0,32.5,11
local,1.5668282467644001,42.5,0.8,66.0,60.0,14.0,1.1,30.5,34.5,
,1.5667915985862697,39.5,0.8,66.0,60.0,14.0,1.1,23.5,41.0,29
,1.5667915985862697,39.0,0.8,66.0,60.0,14.0,1.1,20.0,39.5,47
,1.5667915985862697,39.5,0.8,66.0,60.0,14.0,1.1,20.0,39.5,97
,1.566688166027232,40.0,0.8,66.5,60.0,14.0,1.1,29.0,37.5,131
local,1.5666134776310328,40.0,1.0,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.5666134776310328,39.5,1.0,66.5,60.0,14.0,1.1,30.0,38.0,
,1.5660441150828528,40.5,0.9,66.0,64.5,15.0,1.15,29.5,31.5,71
,1.5659015575961535,40.0,0.7,66.0,64.0,14.0,1.15,31.0,31.5,97
local,1.5657841860681647,40.5,0.8,65.5,62.5,14.0,1.15,29.5,38.0,
local,1.5657522223262341,40.5,1.0,66.5,63.5,14.0,1.1,30.0,33.0,
,1.565620364608387,39.0,0.9,66.5,64.5,14.0,1.1,22.0,38.5,131
,1.565095776158274,40.5,0.7,66.0,63.5,14.0,1.1,20.0,33.0,71
,1.5650706737461664,39.5,0.9,66.5,63.5,14.0,1.1,20.0,39.5,29
,1.5650706737461664,39.0,0.9,66.5,64.0,14.0,1.1,20.0,41.0,47
,1.5650505793544371,40.0,0.8,66.0,60.0,14.0,1.1,20.5,42.0,71
local,1.565017119227237,40.5,0.9,66.5,60.0,13.0,1.1,30.0,38.0,
,1.5646835573317124,41.0,0.8,66.0,60.0,14.0,1.1,28.5,39.5,131
,1.564285357246944,40.5,0.9,66.0,61.0,15.0,1.1,28.5,37.5,131
local,1.5641926895950964,38.0,0.9,66.5,60.0,14.0,1.1,30.0,38.0,
,1.5641788219384352,39.5,0.9,66.5,64.0,14.0,1.1,22.0,35.0,131
local,1.564104857379459,42.5,0.9,66.5,63.5,14.0,1.1,30.0,33.0,
local,1.5639819784946098,40.5,0.8,66.0,60.0,13.0,1.1,30.0,34.5,
,1.5638989053333425,39.0,0.9,65.5,60.0,14.0,1.05,30.5,38.0,131
local,1.5632974155305894,42.5,0.7,66.0,62.5,14.0,1.15,29.5,38.5,
,1.5630565559945468,40.0,0.9,66.5,60.0,14.0,1.1,29.5,43.0,29
,1.5629487218672669,40.5,0.7,66.0,60.0,14.0,1.15,22.0,39.0,131
,1.5628151790296756,40.0,0.8,66.5,60.0,14.0,1.15,30.0,33.5,71
,1.5627248878517705,40.5,0.8,66.0,60.0,15.0,1.15,31.0,40.0,131
,1.562057607842957,40.5,0.7,66.0,60.0,14.0,1.15,20.0,33.0,29
local,1.5618481269751467,42.5,0.9,66.5,63.5,14.0,1.05,30.0,38.0,
,1.5617344514433422,40.0,0.8,66.5,60.0,14.0,1.1,29.0,39.5,97
,1.561703225741732,40.5,0.7,66.0,65.0,14.0,1.1,23.5,40.5,131
local,1.5615920671708667,40.5,1.0,66.5,63.5,14.0,1.1,30.0,33.5,
local,1.5615625540044884,40.5,1.0,66.5,63.5,14.0,1.1,30.0,34.0,
local,1.5611824732229107,40.5,1.0,66.5,63.5,14.0,1.1,30.0,35.0,
local,1.5608060392941634,40.5,0.8,66.0,60.0,12.0,1.05,30.5,34.5,
local,1.559917879073013,42.5,0.9,66.5,63.5,14.0,1.1,30.0,34.0,
,1.559861571538908,38.5,0.9,66.0,64.5,16.0,1.2,30.0,36.5,71
,1.5596921351117072,40.5,0.8,66.0,63.5,14.0,1.15,20.5,35.0,71
,1.5596880358403653,40.5,0.7,66.5,66.0,14.0,1.1,21.5,34.5,131
,1.5595989383011233,40.0,0.9,66.5,65.5,14.0,1.1,20.0,37.5,71
,1.5594508911037392,39.0,0.8,66.0,62.0,14.0,1.1,30.0,41.0,97
local,1.5589562084489104,40.5,0.8,66.0,60.0,14.0,1.2,30.0,34.5,
,1.558890845188214,39.5,0.7,66.0,60.0,14.0,1.1,20.5,39.5,71
,1.5586326267573756,40.5,0.8,66.0,60.0,14.0,1.1,22.0,25.0,131
,1.5586326267573756,40.5,0.8,66.0,60.0,14.0,1.1,20.0,25.0,131
,1.5586326267573756,40.5,0.8,66.0,60.0,14.0,1.1,23.0,26.5,131
,1.5582217816698392,40.0,0.9,65.5,60.0,14.0,1.15,30.5,38.5,29
local,1.558192173210521,40.5,0.9,66.5,63.5,13.0,1.1,30.0,33.0,
,1.5580477413880995,40.5,0.7,66.5,60.0,14.0,1.15,30.5,34.0,29
,1.5579201076644296,40.5,0.7,66.5,60.0,14.0,1.15,30.0,32.5,11
,1.557821049923632,38.5,0.8,66.0,60.0,14.0,1.1,20.0,38.5,11
,1.557821049923632,38.5,0.8,66.0,60.0,14.0,1.1,20.0,37.5,131
,1.557656549666727,40.0,0.7,66.0,63.0,14.0,1.1,28.5,36.5,29
,1.5573401476207125,42.5,0.8,66.0,65.5,14.0,1.05,30.0,39.0,97
,1.5573071367361777,40.5,0.9,66.0,60.0,14.0,1.15,20.0,37.5,11
,1.557273030084946,38.5,0.8,66.0,60.0,14.0,1.1,20.0,43.0,71
,1.557273030084946,38.5,0.8,66.0,60.0,14.0,1.1,21.5,42.5,71
,1.557039303521195,39.5,0.9,66.5,60.0,14.0,1.1,20.0,33.5,29
,1.557039303521195,39.5,0.9,66.5,60.0,14.0,1.1,22.5,36.5,131
,1.5565282962361486,39.5,0.8,66.0,63.5,14.0,1.1,21.5,39.5,71
local,1.5564901542908816,40.5,1.0,66.5,63.5,14.0,1.05,30.0,38.0,
,1.556306731455475,40.5,0.8,66.0,65.5,14.0,1.15,23.5,39.0,71
,1.5560177924212555,40.0,0.8,66.0,60.0,14.0,1.05,30.0,41.5,97
local,1.5553030635032545,40.5,0.8,66.0,62.5,13.0,1.1,29.5,38.0,
,1.5552085597767187,41.0,0.7,66.5,64.0,14.0,1.1,31.0,32.0,131
local,1.5544895404354886,39.5,0.9,66.5,60.0,12.0,1.05,30.0,37.5,
,1.554224946040704,39.5,0.8,66.0,60.0,14.0,1.15,20.0,36.5,131
,1.5541990340951148,39.5,0.7,66.0,62.5,14.0,1.1,21.0,42.0,11
,1.5541990340951148,39.5,0.7,66.0,62.5,14.0,1.1,22.0,43.0,29
,1.55413478263381,40.0,1.0,66.5,62.0,14.0,1.1,30.0,38.5,11
local,1.5540442760499156,40.5,0.9,66.5,63.5,13.0,1.1,30.0,33.5,
,1.5539580779548112,40.0,0.9,65.5,60.0,15.0,1.1,31.0,34.0,47
,1.55338023774461,40.0,0.8,66.0,60.0,14.0,1.15,20.0,39.5,71
,1.5533593167002335,40.5,0.7,66.5,62.5,14.0,1.1,20.0,42.5,97
,1.5532478252523196,40.5,0.7,66.0,61.0,14.0,1.15,20.0,38.0,29
,1.5530884265243605,40.5,0.9,65.5,60.0,14.0,1.15,30.0,31.5,97
local,1.5526288218625761,40.5,0.9,67.5,63.5,14.0,1.1,30.0,38.0,
,1.552355951203484,39.0,0.6,65.5,64.0,14.0,1.1,29.0,38.0,29
,1.5522415708204713,39.5,0.9,66.0,62.0,14.0,1.15,29.0,40.0,47
local,1.5518697533024777,40.5,1.0,66.5,62.5,14.0,1.05,30.0,37.0,
,1.5518132343292663,40.5,0.7,66.0,61.5,14.0,1.15,21.5,33.5,29
,1.5517232547342479,40.5,0.8,66.5,60.0,14.0,1.1,20.0,38.0,97
local,1.551695539104585,42.5,0.8,66.0,60.0,14.0,1.05,30.5,34.5,
,1.5516591069853862,39.5,0.8,66.0,60.0,14.0,1.05,20.0,40.0,71
