series,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share,below_entry_drawdown_pct
strategy,0.27319114560585334,0.6743814367384384,-0.9480013528204068,298.8174388791186,0.4050988516633972,226,0.25050437121721586,0.0,0.0
strategy,0.6197967404135363,0.6608706308581772,-0.9391134741493282,87720.69211046603,0.9378488186238444,281,0.22259583053127102,0.027908540685944856,0.5
strategy,0.6248850695775703,0.6608724739919157,-0.9391134741493281,94459.83366307433,0.945545614576791,279,0.2219233355749832,0.028581035642232685,1.0
strategy,0.6315178967817363,0.6608691162495475,-0.9391134741493282,103991.71725403522,0.9555869403697055,278,0.2214189643577673,0.029085406859448555,1.5
strategy,0.634597441792188,0.6603643951983923,-0.9383465470033246,108724.10914828314,0.9609807046025504,276,0.2175521183591123,0.03295225285810356,2.0
strategy,0.6366853918440611,0.6602798805997786,-0.9383465470033246,112049.27521436561,0.9642659280572279,274,0.21671149966375253,0.03379287155346335,2.5
strategy,0.64172815488609,0.6597958496416565,-0.9383465470033246,120486.54094112074,0.972616234604417,271,0.214862138533961,0.03564223268325487,3.0
strategy,0.6514613207554332,0.659486625672514,-0.9383465470033248,138522.86986265285,0.9878309815473558,270,0.21351714862138535,0.03698722259583053,3.5
strategy,0.654695468179368,0.65935983809072,-0.9383465470033248,145068.47396904352,0.9929259114039181,269,0.21234028244788164,0.03816408876933423,4.0
strategy,0.6584404410742846,0.6592322674252484,-0.9383465470033245,153018.0949997736,0.9987988659079804,267,0.21065904505716207,0.0398453261600538,4.5
strategy,0.6729105347949531,0.6589491492541483,-0.9383465470033246,187835.96025933046,1.0211873489124426,266,0.20914593140551446,0.04135843981170141,5.0
strategy,0.6867559231470215,0.6588123942924311,-0.9383465470033246,228166.95964937142,1.0424150017465927,264,0.2078009414929388,0.04270342972427707,5.5
strategy,0.694419189189023,0.6583918914430815,-0.9383465470033248,253927.98155036327,1.054720141930934,262,0.2066240753194351,0.043880295897780766,6.0
strategy,0.7050925060252871,0.6582763466905102,-0.9383465470033246,294487.9918373411,1.0711193096488207,261,0.20578345662407532,0.04472091459314055,6.5
strategy,0.7270292196866326,0.6568692878183875,-0.9375916840663943,398184.4026445805,1.1068095786625407,261,0.20225285810356422,0.048251513113651646,7.0
strategy,0.7184191775906879,0.6562110379757476,-0.9375916840663941,353883.5734374708,1.0947989838860945,259,0.19973100201748487,0.050773369199731,7.5
strategy,0.7415525301294468,0.654923905955976,-0.9375916840663941,485190.21527046285,1.132272808162379,256,0.1972091459314055,0.053295225285810356,8.0
strategy,0.7750115871661232,0.6530183389993612,-0.937591684066394,760239.3817013977,1.1868144290613578,255,0.1933422999327505,0.05716207128446537,8.5
strategy,0.7901127405682047,0.6524785110623348,-0.935219607023854,928488.1227287678,1.2109406320244636,255,0.1926698049764627,0.05783456624075319,9.0
strategy,0.8238425591858614,0.6507698676254147,-0.9254808508670216,1442428.2714657364,1.265950684213406,254,0.1867854741089442,0.0637188971082717,9.5
strategy,0.8249882851352524,0.6504473489398099,-0.9254808508670214,1463964.5567404358,1.2683398379283637,254,0.18611297915265634,0.06439139206455952,10.0
strategy,0.8533503307664991,0.6488507088647524,-0.9254808508670215,2106613.2160508363,1.3151720713375579,253,0.18375924680564895,0.06674512441156691,10.5
strategy,0.8659569980226682,0.648522712127443,-0.9254808508670216,2472085.514235163,1.33527628536238,253,0.1827505043712172,0.06775386684599866,11.0
strategy,0.8632779561867601,0.6477537132387733,-0.9254808508670215,2389670.044931289,1.3327256000901393,252,0.17989240080699395,0.07061197041022192,11.5
strategy,0.8727150623499129,0.6473855665219833,-0.9254808508670216,2692253.5391637413,1.3480607345611528,252,0.17955615332885003,0.07094821788836583,12.0
strategy,0.8802858387771235,0.6452710906152591,-0.9167434908234254,2961186.8821069775,1.3642108744369446,252,0.17451244115669132,0.07599193006052454,12.5
