Date,gspc_open_implied_rsi14,TQQQ_OPEN,base_target_regime_at_open,selected_leg,action,strategy_return,strategy_equity
2010-02-12,43.0378122589776,0.2004484585818023,above,TQQQ,,0.004092164272333276,1.0040921642723333
2010-02-16,44.48138382896311,0.2117622635212514,above,TQQQ,,0.038736173471820345,1.0429868525292818
2010-02-17,50.908889597757366,0.2177911924413176,above,TQQQ,,0.016970007341968074,1.06068634707428
2010-02-18,51.894853623923495,0.2183371301338427,above,TQQQ,,0.01895814052934308,1.0807949878996699
2010-02-19,54.0708642844092,0.2211896419188025,above,TQQQ,,0.0,1.0807949878996699
2010-02-22,55.7495079333542,0.225333123005568,above,TQQQ,,-0.007020297042985568,1.0732074860420442
2010-02-23,54.669295747765624,0.2199244149037374,above,TQQQ,,-0.0390419217520106,1.0313074033483187
2010-02-24,49.66688732781187,0.2162525403214021,above,TQQQ,,0.030240182740999932,1.062494327687718
2010-02-25,51.599956256622306,0.2119356614335032,above,TQQQ,,-0.0005700939572830244,1.0618886060918555
2010-02-26,52.38885222080758,0.2181627947848259,above,TQQQ,,0.012474990532172603,1.0751356563990735
2010-03-01,53.348942640123695,0.2243413251449817,above,TQQQ,,0.042894115141727696,1.1212526490376324
2010-03-02,57.95909571186113,0.2330741484674836,above,TQQQ,,0.006012254372556036,1.127993905179549
2010-03-03,58.86472895239853,0.2350348661967643,above,TQQQ,,0.005554155095777391,1.1342589582760076
2010-03-04,58.78030234093101,0.2345385162617609,above,TQQQ,,0.011039111653239342,1.1467801695601034
2010-03-05,61.24140687428907,0.2413363396235486,above,TQQQ,,0.044201820539013115,1.197469940812698
2010-03-08,65.85538710725993,0.2469689561331623,above,TQQQ,,0.005332519746628517,1.203855472918076
2010-03-09,65.27130290266851,0.2466954786563391,above,TQQQ,,0.017701847459578035,1.2251659388630498
2010-03-10,66.43804878531058,0.2527997428949531,above,TQQQ,,0.024470539070320818,1.2551464098376244
2010-03-11,67.16713398531223,0.2570670747794923,above,TQQQ,,0.009209433282397095,1.2667055969586642
2010-03-12,70.50812620706434,0.2638895979872641,above,SPXU,enter_high_rsi_hedge,0.023939246943937453,1.2970295750495253
2010-03-15,68.5521245885098,0.2598700116770095,above,TQQQ,exit_high_rsi_hedge,0.004948207342172051,1.3034475463157997
2010-03-16,70.12376771009264,0.2624014310995993,above,SPXU,enter_high_rsi_hedge,-0.006538319194390074,1.2949251902048424
2010-03-17,73.36380738221656,0.2655026951282031,above,SPXU,,-0.017453158537619085,1.2723246555658407
2010-03-18,75.26156717782348,0.2675119985546472,above,SPXU,,0.0016446938340108908,1.27441724008171
2010-03-19,75.26238926893018,0.2645347096236503,above,SPXU,,0.014778589936866648,1.2932513298813508
2010-03-22,66.9512374911291,0.2614335451970694,above,TQQQ,exit_high_rsi_hedge,0.057018793489493014,1.3669909603898678
2010-03-23,71.89290650080268,0.2735408927162865,above,SPXU,enter_high_rsi_hedge,-0.010792167989923995,1.3522381643046328
2010-03-24,73.1182584187542,0.2754026165336184,above,SPXU,,0.015141171532867537,1.3727126343036593
2010-03-25,69.63035080799919,0.280091067697814,above,SPXU,,0.004640578433950937,1.3790828149504208
2010-03-26,67.79620546881337,0.2755760561890299,above,TQQQ,exit_high_rsi_hedge,-0.014471784004939536,1.3591250263275343
2010-03-29,67.88870883319825,0.2772385178890121,above,TQQQ,,0.013716039710269579,1.3777668391598639
2010-03-30,70.45936744234211,0.2791488268082483,above,SPXU,enter_high_rsi_hedge,0.010623216155579929,1.3924031541042492
2010-03-31,68.65273213254297,0.2766430813121662,above,TQQQ,exit_high_rsi_hedge,0.009740913134559825,1.4059664322766658
2010-04-01,67.2619164156747,0.2790744652516145,above,TQQQ,,-0.00197798153883888,1.4031854566293955
2010-04-05,70.6238940743174,0.2774615473895696,above,SPXU,enter_high_rsi_hedge,-0.0041476408171808865,1.3973655473554047
2010-04-06,72.50948036313265,0.2812571955398377,above,SPXU,,-0.008008577064543942,1.3861746376820703
2010-04-07,73.36974312601969,0.2846070697167064,above,SPXU,,0.016146116644857766,1.4085559750722285
2010-04-08,67.04644152163763,0.2810837925093422,above,TQQQ,exit_high_rsi_hedge,0.026116979260033535,1.4453432022597863
2010-04-09,69.92047396119202,0.285921805492033,above,SPXU,enter_high_rsi_hedge,-0.009014924544206493,1.4323135423509326
2010-04-12,72.85692306176897,0.2911075866955647,above,SPXU,,-0.007104785424255078,1.4221372619722745
2010-04-13,72.84916717108857,0.2903387684031547,above,SPXU,,-0.0028621789595469904,1.4180668506234697
2010-04-14,74.30749867670012,0.2998909400037151,above,SPXU,,-0.032651715332637554,1.3717645354942622
2010-04-15,78.33122397440651,0.3057712315459674,above,SPXU,,-0.002225277316895702,1.368711978989305
2010-04-16,76.8886363631673,0.306911742306367,above,SPXU,,0.047955043895483884,1.4343486220220116
2010-04-19,60.88063885294641,0.2963429673345857,above,TQQQ,exit_high_rsi_hedge,0.016450929650155155,1.4579449902966928
2010-04-20,64.06172467864843,0.3033141251635642,above,TQQQ,,0.014785054735754644,1.4795007867799486
2010-04-21,67.3140171290026,0.309243981226011,above,TQQQ,,0.017599911740855623,1.5055398700478022
2010-04-22,63.568878187315875,0.2994193308256137,above,TQQQ,,0.014802817999693518,1.527826102735402
2010-04-23,66.76496779077948,0.3132883545227196,above,TQQQ,,0.013238130767937228,1.5480516644740812
2010-04-26,70.61925629618503,0.3173575755928351,above,SPXU,enter_high_rsi_hedge,0.013950021822999314,1.569647018976625
2010-04-27,64.57722705183807,0.3117259213233566,above,TQQQ,exit_high_rsi_hedge,-0.03591011763652596,1.513280809877352
2010-04-28,49.00483312842423,0.2998908962089435,above,TQQQ,,0.002351390562511435,1.5168391240921273
2010-04-29,53.196361982142285,0.3001634026634915,above,TQQQ,,0.0510412680829293,1.5942605164635892
2010-04-30,58.74626615816405,0.3106836160410073,above,TQQQ,,-0.058927174243170954,1.5003152492209315
2010-05-03,50.15818684189317,0.2962437863637162,above,TQQQ,,0.04084008420627527,1.5615882503350733
2010-05-04,53.25216937767974,0.2932407766183118,above,TQQQ,,-0.08840672023511842,1.4235333547652524
2010-05-05,43.49478287655045,0.2691250195905832,above,TQQQ,,-0.016432503518346797,1.4001411379045885
2010-05-06,42.05126539850304,0.2676358334018413,above,TQQQ,,-0.09796646813242393,1.2629742557371628
2010-05-07,33.140155447297076,0.2399720424199286,above,TQQQ,,-0.07277244987396725,1.1710645250194192
2010-05-10,34.61904317244988,0.2574139024773716,above,TQQQ,,0.1491521246758123,1.3457312870585365
2010-05-11,45.19846528296013,0.2552311292096585,above,TQQQ,,-0.0006602713727821286,1.3448427392142346
2010-05-12,44.98073436950152,0.2660733896663055,above,TQQQ,,0.05388133650285276,1.417304663389255
2010-05-13,48.885940456091646,0.2739629409800893,above,TQQQ,,-0.0452061455095466,1.3532337825447214
2010-05-14,45.82735476271297,0.2576377208808326,above,TQQQ,,-0.06153358949314469,1.269964450481359
2010-05-17,41.43807588076074,0.2502683303164811,above,TQQQ,,0.013515265897702022,1.2871283577102435
2010-05-18,42.13926676698403,0.2573395332519116,above,TQQQ,,-0.038221865053618465,1.237931911315157
2010-05-19,37.96622033325971,0.2374415118868967,below,TQQQ,,-0.026392619682778395,1.205259645186641
2010-05-20,35.535337475155,0.2209914723196527,below,TQQQ,,-0.10114980026884202,1.083347872803917
2010-05-21,29.19167614004111,0.1985619883109076,below,TQQQ,,0.007745685931241697,1.0917391451809348
2010-05-24,34.41091206597525,0.2142431922421827,below,TQQQ,,0.008267576283516043,1.1007651818454187
2010-05-25,31.705178684114912,0.1988849909258826,below,TQQQ,,-0.00704667740587428,1.0930084447093356
2010-05-26,33.315174208139766,0.2166250654993175,below,TQQQ,,-0.030937038954862994,1.0591939998773687
2010-05-27,34.066719942258715,0.2204950649400647,below,TQQQ,,0.10825904980759482,1.1738613358659984
2010-05-28,42.700315301344354,0.2306179736333846,below,TQQQ,,-0.01397251325075588,1.1574595427960608
2010-06-01,39.67026807071593,0.2235219627238945,below,TQQQ,,-0.02767499915073368,1.1254268509321712
2010-06-02,37.37127862600245,0.2232990268929929,below,TQQQ,,0.07037175179171973,1.2046251099457068
2010-06-03,44.36868359714668,0.2368461033692955,below,TQQQ,,0.025959396774312804,1.2358964511390875
2010-06-04,44.42615768522862,0.2260781492065235,below,TQQQ,,-0.09874536478592666,1.1138574052337262
2010-06-07,38.50820015848743,0.2195032844664128,below,TQQQ,,-0.05797682289749562,1.0492794917174264
2010-06-08,36.030269143234385,0.206253504703487,below,TQQQ,,-0.005573363519353891,1.0434314756766823
2010-06-09,39.3154322981399,0.2077674117157106,below,TQQQ,,-0.022053862433250693,1.020419781453585
2010-06-10,38.90666233707114,0.2061048184780168,below,TQQQ,,0.08297111856444817,1.1050851521260785
2010-06-11,45.26059205802117,0.2089831031525857,below,TQQQ,,0.02611557964999278,1.1339450914364515
2010-06-14,48.09940452628364,0.2278893234365756,below,TQQQ,,0.000559581981285362,1.1345796266773864
2010-06-15,47.24104600141844,0.2251101747531843,below,TQQQ,,0.0730525395934678,1.2174635497771782
2010-06-16,52.6431333186442,0.237416767673048,below,TQQQ,,0.020152308431723442,1.2419982507366687
2010-06-17,53.12803953513416,0.2461991028140706,below,TQQQ,,0.01003023590596519,1.2544557861863537
2010-06-18,53.17389987153023,0.246100104032142,below,TQQQ,,0.0027359350674167615,1.2578878957623048
2010-06-21,54.9388510010714,0.2544613608526764,below,TQQQ,,-0.02627653988493106,1.2248349542985346
2010-06-22,52.393083094707336,0.2418079572244687,below,TQQQ,,-0.023661918416906236,1.1958530095357476
