crossunder_date,gspc_crossunder_price,tecl_price_at_crossunder,buy_tqqq_date,tqqq_price_at_reentry,buy_tecl_date_if_no_tqqq_reentry,tecl_price_when_back_above_sma,recovery_date,tecl_price_at_recovery,outcome
2012-06-13,1314.8800048828125,1.041670799255368,,,2012-06-14,1.045080780982968,2012-06-14,1.045080780982968,wait_then_recovered
2012-06-25,1313.719970703125,1.0157539844512913,,,2012-06-27,1.0466718673706028,2012-06-27,1.0466718673706028,wait_then_recovered
2012-07-25,1337.8900146484375,1.0159811973571744,,,2012-07-26,1.0639500617980922,2012-07-26,1.0639500617980922,wait_then_recovered
2012-11-08,1377.510009765625,1.0062056779861415,,,2012-11-19,1.0362143516540492,2012-11-19,1.0362143516540492,wait_then_recovered
2014-10-10,1906.1300048828125,2.4759573936462265,,,2014-10-21,2.589399814605698,2014-10-21,2.589399814605698,wait_then_recovered
2014-10-22,1927.1099853515625,2.544159412384018,,,2014-10-23,2.6335036754607994,2014-10-23,2.6335036754607994,wait_then_recovered
2015-06-29,2057.639892578125,3.1254663467407036,,,2015-07-01,3.198215961456279,2015-07-01,3.198215961456279,wait_then_recovered
2015-07-02,2076.780029296875,3.2009434700012003,,,2015-07-07,3.180027961730936,2015-07-07,3.180027961730936,wait_then_recovered
2015-07-08,2046.6800537109375,3.025437116622905,,,2015-07-13,3.273692607879618,2015-07-13,3.273692607879618,wait_then_recovered
2015-07-24,2079.64990234375,3.3291628360748073,,,2015-07-28,3.3255252838134552,2015-07-28,3.3255252838134552,wait_then_recovered
2015-08-06,2083.56005859375,3.260961055755594,,,2015-08-10,3.417370557785012,2015-08-10,3.417370557785012,wait_then_recovered
2015-08-11,2084.070068359375,3.265508174896219,,,2015-08-12,3.3046102523803498,2015-08-12,3.3046102523803498,wait_then_recovered
2015-08-13,2083.389892578125,3.2846047878265168,,,2015-08-14,3.325525283813455,2015-08-14,3.325525283813455,wait_then_recovered
2015-08-19,2079.610107421875,3.2664172649383336,,,2015-10-23,3.5419530868530047,2015-10-23,3.5419530868530047,wait_then_recovered
2015-11-12,2045.969970703125,3.404639482498147,,,2015-11-18,3.4955756664275905,2015-11-18,3.4955756664275905,wait_then_recovered
2015-12-03,2049.6201171875,3.4510173797607195,,,2015-12-04,3.6992721557616943,2015-12-04,3.6992721557616943,wait_then_recovered
2015-12-09,2047.6199951171875,3.4664764404296644,,,2015-12-16,3.5301318168639897,2015-12-16,3.5301318168639897,wait_then_recovered
2015-12-17,2041.8900146484375,3.364628076553322,,,2015-12-23,3.4155516624450453,2015-12-23,3.4155516624450453,wait_then_recovered
2015-12-31,2043.93994140625,3.3127942085265887,,,2016-03-11,3.1891217231750253,2016-03-11,3.1891217231750253,wait_then_recovered
2016-06-27,2000.5400390625,2.9035825729369913,,,2016-06-28,3.061811685562112,2016-06-28,3.061811685562112,wait_then_recovered
2016-11-01,2111.719970703125,4.190325260162322,,,2016-11-07,4.222154617309539,2016-11-07,4.222154617309539,wait_then_recovered
2018-03-23,2588.260009765625,9.988700866699148,,,2018-03-26,11.130106925964276,2018-03-26,11.130106925964276,wait_then_recovered
2018-03-27,2612.6201171875,10.05514335632317,,,2018-03-29,10.412858009338304,2018-03-29,10.412858009338304,wait_then_recovered
2018-04-02,2581.8798828125,9.691055297851493,,,2018-04-04,10.377358436584398,2018-04-04,10.377358436584398,wait_then_recovered
2018-04-06,2604.469970703125,9.74112033843987,,,2018-04-10,10.670446395873945,2018-04-10,10.670446395873945,wait_then_recovered
2018-04-24,2634.56005859375,10.002353668212816,,,2018-04-26,10.544840812683027,2018-04-26,10.544840812683027,wait_then_recovered
2018-04-30,2648.050048828125,10.263584136962814,,,2018-05-01,10.65497684478752,2018-05-01,10.65497684478752,wait_then_recovered
2018-05-02,2635.669921875,10.616744041442793,,,2018-05-04,11.311240196227946,2018-05-04,11.311240196227946,wait_then_recovered
