signal,start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
TQQQ,2010-02-12,160,0.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.24182845908085523,0.0
TQQQ,2010-02-12,160,0.5,0.42778418067685786,0.6030466514447019,-0.823711638825478,314.2747183281651,0.22069304497419515,0.021135414106660113
TQQQ,2010-02-12,160,1.0,0.44509515248599163,0.6031977954059349,-0.8212424209759829,381.7859713457059,0.21897272057016465,0.022855738510690587
TQQQ,2010-02-12,160,1.5,0.4400913608136985,0.6028932980661804,-0.8212424209759831,360.99102273491684,0.21676087490783977,0.025067584173015484
TQQQ,2010-02-12,160,2.0,0.43565176779069703,0.6027924169206043,-0.8212424209759832,343.43500479424586,0.2155320717621037,0.026296387318751537
TQQQ,2010-02-12,160,2.5,0.44184175491574584,0.6016092884869135,-0.8212424209759832,368.1414445216593,0.2130744654706316,0.02875399361022364
TQQQ,2010-02-12,160,3.0,0.4527964496142147,0.6014869114536524,-0.8149117762156076,415.99881842668015,0.21135414106660114,0.030474318014254115
TQQQ,2010-02-12,160,3.5,0.45165609585604183,0.6012518733079419,-0.8149117762156075,410.75757622789564,0.20938805603342345,0.0324404030474318
TQQQ,2010-02-12,160,4.0,0.44357753504237407,0.6003943247540442,-0.814911776215608,375.36320386529104,0.20742197100024576,0.03440648808060948
TQQQ,2010-02-12,160,4.5,0.4489553428563453,0.5994267926268169,-0.7943475490677657,398.59052824092464,0.20521012533792088,0.036618333742934384
TQQQ,2010-02-12,160,5.0,0.4316236917876193,0.5982004886730239,-0.7943475490677658,328.2023350668229,0.20152371590071272,0.040304743180142544
TQQQ,2010-02-12,160,5.5,0.4310080851071092,0.596067849781137,-0.7943475490677658,325.93095662567765,0.1993118702383878,0.04251658884246744
TQQQ,2010-02-12,160,6.0,0.41838490313970267,0.5954159187134612,-0.7943475490677661,282.4833343552081,0.19882034898009338,0.04300811010076186
TQQQ,2010-02-12,160,6.5,0.4209061736702093,0.592662687243312,-0.7943475490677657,290.7012472311249,0.19587122143032687,0.045957237650528386
TQQQ,2010-02-12,160,7.0,0.42994560719520214,0.5923602911005589,-0.7943475490677657,322.04542701262983,0.19513393954288524,0.04669451953797002
TQQQ,2010-02-12,160,7.5,0.42759135064129494,0.592238449103074,-0.7943475490677657,313.59007472236334,0.1943966576554436,0.047431801425411646
TQQQ,2010-02-12,160,8.0,0.41284171415172377,0.5917175071831641,-0.7943475490677656,265.1756746821552,0.19095600884738265,0.050872450233472595
TQQQ,2010-02-12,160,8.5,0.41536708125998834,0.5915433123662496,-0.7943475490677658,272.9335113200318,0.19021872695994102,0.05160973212091423
TQQQ,2010-02-12,160,9.0,0.4289823649859943,0.5899659996186064,-0.794347549067766,318.56040073216553,0.1899729663307938,0.05185549275006144
TQQQ,2010-02-12,160,9.5,0.43044339317177105,0.590030329683735,-0.7943475490677657,323.86041091975903,0.18874416318505777,0.053084295895797495
TQQQ,2010-02-12,160,10.0,0.43344395581400286,0.5899632640864487,-0.7943475490677657,335.00566028529164,0.18825264192676333,0.05357581715409192
TQQQ,2010-02-12,160,10.5,0.4256157220874306,0.5872184402250913,-0.7943475490677658,306.65573736861387,0.1828459080855247,0.05898255099533055
TQQQ,2010-02-12,160,11.0,0.4296578710791301,0.586986029050933,-0.7943475490677658,321.00066485890034,0.18260014745637748,0.05922831162447776
TQQQ,2010-02-12,160,11.5,0.43736848787067983,0.5868229007888071,-0.7943475490677656,350.1264429536072,0.18186286556893586,0.05996559351191939
TQQQ,2010-02-12,160,12.0,0.4519058766116588,0.5861329457471673,-0.7943475490677658,411.9002808813699,0.18137134431064145,0.06045711477021381
TQQQ,2010-02-12,160,12.5,0.4656161068531688,0.5862147053575155,-0.766668907890403,479.40179156993645,0.1806340624231998,0.06119439665765544
TQQQ,2010-02-12,160,13.0,0.49029940725304777,0.5855203710025485,-0.7666689078904028,627.794366280011,0.1781764561317277,0.06365200294912755
TQQQ,2010-02-12,160,13.5,0.4678009213623937,0.5848042549710861,-0.7666689078904029,491.07233330400004,0.1759646104694028,0.06586384861145245
TQQQ,2010-02-12,160,14.0,0.47825557337466496,0.5836880106204801,-0.7666689078904029,550.7010980917681,0.17252396166134185,0.06930449741951339
TQQQ,2010-02-12,160,14.5,0.47825557337466496,0.5836880106204801,-0.7666689078904029,550.7010980917681,0.17252396166134185,0.06930449741951339
TQQQ,2010-02-12,160,15.0,0.4607139561396416,0.5827651298595647,-0.766668907890403,454.15615720660907,0.1712951585156058,0.07053330056524945
