overlap_start,overlap_end,overlap_days,daily_return_corr,daily_return_mae_bps,actual_growth_multiple,modeled_growth_multiple,proxy,legacy_proxy,modern_proxy,legacy_beta,financing_multiplier,annual_fee,history_start,daily_log_drag,annualized_log_drag,annualized_simple_drag
2008-12-30,2026-04-24,4356,0.9947311717756717,21.685779468519836,620.5898947810492,620.589894781111,TECL,FSPTX,XLK,0.8416057142509077,3.142972949965042,0.0087,2007-01-02,,,
2010-03-11,2026-04-24,4056,0.9971513562225828,18.055352357946926,213.55917730534753,213.5591773053337,SOXL,FSELX,^SOX/SOXX,1.056979551157013,0.6911883719294565,0.0075,2007-01-02,,,
2004-11-18,2026-04-24,5380,0.8894110510829955,32.830310720771024,9.715521895288088,9.715816351138619,GLD,GC=F,,,,,2004-01-02,1.5826275322925375e-05,0.003988221381377195,0.003988252940888499
