cagr,annualized_vol,max_drawdown,final_multiple,filter_name,uvix_entries,uvix_exits,skipped_uvix_entry_days,uvix_day_share,low_rsi_entries,low_rsi_exits,episode_count,episode_win_rate,episode_avg_return_pct,episode_median_return_pct,cagr_delta_vs_baseline,mdd_delta_vs_baseline,episode_win_rate_delta_vs_baseline
1.221828063264109,0.6303855207115137,-0.6568036304375775,396527.2752309327,skip_bb20_z_lte_1p607,99,98,70,0.07004177930695503,11,11,87,0.7126436781609196,4.6744035552783885,3.6407004553887123,0.15727015039131764,-2.220446049250313e-16,0.04254058537741445
1.1646704999892097,0.6333839695926741,-0.6568036304375772,260323.16288927,skip_bb20_z_lte_1p607_and_days_since_exit_lte_3,110,109,47,0.0764315556647825,11,11,96,0.6770833333333334,3.9677143047417944,3.3686812272956668,0.10011258711641835,1.1102230246251565e-16,0.006980240549828265
1.1325975292184176,0.6292788288938895,-0.6568036304375771,204566.54361624192,skip_days_since_exit_lte_3,92,91,107,0.06045711477021381,11,11,92,0.6413043478260869,3.697921249288477,3.152742307801981,0.06803961634562627,2.220446049250313e-16,-0.028798744957418188
1.1151496327013275,0.6389188657404556,-0.6297358453228311,179153.73849182608,skip_entry_rsi_lte_70p302_and_sma160_ratio_lte_6p666,122,121,15,0.08503317768493487,11,11,94,0.7021276595744681,3.966534042523355,3.0370105505238443,0.050591719828536164,0.027067785114746168,0.032024566790962994
1.098835466815674,0.6393172379167514,-0.6297358453228312,158098.92486689292,skip_entry_rsi_lte_70p302_and_sma160_ratio_lte_5p756,125,124,10,0.08626198083067092,11,11,95,0.7052631578947368,3.919989758527588,3.0941502907246177,0.034277553942882566,0.027067785114746057,0.03516006511123171
1.0798616328749375,0.6381172706557834,-0.6568036304375775,136535.82871367523,skip_pre20_tqqq_gte_17p767_and_pre5_tqqq_lte_1p456,124,123,9,0.08650774145981814,11,11,95,0.6947368421052632,3.8714083903519945,3.323316802816323,0.015303720002146193,-2.220446049250313e-16,0.024633749321758103
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,baseline_no_loss_filter,127,126,0,0.08871958712214303,11,11,97,0.6701030927835051,3.6372703711577845,3.0941502907246177,0.0,0.0,0.0
1.0605288281267669,0.6331167410770274,-0.6297358453228311,117424.62066516986,skip_entry_rsi_lte_70p302,110,109,44,0.07692307692307693,11,11,85,0.6941176470588235,4.1548762522862654,3.0941502907246177,-0.0040290847460244805,0.027067785114746168,0.0240145542753184
1.0462973129548496,0.6372020117142837,-0.6493805487564681,104992.39709161365,skip_prev_close_ret10_gte_3p627_and_pre10_tqqq_gte_9p019,117,117,24,0.08257557139346276,11,11,88,0.6931818181818182,3.801213427859027,3.254097971249814,-0.01826059991794171,0.007423081681109167,0.023078725398313127
1.033845175506415,0.6374092607638009,-0.6493805487564679,95138.24374362048,skip_prev_close_ret20_gte_5p581_and_prev_close_ret10_gte_3p009,118,117,21,0.08355861391005161,11,11,91,0.6813186813186813,3.6924008419103935,3.0941502907246177,-0.030712737366376253,0.007423081681109389,0.011215588535176235
1.0329758503846453,0.634094089379227,-0.6493805487564684,94483.75629265561,skip_sma160_ratio_lte_6p025,104,104,52,0.07520275251904644,11,11,80,0.675,4.211844185429993,3.3686812272956668,-0.03158206248814599,0.007423081681108834,0.004896907216494939
