Date,gspc_open,gspc_close,gspc_sma_open,signal_below_sma_open,trigger_reference_tqqq_open,target_regime_at_open,overnight_regime,close_to_open_return,open_to_close_return,strategy_return,strategy_equity
2002-01-02,1148.0799560546875,1154.6700439453125,1162.2110641479492,True,3.2785233518850916,below,below,0.0259353226608061,0.036445977394016,0.06332653823822443,1.0633265382382244
2002-01-03,1154.6700439453125,1165.27001953125,1161.5864402770997,True,3.2785233518850916,below,below,0.015294935861873,0.088088092321823,0.10473032990595299,1.1746890773856686
2002-01-04,1165.27001953125,1172.510009765625,1161.0885025024413,False,,above,below,0.0336920379031451,-0.0181106831380634,0.014971168942342183,1.1922755460179335
2002-01-07,1172.510009765625,1164.8900146484375,1160.617064666748,False,,above,above,0.0288599608719606,-0.0720088704699898,-0.0452270827822272,1.1383524011989552
2002-01-08,1164.8900146484375,1160.7099609375,1160.06456451416,False,,above,above,0.0033378928367087,0.0269364481189691,0.0303642519329006,1.1729176202973826
2002-01-09,1160.7099609375,1155.1400146484375,1159.487126159668,False,,above,above,0.0387376750489263,-0.0595994666136397,-0.02317053633548183,1.1457404899577552
2002-01-10,1155.1400146484375,1156.550048828125,1158.862939453125,True,1.3433807967915004,wait_mix,above,0.0006322198053778,0.0016078859553702014,0.0022411222980938117,1.1483082345176285
2002-01-11,1156.550048828125,1145.5999755859375,1158.069002532959,True,1.3433807967915004,wait_mix,wait_mix,0.0086250418340384,5.96608241263113e-05,0.008685217235268716,1.158281540987462
2002-01-14,1145.5999755859375,1138.4100341796875,1157.1075019836426,True,1.3433807967915004,wait_mix,wait_mix,-0.00534009384420065,-0.00100824007670055,-0.00634294982427408,1.1509346192905958
2002-01-15,1138.4100341796875,1146.18994140625,1156.1028778076172,True,1.3433807967915004,wait_mix,wait_mix,0.00689801488902015,-0.0005213649861109932,0.006373053519472371,1.1582695872167483
2002-01-16,1146.18994140625,1127.5699462890625,1155.1100021362304,True,1.3433807967915004,wait_mix,wait_mix,0.0010654489698679,0.0011684229105544,0.002235116775408663,1.1608584550015821
2002-01-17,1127.5699462890625,1138.8800048828125,1153.8573143005372,True,1.3433807967915004,wait_mix,wait_mix,-0.01469369375637415,-0.00144764995650485,-0.016120072387751705,1.142145332675023
2002-01-18,1138.8800048828125,1127.5799560546875,1152.98943939209,True,1.3433807967915004,wait_mix,wait_mix,0.006529158885930451,-0.0006566939705309912,0.005868177256126428,1.1488476439394175
2002-01-22,1127.5799560546875,1119.31005859375,1151.8838760375977,True,1.3433807967915004,wait_mix,wait_mix,-0.00348870717414395,-0.00083888734583105,-0.0043246678876732725,1.1438792594258436
2002-01-23,1119.31005859375,1128.1800537109375,1150.841064453125,True,1.3433807967915004,wait_mix,wait_mix,-0.02027523508798275,-0.0014988956195584,-0.02174374024648229,1.1190070459355494
2002-01-24,1128.1800537109375,1132.1500244140625,1150.0230644226074,True,1.3433807967915004,wait_mix,wait_mix,-0.0020682143591041497,-0.00034602068948255,-0.002413519403628217,1.1163063007173872
2002-01-25,1132.1500244140625,1133.280029296875,1149.323314666748,True,1.3433807967915004,wait_mix,wait_mix,-0.00046053431782665005,0.00020068744177269998,-0.00025993929950818284,1.1160161288395423
2002-01-28,1133.280029296875,1133.06005859375,1148.5645027160645,True,1.3433807967915004,wait_mix,wait_mix,0.0007007991566775999,-0.00033433302294285,0.0003662318334343162,1.1164248494725495
2002-01-29,1133.06005859375,1100.6400146484375,1147.7655654907226,True,1.3433807967915004,wait_mix,wait_mix,0.016598936098502902,0.0013442850925338044,0.017965534893385815,1.1364820190615916
2002-01-30,1100.6400146484375,1113.5699462890625,1146.52250289917,True,1.3433807967915004,wait_mix,wait_mix,-0.00072641945921335,0.00010673021240529999,-0.0006197667777111393,1.1357776652627112
2002-01-31,1113.5699462890625,1130.199951171875,1145.5408149719237,True,1.3433807967915004,wait_mix,wait_mix,0.0019618352289274,0.0009004351411344825,0.002864036875443343,1.1390305743783284
2002-02-01,1130.199951171875,1122.199951171875,1144.77081451416,True,1.3433807967915004,wait_mix,wait_mix,0.0075823357032075,0.004715812070331722,0.0123339046437696,1.1530792688690488
2002-02-04,1122.199951171875,1094.43994140625,1143.753564453125,True,1.3433807967915004,wait_mix,wait_mix,0.011198290561060451,0.004079374857197091,0.015323347443215729,1.1707483031354984
2002-02-05,1094.43994140625,1090.02001953125,1142.5143142700194,True,1.3433807967915004,wait_mix,wait_mix,0.0047856297895411,0.0103663716474284,0.015201611053934805,1.1885455634818183
2002-02-06,1090.02001953125,1083.510009765625,1141.4593772888184,True,1.3433807967915004,wait_mix,wait_mix,-0.00650430110835655,-0.00027840008664645004,-0.006780890397010908,1.1804861662839945
2002-02-07,1083.510009765625,1080.1700439453125,1140.3415649414062,True,1.3433807967915004,wait_mix,wait_mix,-0.004698539551528101,0.0027628142662453003,-0.0019487064773863194,1.178185745245292
2002-02-08,1080.1700439453125,1096.219970703125,1139.3117530822753,True,1.3433807967915004,wait_mix,wait_mix,0.012361250213713551,0.0007435641988253554,0.013114005795650696,1.1936364799367918
2002-02-11,1096.219970703125,1111.93994140625,1138.6392524719238,True,1.3433807967915004,wait_mix,wait_mix,-0.005698584608955649,-0.00416535915158385,-0.009840207108987586,1.181890849761371
2002-02-12,1111.93994140625,1107.5,1138.0973770141602,True,1.3433807967915004,wait_mix,wait_mix,-0.0101948521441978,0.0014244828519937,-0.00878489168426222,1.1715080666635966
2002-02-13,1107.5,1118.510009765625,1137.4388145446778,True,1.3433807967915004,wait_mix,wait_mix,-0.00215765767996795,-0.0015218741131743001,-0.0036762481097739608,1.1672013123479397
2002-02-14,1118.510009765625,1116.47998046875,1136.9196899414062,True,1.3433807967915004,wait_mix,wait_mix,0.0088829369802483,-0.0001846910442445933,0.00869660533709693,1.1773520015103713
2002-02-15,1116.47998046875,1104.1800537109375,1136.2403770446776,True,1.3433807967915004,wait_mix,wait_mix,0.010991375404193449,-0.002246681556017011,0.00871999972778048,1.1876185106430437
2002-02-19,1104.1800537109375,1083.3399658203125,1135.333127593994,True,1.3433807967915004,wait_mix,wait_mix,-0.007654939345029151,-0.00533454940662995,-0.012948653099518204,1.1722404505341604
2002-02-20,1083.3399658203125,1097.97998046875,1134.3153144836426,True,1.3433807967915004,wait_mix,wait_mix,0.00026737434726384996,-0.00192989642688895,-0.0016630380844224746,1.1702909700208215
2002-02-21,1097.97998046875,1080.949951171875,1133.6529396057128,True,1.3433807967915004,wait_mix,wait_mix,0.0027500837945528,0.0014092380829073374,0.00416319740027471,1.1751631223447772
2002-02-22,1080.949951171875,1089.8399658203125,1132.6976890563965,True,1.3433807967915004,wait_mix,wait_mix,0.006812116221559284,-8.589653001910599e-05,0.006725634554394677,1.1830668400474695
