feature,direction,threshold,threshold_pct_if_ratio,n,loss_rate,avg_return_pct,median_return_pct,avg_tqqq_episode_return_pct,tqqq_up_rate
GSPC_SMA20_RATIO,>=,0.03193474734247981,3.193474734247981,10,0.6,0.1801920490335572,-0.9715218232143441,2.5374736462402394,0.7
GSPC_BB20_Z,<=,1.3263694908277583,,10,0.5,-1.577674174400592,0.10564115117673303,1.502676823663562,0.3
GSPC_CLOSE_RET_10D,>=,0.038714988905339975,3.8714988905339975,10,0.5,0.9748167532716266,-0.2878280617964135,2.9180942041863656,0.7
GSPC_SMA160_RATIO,<=,0.05756001245129609,5.756001245129609,20,0.45,1.7618320185714829,1.0672786234290577,2.2992754861687654,0.55
GSPC_SMA160_SLOPE_20D,>=,0.017850177005419365,1.7850177005419365,20,0.45,3.12531090644291,2.4596654327291745,1.3448739390519002,0.5
GSPC_SMA160_RATIO,<=,0.06321846762088743,6.321846762088742,29,0.41379310344827586,1.7840201100899837,1.7711942124618574,1.7962623581814048,0.5172413793103449
GSPC_BB20_Z,<=,1.5690752307923188,,29,0.41379310344827586,1.0625915774865342,1.925664592494103,1.3331365591594129,0.4482758620689655
GSPC_SMA160_Z,>=,2.2760883340339486,,20,0.4,3.7566087545269964,1.455028790844215,2.669607369508308,0.6
GSPC_SMA50_RATIO,<=,0.03576849216779245,3.5768492167792454,20,0.4,1.099800233944497,2.358980481377193,0.7578324269121228,0.5
GSPC_CLOSE_RET_10D,>=,0.032842778798289944,3.2842778798289944,20,0.4,2.8365158943507587,3.196958231049052,1.5420754678064663,0.5
GSPC_SMA160_RATIO,<=,0.04933098984194273,4.933098984194273,10,0.4,2.0903261793411922,5.020897010702385,2.388637981527947,0.4
GSPC_SMA160_RATIO,>=,0.11630856040879088,11.630856040879088,10,0.4,9.01459976798369,2.6892233466971005,2.772222098798239,0.5
GSPC_SMA160_Z,>=,2.3337259655624454,,10,0.4,4.274770722105051,0.5399581914996454,3.1009019206097896,0.6
GSPC_SMA50_RATIO,<=,0.031424921504486655,3.1424921504486654,10,0.4,-0.6541322485284138,0.8797155487393349,1.083936248733353,0.5
