Date,gspc_open_implied_rsi14,GSPC_OPEN,GSPC_SMA160_PREV_CLOSE,GSPC_SMA160_RATIO,TQQQ_OPEN,base_target_regime_at_open,selected_leg,action,strategy_return,strategy_equity
2010-02-12,43.0378122589776,1075.949951171875,1050.830561065674,0.023904320103449228,0.2004484585818023,above,TQQQ,,0.004092164272333276,1.0040921642723333
2010-02-16,44.48138382896311,1079.1300048828125,1051.8008735656738,0.025983179900289644,0.2117622635212514,above,TQQQ,,0.038736173471820345,1.0429868525292818
2010-02-17,50.908889597757366,1096.1400146484375,1052.9006858825683,0.04106686351868505,0.2177911924413176,above,TQQQ,,0.016970007341968074,1.06068634707428
2010-02-18,51.894853623923495,1099.030029296875,1053.9774360656738,0.042745310942684966,0.2183371301338427,above,TQQQ,,0.01895814052934308,1.0807949878996699
2010-02-19,54.0708642844092,1105.489990234375,1055.1488735198975,0.04770996584258613,0.2211896419188025,above,TQQQ,,0.0,1.0807949878996699
2010-02-22,55.7495079333542,1110.0,1056.3103736877442,0.050827510218248495,0.225333123005568,above,TQQQ,,-0.007020297042985568,1.0732074860420442
2010-02-23,54.669295747765624,1107.489990234375,1057.6328113555908,0.04714034809007228,0.2199244149037374,above,TQQQ,,-0.0390419217520106,1.0313074033483187
2010-02-24,49.66688732781187,1095.8900146484375,1058.8570613861084,0.03497445936078547,0.2162525403214021,above,TQQQ,,0.030240182740999932,1.062494327687718
2010-02-25,51.599956256622306,1101.239990234375,1060.2583736419679,0.038652480952954926,0.2119356614335032,above,TQQQ,,-0.0005700939572830244,1.0618886060918555
2010-02-26,52.38885222080758,1103.0999755859375,1061.6544982910157,0.039038573624129214,0.2181627947848259,above,TQQQ,,0.012474990532172603,1.0751356563990735
2010-03-01,53.348942640123695,1105.3599853515625,1063.0408107757569,0.039809548369947434,0.2243413251449817,above,TQQQ,,0.042894115141727696,1.1212526490376324
2010-03-02,57.95909571186113,1117.010009765625,1064.5194355010985,0.0493091741813223,0.2330741484674836,above,TQQQ,,0.006012254372556036,1.127993905179549
2010-03-03,58.86472895239853,1119.3599853515625,1065.8773109436036,0.05017713939384971,0.2350348661967643,above,TQQQ,,0.005554155095777391,1.1342589582760076
2010-03-04,58.78030234093101,1119.1199951171875,1067.2082485198976,0.048642565000116766,0.2345385162617609,above,TQQQ,,0.011039111653239342,1.1467801695601034
2010-03-05,61.24140687428907,1125.1199951171875,1068.3975608825683,0.05309113041007185,0.2413363396235486,above,TQQQ,,0.044201820539013115,1.197469940812698
2010-03-08,65.85538710725993,1138.4000244140625,1069.6348106384278,0.06428849649591273,0.2469689561331623,above,TQQQ,,0.005332519746628517,1.203855472918076
2010-03-09,65.27130290266851,1137.56005859375,1070.8730606079102,0.06227348547547096,0.2466954786563391,above,TQQQ,,0.017701847459578035,1.2251659388630498
2010-03-10,66.43804878531058,1140.219970703125,1072.0563102722167,0.06358216427418828,0.2527997428949531,above,TQQQ,,0.024470539070320818,1.2551464098376244
2010-03-11,67.16713398531223,1143.9599609375,1073.2502475738524,0.06588371493367107,0.2570670747794923,above,TQQQ,,0.009209433282397095,1.2667055969586642
2010-03-12,70.50812620706434,1151.7099609375,1074.476309967041,0.07188027344486358,0.2638895979872641,above,UVIX,enter_uvix_high_rsi_sma160_filter,-0.010230582567048896,1.2537464607608357
2010-03-15,68.5521245885098,1148.530029296875,1075.5619350433349,0.06784183399963872,0.2598700116770095,above,TQQQ,exit_uvix,0.03950380002512888,1.303274210228945
2010-03-16,70.12376771009264,1150.8299560546875,1076.6322475433349,0.06891648348882118,0.2624014310995993,above,UVIX,enter_uvix_high_rsi_sma160_filter,-0.01727307552445445,1.2807626563665866
2010-03-17,73.36380738221656,1159.93994140625,1077.7402473449706,0.07627041326866979,0.2655026951282031,above,UVIX,,-0.0735037033535485,1.1866218580067143
2010-03-18,75.26156717782348,1166.1300048828125,1078.9064346313476,0.08084442492111776,0.2675119985546472,above,UVIX,,-0.023957745470795877,1.1581930735625066
2010-03-19,75.26238926893018,1166.6800537109375,1080.0981842041015,0.08016111014077487,0.2645347096236503,above,UVIX,,0.023655185421993297,1.185590345472096
2010-03-22,66.9512374911291,1157.25,1081.1803718566894,0.0703579440798372,0.2614335451970694,above,TQQQ,exit_uvix,0.13477846082712786,1.3453823874063278
2010-03-23,71.89290650080268,1166.469970703125,1082.2949348449706,0.0777745817226907,0.2735408927162865,above,UVIX,enter_uvix_high_rsi_sma160_filter,-0.03262001363169098,1.3014959955892964
2010-03-24,73.1182584187542,1172.699951171875,1083.3670600891114,0.08245856309810229,0.2754026165336184,above,UVIX,,0.05568994332259547,1.3739762338182493
2010-03-25,69.63035080799919,1170.030029296875,1084.379997253418,0.07898525633117215,0.280091067697814,above,UVIX,,0.0028720893839842,1.3779224163732453
2010-03-26,67.79620546881337,1167.5799560546875,1085.3988098144532,0.07571516155825053,0.2755760561890299,above,TQQQ,exit_uvix,0.0016149607936886134,1.3801477070524328
2010-03-29,67.88870883319825,1167.7099609375,1086.4582469940185,0.07478585962073225,0.2772385178890121,above,TQQQ,,0.013716039710269579,1.3990778678084015
2010-03-30,70.45936744234211,1173.75,1087.4753719329833,0.07933478798114191,0.2791488268082483,above,UVIX,enter_uvix_high_rsi_sma160_filter,-0.023283971171399576,1.3665017790678076
2010-03-31,68.65273213254297,1171.75,1088.5139347076415,0.0764676157450519,0.2766430813121662,above,TQQQ,exit_uvix,0.010643505653165075,1.3810461484783758
2010-04-01,67.2619164156747,1171.22998046875,1089.608185195923,0.07490930811808338,0.2790744652516145,above,TQQQ,,-0.00197798153883888,1.378314464692401
2010-04-05,70.6238940743174,1178.7099609375,1090.6849975585938,0.0807061283284749,0.2774615473895696,above,UVIX,enter_uvix_high_rsi_sma160_filter,-0.08267684121182761,1.2643597785550622
2010-04-06,72.50948036313265,1186.010009765625,1091.7769348144532,0.08631165574787181,0.2812571955398377,above,UVIX,,-0.06410208764479652,1.18331167721557
2010-04-07,73.36974312601969,1188.22998046875,1092.9353717803956,0.08719143981324273,0.2846070697167064,above,UVIX,,0.03501441607363298,1.2247446446263845
2010-04-08,67.04644152163763,1181.75,1094.20237159729,0.08001045389337813,0.2810837925093422,above,TQQQ,exit_uvix,0.058291834783241736,1.296137257102606
2010-04-09,69.92047396119202,1187.469970703125,1095.4321838378905,0.084019611823688,0.285921805492033,above,UVIX,enter_uvix_high_rsi_sma160_filter,-0.01328009280756981,1.2789244340369343
2010-04-12,72.85692306176897,1194.93994140625,1096.669121170044,0.08960845011425156,0.2911075866955647,above,UVIX,,0.0007274749143857395,1.2798548194800912
2010-04-13,72.84916717108857,1195.93994140625,1097.8510585784911,0.08934625700025767,0.2903387684031547,above,UVIX,,0.0036129068826957766,1.2844788157662421
