series,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share,n_pct
strategy,0.269093929835194,0.6662249316879016,-0.9492967664455558,276.93048089148795,0.40390852553871875,226,0.25050437121721586,0.0,0.0
strategy,0.6165726083710135,0.6533471730125653,-0.9398484377476122,83691.53615025028,0.9437135933840728,281,0.22259583053127102,0.027908540685944856,0.5
strategy,0.6216645154338947,0.6533483776251449,-0.9398484377476122,90139.11487898261,0.9515054092482516,279,0.2219233355749832,0.028581035642232685,1.0
strategy,0.6273527010919013,0.653363655130399,-0.9398484377476121,97903.90628775775,0.9601891629045293,278,0.2214189643577673,0.029085406859448555,1.5
strategy,0.6339015030273782,0.6527042380690073,-0.9382641213437556,107636.9440168842,0.9711925648020058,276,0.2175521183591123,0.03295225285810356,2.0
strategy,0.6348870261298505,0.6526741556301939,-0.9382641213437557,109179.57637505264,0.9727473053024921,274,0.21671149966375253,0.03379287155346335,2.5
strategy,0.6414175907436541,0.6522874565703778,-0.9382641213437557,119949.80836944119,0.9833357736420755,271,0.214862138533961,0.03564223268325487,3.0
strategy,0.6461687900512623,0.6519370998622004,-0.9382641213437557,128417.19381127179,0.9911520454777656,270,0.21351714862138535,0.03698722259583053,3.5
strategy,0.6494848106704205,0.6517613069034071,-0.9382641213437558,134662.8710553626,0.9965071626546804,269,0.21234028244788164,0.03816408876933423,4.0
strategy,0.6505398953409498,0.6516059600322213,-0.9382641213437558,136710.38248452742,0.9983639426944181,267,0.21065904505716207,0.0398453261600538,4.5
strategy,0.6655347315324087,0.6512783353523447,-0.9382641213437556,169235.44602432736,1.0218898670602197,266,0.20914593140551446,0.04135843981170141,5.0
strategy,0.6783665138055637,0.6511889783630421,-0.9382641213437557,202838.38357104256,1.0417352509725217,264,0.2078009414929388,0.04270342972427707,5.5
strategy,0.6852987019892331,0.6507880151490244,-0.9382641213437557,223560.2642156312,1.0530290755774077,262,0.2066240753194351,0.043880295897780766,6.0
strategy,0.6952495618681931,0.6506237764789162,-0.9382641213437557,256881.00495609228,1.0685892323683364,261,0.20578345662407532,0.04472091459314055,6.5
strategy,0.7136796028305845,0.6494041000398679,-0.9390342707429925,331553.45024004,1.0989761271706948,261,0.20225285810356422,0.048251513113651646,7.0
strategy,0.708372452938975,0.6484567623946796,-0.9390342707429927,308151.1727671953,1.0923973563372726,259,0.19973100201748487,0.050773369199731,7.5
strategy,0.7288193665173943,0.6472585792281026,-0.9390342707429927,408039.6034395485,1.1260095886045391,256,0.1972091459314055,0.053295225285810356,8.0
strategy,0.7677167138920638,0.645217446750515,-0.9390342707429927,689830.847314809,1.1898573384189894,255,0.1933422999327505,0.05716207128446537,8.5
strategy,0.7807831753781285,0.6447930082921599,-0.9376255336218181,820770.4971114547,1.2109051514782407,255,0.1926698049764627,0.05783456624075319,9.0
strategy,0.8133321587099427,0.6426002241952218,-0.9293423532075895,1258521.5065725679,1.2656891922634197,254,0.1867854741089442,0.0637188971082717,9.5
strategy,0.8138109397933933,0.6422543052307019,-0.9293423532075895,1266386.7813004006,1.2671163636669855,254,0.18611297915265634,0.06439139206455952,10.0
strategy,0.8399974194954412,0.6408389256049941,-0.9293423532075896,1776135.4253459165,1.3107777725930558,253,0.18375924680564895,0.06674512441156691,10.5
strategy,0.8533954459735453,0.6405272338377432,-0.9293423532075896,2107823.7224760586,1.3323328047433582,253,0.1827505043712172,0.06775386684599866,11.0
strategy,0.8499967098447665,0.6394427755640633,-0.9293423532075895,2018471.0354348882,1.329277211858356,252,0.17989240080699395,0.07061197041022192,11.5
strategy,0.8590072644815892,0.6391177701392441,-0.9293423532075895,2263705.5475110896,1.3440516045961888,252,0.17955615332885003,0.07094821788836583,12.0
strategy,0.8648823671786725,0.6367319920630836,-0.9228281502649245,2438704.858211715,1.3583146095366685,252,0.17451244115669132,0.07599193006052454,12.5
strategy,0.8857861347081439,0.6363580263998546,-0.9228281502649245,3172509.2566632386,1.3919619113149388,252,0.17266308002689978,0.07784129119031608,13.0
strategy,0.8757960400492943,0.6355695935251303,-0.9228281502649247,2798747.333574754,1.3779703261003557,251,0.16980497646267653,0.08069939475453934,13.5
strategy,0.8859859677548094,0.6336965822435466,-0.9228281502649245,3180452.452595781,1.3981233173422754,249,0.16711499663752521,0.08338937457969066,14.0
strategy,0.9122866990855758,0.6329465234912136,-0.9215516620166565,4409886.855543797,1.4413329803181072,249,0.16593813046402153,0.08456624075319435,14.5
strategy,0.9115534784068207,0.6329548026005349,-0.9215516620166566,4370156.170299596,1.4401557183256142,249,0.1656018829858776,0.08490248823133827,15.0
strategy,0.9131560414274473,0.6322588076283248,-0.9230144507866779,4457441.7444075765,1.444275714960461,249,0.1625756556825824,0.0879287155346335,15.5
strategy,0.9187622843841816,0.6321450457673493,-0.9230144507866779,4776118.237602592,1.453404231411658,249,0.16223940820443847,0.0882649630127774,16.0
strategy,0.9275998749615701,0.6319072197740644,-0.9230144507866778,5323195.143661166,1.4679368203661756,249,0.16190316072629454,0.08860121049092132,16.5
strategy,0.9198805743593237,0.6311649351721186,-0.9230144507866778,4842243.651697081,1.45743295151286,247,0.16022192333557497,0.09028244788164089,17.0
strategy,0.9301395581147962,0.6304539801994586,-0.9230144507866779,5491195.900167855,1.475348855471616,246,0.15770006724949562,0.09280430396772024,17.5
strategy,0.9502256429232718,0.629214651379403,-0.9131741859409475,7010879.940520725,1.510177235765456,246,0.15685944855413583,0.09364492266308003,18.0
strategy,0.9851154994347062,0.6279902819534633,-0.9131741859409473,10653886.763222981,1.5686795285594999,246,0.15601882985877605,0.09448554135843981,18.5
strategy,0.9825240753198317,0.6274958136072891,-0.9131741859409473,10330468.17703699,1.565785865042811,245,0.1546738399462004,0.09583053127101547,19.0
strategy,0.9520361791526168,0.6241479300963598,-0.9131741859409475,7166102.445623881,1.5253373971866502,243,0.14912575655682583,0.10137861466039005,19.5
strategy,0.9593915662970132,0.622726671714752,-0.9131741859409475,7831217.567674132,1.5406302795016218,242,0.1467720242098184,0.10373234700739745,20.0
strategy,0.9669544239253651,0.6225367187238249,-0.9131741859409475,8576542.4252933,1.5532488202584782,242,0.14660390047074648,0.1039004707464694,20.5
strategy,0.9737686401540215,0.622373265860657,-0.9131741859409475,9305870.568041408,1.5646055085727901,242,0.14643577673167452,0.10406859448554136,21.0
strategy,0.9694890409499948,0.6224545573998193,-0.9131741859409475,8841187.561793158,1.557525813610946,242,0.14593140551445863,0.10457296570275723,21.5
strategy,0.9694890409499948,0.6224545573998193,-0.9131741859409475,8841187.561793158,1.557525813610946,242,0.14593140551445863,0.10457296570275723,22.0
strategy,0.989839678406967,0.6218598479670929,-0.9096628720620302,11268592.866138734,1.5917407783165742,242,0.14542703429724277,0.1050773369199731,22.5
strategy,0.975384904824212,0.620885838164345,-0.9096628720620302,9487377.925632725,1.5709569213366938,241,0.14391392064559516,0.10659045057162071,23.0
strategy,0.9715961099717794,0.618969441473119,-0.9096628720620302,9067127.00424264,1.56969964084079,240,0.1383658372562206,0.1121385339609953,23.5
strategy,0.9866376978661728,0.6180462963707517,-0.9096628720620302,10848359.363839528,1.596381539149798,240,0.13819771351714863,0.11230665770006724,24.0
strategy,0.9942238984597496,0.6134369513792285,-0.9096628720620303,11869338.42350831,1.620743413360369,239,0.13365837256220578,0.1168459986550101,24.5
strategy,0.9988595651950816,0.6133691771065934,-0.9096628720620303,12537852.521000179,1.6284802081300154,239,0.13349024882313382,0.11701412239408204,25.0
strategy,1.0078987120416372,0.6124734544715816,-0.9096628720620301,13946532.261718689,1.645620238204794,239,0.132817753866846,0.11768661735036987,25.5
strategy,1.007219226571963,0.6117282441514503,-0.9096628720620303,13835578.457283081,1.646514177172107,238,0.12979152656355078,0.1207128446536651,26.0
strategy,0.9917080014072213,0.6115382710701222,-0.9096628720620303,11520949.849930279,1.6216613878831254,238,0.128950907868191,0.12155346334902488,26.5
strategy,1.01323705997744,0.6102776055216065,-0.9096628720620302,14848372.003910836,1.6602887781068465,238,0.1284465366509751,0.12205783456624075,27.0
strategy,1.0296761029328505,0.609145681440957,-0.9096628720620303,17989829.101717286,1.690360999518396,238,0.12726967047747142,0.12323470073974445,27.5
strategy,1.039609258537665,0.6088531526410881,-0.9096628720620303,20186588.553562343,1.7074876824206948,238,0.1269334229993275,0.12357094821788836,28.0
strategy,1.035881966275086,0.6079341459261777,-0.9096628720620301,19333754.98244671,1.7039377919740581,238,0.12525218560860793,0.12525218560860793,28.5
strategy,1.0561047321854793,0.6069444314959865,-0.9096628720620301,24412881.403218072,1.7400352938116754,238,0.12390719569603229,0.1265971755211836,29.0
strategy,1.0620456907799407,0.6059529926067785,-0.9096628720620302,26133047.79498588,1.7526866006735522,238,0.1230665770006725,0.1274377942165434,29.5
strategy,1.0570911017313156,0.6039305936309953,-0.8948607014835461,24690767.490075205,1.7503519657379762,238,0.1168459986550101,0.13365837256220578,30.0
strategy,1.0297700291758667,0.6013184413413465,-0.8948607014835461,18009485.853768546,1.7125202860547293,237,0.10928043039677203,0.14122394082044384,30.5
strategy,1.0383847336096936,0.6009658440616975,-0.8948607014835461,19902510.627962835,1.7278598174426183,237,0.10911230665770007,0.1413920645595158,31.0
