Date,gspc_open,gspc_close_sma160_prev,signal_below_prev_close_sma_open,tqqq_open,tqqq_peak_open,tqqq_drawdown_from_peak,target_regime_at_open,overnight_regime,close_to_open_return,open_to_close_return,strategy_return,strategy_equity
2010-02-12,1075.949951171875,1050.830561065674,False,0.2004484585818023,3.812193671690078,-0.947419130336855,above,above,-0.0272104352751004,0.0321781818828266,0.004092164272333276,1.0040921642723333
2010-02-16,1079.1300048828125,1051.8008735656738,False,0.2117622635212514,3.812193671690078,-0.9444513364853864,above,above,0.0235078426410877,0.0148785678001617,0.038736173471820345,1.0429868525292818
2010-02-17,1096.1400146484375,1052.9006858825683,False,0.2177911924413176,3.812193671690078,-0.9428698510102811,above,above,0.0133924423195286,0.0035302858725203,0.016970007341968074,1.06068634707428
2010-02-18,1099.030029296875,1053.9774360656738,False,0.2183371301338427,3.812193671690078,-0.9427266427319139,above,above,-0.0010199826983322,0.0199985213734683,0.01895814052934308,1.0807949878996699
2010-02-19,1105.489990234375,1055.1488735198975,False,0.2211896419188025,3.812193671690078,-0.9419783827979701,above,above,-0.0067978619080868,0.006844389120171,0.0,1.0807949878996699
2010-02-22,1110.0,1056.3103736877442,False,0.225333123005568,3.812193671690078,-0.9408914807558374,above,above,0.0118075042330167,-0.0186080862192008,-0.007020297042985568,1.0732074860420442
2010-02-23,1107.489990234375,1057.6328113555908,False,0.2199244149037374,3.812193671690078,-0.9423102722883863,above,above,-0.0054973742635479,-0.0337299737782212,-0.0390419217520106,1.0313074033483187
2010-02-24,1095.8900146484375,1058.8570613861084,False,0.2162525403214021,3.812193671690078,-0.943273464323881,above,above,0.0176285076198476,0.0123932014745242,0.030240182740999932,1.062494327687718
2010-02-25,1101.239990234375,1060.2583736419679,False,0.2119356614335032,3.812193671690078,-0.944405851411126,above,above,-0.0319593342316779,0.0324255389100638,-0.0005700939572830244,1.0618886060918555
2010-02-26,1103.0999755859375,1061.6544982910157,False,0.2181627947848259,3.812193671690078,-0.9427723737109854,above,above,-0.0029477683883308,0.0154683560514914,0.012474990532172603,1.0751356563990735
2010-03-01,1105.3599853515625,1063.0408107757569,False,0.2243413251449817,3.812193671690078,-0.9411516453607869,above,above,0.0126566005956867,0.0298595935959475,0.042894115141727696,1.1212526490376324
2010-03-02,1117.010009765625,1064.5194355010985,False,0.2330741484674836,3.812193671690078,-0.9388608846926306,above,above,0.0088040250448135,-0.002767406357378,0.006012254372556036,1.127993905179549
2010-03-03,1119.3599853515625,1065.8773109436036,False,0.2350348661967643,3.812193671690078,-0.9383465567496824,above,above,0.0112108517741742,-0.0055939833601194,0.005554155095777391,1.1342589582760076
2010-03-04,1119.1199951171875,1067.2082485198976,False,0.2345385162617609,3.812193671690078,-0.9384767573579802,above,above,0.003501758076621,0.0075110516906964,0.011039111653239342,1.1467801695601034
2010-03-05,1125.1199951171875,1068.3975608825683,False,0.2413363396235486,3.812193671690078,-0.9366935784465127,above,above,0.0213126927882603,0.0224114787884048,0.044201820539013115,1.197469940812698
2010-03-08,1138.4000244140625,1069.6348106384278,False,0.2469689561331623,3.812193671690078,-0.9352160521205439,above,above,0.0009074640355419,0.0044210437728631,0.005332519746628517,1.203855472918076
2010-03-09,1137.56005859375,1070.8730606079102,False,0.2466954786563391,3.812193671690078,-0.9352877896817424,above,above,-0.0055040455828387,0.0233343262376737,0.017701847459578035,1.2251659388630498
2010-03-10,1140.219970703125,1072.0563102722167,False,0.2527997428949531,3.812193671690078,-0.9336865425352647,above,above,0.0013776540696508,0.0230611147620674,0.024470539070320818,1.2551464098376244
2010-03-11,1143.9599609375,1073.2502475738524,False,0.2570670747794923,3.812193671690078,-0.9325671524276138,above,above,-0.0060415052185256,0.0153436371649258,0.009209433282397095,1.2667055969586642
2010-03-12,1151.7099609375,1074.476309967041,False,0.2638895979872641,3.812193671690078,-0.9307774943474284,above,above,0.0110270244099659,-0.0086504302350591,0.0022812056695482585,1.269595212948095
2010-03-15,1148.530029296875,1075.5619350433349,False,0.2598700116770095,3.812193671690078,-0.9318318967877096,above,above,-0.0066390762446859,-9.53857863379426e-05,-0.006733828757515603,1.2610459761927408
2010-03-16,1150.8299560546875,1076.6322475433349,False,0.2624014310995993,3.812193671690078,-0.9311678645688356,above,above,0.0098374227969111,0.0089827788052128,0.018908568995122055,1.2848905510396023
2010-03-17,1159.93994140625,1077.7402473449706,False,0.2655026951282031,3.812193671690078,-0.9303543529018827,above,above,0.0028107499637497,0.0041123208031585,0.006934629472456821,1.2938007909237228
2010-03-18,1166.1300048828125,1078.9064346313476,False,0.2675119985546472,3.812193671690078,-0.9298272801454891,above,above,0.003441447875822,0.0066778489546246,0.010142278299546614,1.3069228786094447
2010-03-19,1166.6800537109375,1080.0981842041015,False,0.2645347096236503,3.812193671690078,-0.930608271141069,above,above,-0.0176892755135952,0.0,-0.017689275513595226,1.2838043597347013
2010-03-22,1157.25,1081.1803718566894,False,0.2614335451970694,3.812193671690078,-0.9314217566808018,above,above,-0.0117230908223454,0.0391944713854228,0.027011900215292428,1.3184823549958125
2010-03-23,1166.469970703125,1082.2949348449706,False,0.2735408927162865,3.812193671690078,-0.9282458037880807,above,above,0.0068484831192732,0.0139703225494376,0.020914481186861567,1.3460577294045812
2010-03-24,1172.699951171875,1083.3670600891114,False,0.2754026165336184,3.812193671690078,-0.9277574435478451,above,above,-0.0070655974180786,-0.007209558995994,-0.014224216572644943,1.3269111127422477
2010-03-25,1170.030029296875,1084.379997253418,False,0.280091067697814,3.812193671690078,-0.9265275870484199,above,above,0.0244095301241553,-0.0299403941379087,-0.006261694966391729,1.3186024001067402
2010-03-26,1167.5799560546875,1085.3988098144532,False,0.2755760561890299,3.812193671690078,-0.9277119475236794,above,above,0.0142471614975405,-0.0089129285271825,0.005207249038215345,1.3254686911864846
2010-03-29,1167.7099609375,1086.4582469940185,False,0.2772385178890121,3.812193671690078,-0.9272758569566318,above,above,0.0150800139346578,-0.0013437110431336,0.013716039710269579,1.3436488723895175
2010-03-30,1173.75,1087.4753719329833,False,0.2791488268082483,3.812193671690078,-0.9267747520590968,above,above,0.0082452791763902,0.0022218874630886,0.01048548672191063,1.357737684799868
2010-03-31,1171.75,1088.5139347076415,False,0.2766430813121662,3.812193671690078,-0.9274320495921917,above,above,-0.0111734397257469,-0.0023316148061903,-0.013479002374436555,1.3394367353225884
