feature,win_mean,loss_mean,win_median,loss_median,loss_minus_win_mean,loss_minus_win_median,corr_with_episode_return,corr_with_tqqq_episode_return
GSPC_SMA160_RATIO,0.07983302102846092,0.0775833585425924,0.07664024330745534,0.07673835584429989,-0.0022496624858685116,9.811253684455234e-05,0.1256203328426465,0.03379746850061716
GSPC_SMA160_Z,1.8538137148970377,1.9343342047928016,1.9099413910322163,2.03666122665243,0.08052048989576388,0.12671983562021394,-0.14388514844585248,-0.02750241834700978
GSPC_SMA50_RATIO,0.045524749255803125,0.04368491099930494,0.04372294237486973,0.04367457167145694,-0.0018398382564981872,-4.837070341279226e-05,0.17402633927487424,0.19756753770209676
GSPC_SMA20_RATIO,0.022774760688398676,0.023596287871049865,0.021336960766544566,0.020681112034500293,0.0008215271826511883,-0.000655848732044273,0.03923940067375336,0.05126241658037883
GSPC_BB20_Z,1.9016333690518898,1.7731305824471988,1.77216482175224,1.6812232069120658,-0.12850278660469105,-0.09094161484017427,0.028647706453328006,0.007755393742842078
GSPC_SMA160_SLOPE_20D,0.011550247775394028,0.012347612454416054,0.011713623209637758,0.01130782103774608,0.0007973646790220262,-0.0004058021718916782,-0.047602231210368384,-0.05962677702156574
GSPC_CLOSE_RET_5D,0.012937791647561127,0.013052660089940916,0.012513938601117491,0.011462955930351959,0.00011486844237978966,-0.0010509826707655323,-0.01120009087316971,0.21119877390831548
GSPC_CLOSE_RET_10D,0.023099796467409537,0.02437681481403018,0.02152732223000564,0.02061143788157782,0.0012770183466206432,-0.0009158843484278201,-0.010428485219711299,0.09642369211442071
GSPC_CLOSE_RET_20D,0.04018414001168663,0.044504316099273064,0.03832561766012588,0.041077633482915266,0.004320176087586433,0.0027520158227893887,0.013423853149976989,0.20285623934555636
entry_rsi,71.03978862733598,70.74621130930687,70.78831556569122,70.41971719671469,-0.2935773180291079,-0.3685983689765351,0.13496515650797597,0.07523100571473555
pre10_tqqq_open_return,0.0638209028434837,0.07088360500940466,0.0615607152844219,0.06716409698641554,0.0070627021659209616,0.005603381701993641,0.10524127853111345,-0.2266422776689661
episode_tqqq_open_return,0.014788432005796024,0.02708750076369791,0.0,0.0188601376167135,0.012299068757901887,0.0188601376167135,0.13278836692548587,1.0
episode_return_pct,8.406884564474865,-6.0510084590175115,5.902427095294338,-2.9038439638405302,-14.457893023492376,-8.806271059134868,1.0,0.13278836692548573
