series,start_date,end_date,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,cash_wait_share
strategy,1992-08-18,2026-04-17,0.854887543271101,0.48599421440932383,-0.49545923435243533,1053685880.9207728,1.7590488074227986,268,0.0,0.2611209439528024
tecl_buy_hold,1992-08-18,2026-04-17,0.08785459150669594,0.7458890299755974,-0.999713839106049,16.97334201513379,0.11778506986430705,0,,
