name,entry_RSI_ge,exit_RSI_if,rsi_exit_gap,bb_window,bb_min_z,CAGR,MaxDD,AnnVol,uvix_entries,episode_win_rate
canonical,69.5,68.5,1.0,20,1.6,1.2067517432340442,-0.6568036304375768,0.6306481523337262,99,0.7126436781609196
joint_top_cagr,68.0,66.0,2.0,23,1.65,1.2860393772918997,-0.6480331659226761,0.6418789116926081,137,0.7053571428571429
