min_sma160_ratio_pct,kept_episodes,skipped_episodes,kept_win_rate,kept_avg_return_pct,kept_median_return_pct,skipped_loss_rate,skipped_avg_return_pct
0.0,97,0,0.6701030927835051,3.6372703711577916,3.0941502907246177,,
0.5,96,1,0.6770833333333334,3.7265389224664767,3.2087335467704703,1.0,-4.932510554475922
1.0,96,1,0.6770833333333334,3.7265389224664767,3.2087335467704703,1.0,-4.932510554475922
1.5,96,1,0.6770833333333334,3.7265389224664767,3.2087335467704703,1.0,-4.932510554475922
2.0,95,2,0.6736842105263158,3.6511780892102053,3.0941502907246177,0.5,2.9766537636681347
2.5,93,4,0.6666666666666666,3.5032653902081865,2.979870810323071,0.25,6.752886178236117
3.0,93,4,0.6666666666666666,3.5032653902081865,2.979870810323071,0.25,6.752886178236117
3.5000000000000004,93,4,0.6666666666666666,3.5032653902081865,2.979870810323071,0.25,6.752886178236117
4.0,92,5,0.6630434782608695,3.4695935212675453,2.970274973487108,0.2,6.722524409138328
4.5,91,6,0.6703296703296703,3.5250891663767123,2.979870810323071,0.3333333333333333,5.338685310337499
5.0,86,11,0.6744186046511628,3.855216292726716,3.0370105505238443,0.36363636363636365,1.9333295298007436
5.5,83,14,0.6626506024096386,3.800458180438133,2.979870810323071,0.2857142857142857,2.6697997875671993
6.0,73,24,0.6986301369863014,4.43358456502824,3.414045651775033,0.4166666666666667,1.2151480314685117
6.5,65,32,0.6923076923076923,4.276885778433932,3.0941502907246177,0.375,2.3380515751281314
7.000000000000001,59,38,0.6949152542372882,4.899030486651421,3.323316802816323,0.3684210526315789,1.6782217707861051
7.5,50,47,0.68,4.894050076673508,3.0274147136878815,0.3404255319148936,2.300270684438946
8.0,46,51,0.6739130434782609,5.026307104405095,3.0274147136878815,0.3333333333333333,2.3844137097974794
8.5,37,60,0.6756756756756757,4.731319006012187,2.9606791366511453,0.3333333333333333,2.9626070463309144
9.0,33,64,0.6666666666666666,4.896110297576739,3.0941502907246177,0.328125,2.988181034098022
9.5,30,67,0.6666666666666666,4.888852304252926,3.0274147136878815,0.3283582089552239,3.076860550368925
10.0,24,73,0.75,6.564898953964914,4.1515093646945616,0.3561643835616438,2.674762343933532
10.5,19,78,0.7368421052631579,7.07561977523779,4.263961786431536,0.34615384615384615,2.799723721445997
11.0,11,86,0.6363636363636364,8.904943721707177,4.263961786431536,0.32558139534883723,2.9634981984131032
11.5,11,86,0.6363636363636364,8.904943721707177,4.263961786431536,0.32558139534883723,2.9634981984131032
