Date,GSPC_OPEN,GSPC_SMA200_PREV_CLOSE,TQQQ_OPEN,base_target_regime_at_open,tqqq_running_drawdown_pct,selected_leg,action,strategy_return,strategy_equity
2010-02-12,1075.949951171875,1023.0816491699219,0.2004484585818023,above,0.0,TQQQ,,0.004092164272333276,1.0040921642723333
2010-02-16,1079.1300048828125,1024.0909991455078,0.2117622635212514,above,0.0,TQQQ,,0.038736173471820345,1.0429868525292818
2010-02-17,1096.1400146484375,1025.2012991333008,0.2177911924413176,above,0.0,TQQQ,,0.016970007341968074,1.06068634707428
2010-02-18,1099.030029296875,1026.3112490844726,0.2183371301338427,above,0.0,TQQQ,,0.01895814052934308,1.0807949878996699
2010-02-19,1105.489990234375,1027.3087991333007,0.2211896419188025,above,0.0,TQQQ,,0.0,1.0807949878996699
2010-02-22,1110.0,1028.3356494140626,0.225333123005568,above,0.0,TQQQ,,-0.007020297042985568,1.0732074860420442
2010-02-23,1107.489990234375,1029.2780493164062,0.2199244149037374,above,2.4003164868473092,TQQQ,,-0.0390419217520106,1.0313074033483187
2010-02-24,1095.8900146484375,1030.2140991210938,0.2162525403214021,above,4.029848147953608,TQQQ,,0.030240182740999932,1.062494327687718
2010-02-25,1101.239990234375,1031.0941491699218,0.2119356614335032,above,5.945624590546206,TQQQ,,-0.0005700939572830244,1.0618886060918555
2010-02-26,1103.0999755859375,1032.0626489257813,0.2181627947848259,above,3.1821012930109305,TQQQ,,0.012474990532172603,1.0751356563990735
2010-03-01,1105.3599853515625,1033.0433489990235,0.2243413251449817,above,0.4401473903868913,TQQQ,,0.042894115141727696,1.1212526490376324
2010-03-02,1117.010009765625,1034.2022988891601,0.2330741484674836,above,0.0,TQQQ,,0.006012254372556036,1.127993905179549
2010-03-03,1119.3599853515625,1035.3284991455077,0.2350348661967643,above,0.0,TQQQ,,0.005554155095777391,1.1342589582760076
2010-03-04,1119.1199951171875,1036.5080493164062,0.2345385162617609,above,0.2111814059910122,TQQQ,,0.011039111653239342,1.1467801695601034
2010-03-05,1125.1199951171875,1037.5743490600587,0.2413363396235486,above,0.0,TQQQ,,0.044201820539013115,1.197469940812698
2010-03-08,1138.4000244140625,1038.727198791504,0.2469689561331623,above,0.0,TQQQ,,0.005332519746628517,1.203855472918076
2010-03-09,1137.56005859375,1039.9023489379883,0.2466954786563391,above,0.11073354364252719,TQQQ,,0.017701847459578035,1.2251659388630498
2010-03-10,1140.219970703125,1041.1629486083984,0.2527997428949531,above,0.0,TQQQ,,0.024470539070320818,1.2551464098376244
2010-03-11,1143.9599609375,1042.4559985351561,0.2570670747794923,above,0.0,TQQQ,,0.009209433282397095,1.2667055969586642
2010-03-12,1151.7099609375,1043.6555484008788,0.2638895979872641,above,0.0,TQQQ,,0.0022812056695482585,1.269595212948095
2010-03-15,1148.530029296875,1044.9401983642579,0.2598700116770095,above,1.5232075613865415,TQQQ,,-0.006733828757515603,1.2610459761927408
2010-03-16,1150.8299560546875,1046.1585983276368,0.2624014310995993,above,0.5639354104956418,TQQQ,,0.018908568995122055,1.2848905510396023
2010-03-17,1159.93994140625,1047.360198059082,0.2655026951282031,above,0.0,TQQQ,,0.006934629472456821,1.2938007909237228
2010-03-18,1166.1300048828125,1048.4768978881837,0.2675119985546472,above,0.0,TQQQ,,0.010142278299546614,1.3069228786094447
2010-03-19,1166.6800537109375,1049.582347717285,0.2645347096236503,above,1.1129552868966774,TQQQ,,-0.017689275513595226,1.2838043597347013
2010-03-22,1157.25,1050.7230477905273,0.2614335451970694,above,2.27221709322174,TQQQ,,0.027011900215292428,1.3184823549958125
2010-03-23,1166.469970703125,1051.8397979736328,0.2735408927162865,above,0.0,TQQQ,,0.020914481186861567,1.3460577294045812
2010-03-24,1172.699951171875,1053.010198059082,0.2754026165336184,above,0.0,TQQQ,,-0.014224216572644943,1.3269111127422477
2010-03-25,1170.030029296875,1054.1530978393555,0.280091067697814,above,0.0,TQQQ,,-0.006261694966391729,1.3186024001067402
2010-03-26,1167.5799560546875,1055.2695977783203,0.2755760561890299,above,1.6119798270951113,TQQQ,,0.005207249038215345,1.3254686911864846
2010-03-29,1167.7099609375,1056.4067974853515,0.2772385178890121,above,1.0184365507433735,TQQQ,,0.013716039710269579,1.3436488723895175
2010-03-30,1173.75,1057.548447265625,0.2791488268082483,above,0.33640519039409567,TQQQ,,0.01048548672191063,1.357737684799868
2010-03-31,1171.75,1058.683747253418,0.2766430813121662,above,1.231023328943781,TQQQ,,-0.013479002374436555,1.3394367353225884
2010-04-01,1171.22998046875,1059.912297668457,0.2790744652516145,above,0.36295425432713024,TQQQ,,-0.00197798153883888,1.3367873541876778
2010-04-05,1178.7099609375,1061.242947692871,0.2774615473895696,above,0.9388090558751339,TQQQ,,0.028912632951761275,1.3754373962938622
2010-04-06,1186.010009765625,1062.6265972900392,0.2812571955398377,above,0.0,TQQQ,,0.007617141228158264,1.3859142971919227
2010-04-07,1188.22998046875,1063.9819470214843,0.2846070697167064,above,0.0,TQQQ,,-0.005648014752191566,1.3780866327961094
2010-04-08,1181.75,1065.288046875,0.2810837925093422,above,1.2379443739297336,TQQQ,,0.0035831591833239695,1.3830245365698288
2010-04-09,1187.469970703125,1066.7550466918944,0.285921805492033,above,0.0,TQQQ,,0.018019780754157777,1.4079463354964379
