condition,total_episodes,baseline_win_rate,baseline_avg_return_pct,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,loss_recall,win_cost_rate,kept_n,kept_win_rate,kept_avg_return_pct,kept_median_return_pct,win_rate_improvement,avg_return_improvement_pct
entry_rsi >= 69.602,97,0.6701030927835051,3.6372703711577916,92,30,62,0.32608695652173914,3.780262592543609,0.9375,0.9538461538461539,5,0.6,1.0062134976587611,1.2867127325011385,-0.07010309278350513,-2.6310568734990305
entry_rsi <= 69.705,97,0.6701030927835051,3.6372703711577916,10,4,6,0.4,0.05093450265651338,0.125,0.09230769230769231,87,0.6781609195402298,4.049492884778628,3.323316802816323,0.008057826756724729,0.4122225136208364
entry_rsi >= 69.705,97,0.6701030927835051,3.6372703711577916,87,28,59,0.3218390804597701,4.049492884778628,0.875,0.9076923076923077,10,0.6,0.05093450265651338,1.849622228821468,-0.07010309278350513,-3.586335868501278
entry_rsi <= 69.865,97,0.6701030927835051,3.6372703711577916,15,5,10,0.3333333333333333,1.1359976425492428,0.15625,0.15384615384615385,82,0.6707317073170732,4.094820260537405,3.0370105505238443,0.0006286145335681059,0.4575498893796137
entry_rsi >= 69.865,97,0.6701030927835051,3.6372703711577916,82,27,55,0.32926829268292684,4.094820260537405,0.84375,0.8461538461538461,15,0.6666666666666666,1.1359976425492428,3.4312482302532477,-0.0034364261168384758,-2.5012727286085488
entry_rsi <= 69.965,97,0.6701030927835051,3.6372703711577916,20,6,14,0.3,1.266982610411562,0.1875,0.2153846153846154,77,0.6623376623376623,4.252929529793176,3.323316802816323,-0.007765430445842769,0.6156591586353848
entry_rsi >= 69.965,97,0.6701030927835051,3.6372703711577916,77,26,51,0.33766233766233766,4.252929529793176,0.8125,0.7846153846153846,20,0.7,1.266982610411562,2.4566086049068514,0.02989690721649485,-2.37028776074623
entry_rsi <= 70.083,97,0.6701030927835051,3.6372703711577916,25,8,17,0.32,0.9140163581202674,0.25,0.26153846153846155,72,0.6666666666666666,4.582844681240265,3.368681227295678,-0.0034364261168384758,0.9455743100824732
entry_rsi >= 70.083,97,0.6701030927835051,3.6372703711577916,73,24,49,0.3287671232876712,4.584768360950194,0.75,0.7538461538461538,24,0.6666666666666666,0.7552973188725716,2.345037528471494,-0.0034364261168384758,-2.88197305228522
entry_rsi <= 70.175,97,0.6701030927835051,3.6372703711577916,29,11,18,0.3793103448275862,0.2576932920883185,0.34375,0.27692307692307694,68,0.6911764705882353,5.078560596055067,3.630429741655339,0.021073377804730176,1.4412902248972754
entry_rsi >= 70.175,97,0.6701030927835051,3.6372703711577916,68,21,47,0.3088235294117647,5.078560596055067,0.65625,0.7230769230769231,29,0.6206896551724138,0.2576932920883185,2.2775433318011906,-0.04941343761109129,-3.379577079069473
entry_rsi <= 70.302,97,0.6701030927835051,3.6372703711577916,34,14,20,0.4117647058823529,0.06286884568793216,0.4375,0.3076923076923077,63,0.7142857142857143,5.566312464268509,3.846813831535645,0.044182621502209196,1.9290420931107173
entry_rsi >= 70.302,97,0.6701030927835051,3.6372703711577916,63,18,45,0.2857142857142857,5.566312464268509,0.5625,0.6923076923076923,34,0.5882352941176471,0.06286884568793216,2.1963204121990043,-0.08186779866585803,-3.5744015254698596
entry_rsi <= 70.432,97,0.6701030927835051,3.6372703711577916,39,16,23,0.41025641025641024,-0.3290181830700374,0.5,0.35384615384615387,58,0.7241379310344828,6.304257502448918,4.564104259456903,0.05403483825097766,2.666987131291126
entry_rsi >= 70.432,97,0.6701030927835051,3.6372703711577916,58,16,42,0.27586206896551724,6.304257502448918,0.5,0.6461538461538462,39,0.5897435897435898,-0.3290181830700374,2.115097492596818,-0.08035950303991535,-3.966288554227829
entry_rsi <= 70.503,97,0.6701030927835051,3.6372703711577916,44,18,26,0.4090909090909091,0.13743721690899205,0.5625,0.4,53,0.7358490566037735,6.542792235062456,4.039056942957586,0.06574596382026843,2.9055218639046645
entry_rsi >= 70.503,97,0.6701030927835051,3.6372703711577916,53,14,39,0.2641509433962264,6.542792235062456,0.4375,0.6,44,0.5909090909090909,0.13743721690899205,2.1963204121990043,-0.07919400187441417,-3.4998331542487997
entry_rsi <= 70.622,97,0.6701030927835051,3.6372703711577916,49,20,29,0.40816326530612246,0.2477874366748927,0.625,0.4461538461538462,48,0.75,7.097367533442418,5.42866024974773,0.0798969072164949,3.460097162284627
entry_rsi >= 70.622,97,0.6701030927835051,3.6372703711577916,49,12,37,0.24489795918367346,7.0600357921417345,0.375,0.5692307692307692,48,0.5833333333333334,0.14319733723668446,1.7009051125489782,-0.08676975945017174,-3.494073033921107
entry_rsi <= 70.750,97,0.6701030927835051,3.6372703711577916,53,22,31,0.41509433962264153,0.16680075193296207,0.6875,0.47692307692307695,44,0.7727272727272727,7.817608776133155,6.158265925128292,0.1026241799437676,4.180338404975363
