entry_rule,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,uvix_exits,uvix_day_share,low_rsi_entries,low_rsi_exits,low_rsi_day_share,episode_count,episode_win_rate,episode_avg_return_pct,episode_median_return_pct,bb_window,bb_min_z,bb_window_short,bb_window_long,bb_min_z_both,cagr_delta_vs_rsi_only
bb_and_bb,1.3201785652406635,0.6685347180092861,-0.6036281025885808,798013.7798472161,323,322,0.1363971491767019,11,11,0.005898255099533055,178,0.6348314606741573,2.1977898183014934,1.2331060948944539,,,20.0,60.0,1.6,0.2556206523678721
bb_and_bb,1.2430782243692766,0.6628425592589897,-0.6705130498054162,462406.12673660566,260,259,0.11845662324895552,11,11,0.005898255099533055,179,0.6201117318435754,2.23382246136994,1.31475925525244,,,10.0,40.0,1.6,0.17852031149648528
bb_and_bb,1.1580134016076133,0.7259121858635962,-0.8117629870824739,247693.0549362962,625,624,0.2273285819611698,11,11,0.005898255099533055,384,0.5651041666666666,0.8357243910422847,0.7659172869395658,,,5.0,20.0,1.2,0.09345548873482201
bb_and_bb,1.1208713016906273,0.6894784424730441,-0.7189237126204928,187141.30024628117,409,408,0.16343081838289505,11,11,0.005898255099533055,298,0.5805369127516778,1.691923067167125,0.983689534879062,,,5.0,20.0,1.4,0.056313388817835985
bb_and_bb,1.1060889817452635,0.6976297994443412,-0.6651995320261918,167156.0324566978,449,448,0.1848119931187024,11,11,0.005898255099533055,258,0.5658914728682171,0.8934349862691386,0.8225911357892857,,,10.0,40.0,1.4,0.041531068872472154
bb_and_bb,1.0962739056694284,0.6487111463696722,-0.6587594572055772,155011.9526147379,230,229,0.10223642172523961,11,11,0.005898255099533055,196,0.6428571428571429,2.8394851301534034,1.978670089834611,,,5.0,20.0,1.6,0.03171599279663706
bb_and_bb,1.041008957433292,0.6689636884400333,-0.6939726466456753,100695.8734762934,310,309,0.1292700909314328,11,11,0.005898255099533055,208,0.5865384615384616,1.6070218618078083,1.1174548518161131,,,10.0,20.0,1.6,-0.02354895543949942
bb_and_bb,0.9955492218989603,0.7339107129626757,-0.6346802756663051,69993.20805445047,668,667,0.24846399606782993,11,11,0.005898255099533055,301,0.5382059800664452,0.5361904199321514,0.5052519309908465,,,10.0,40.0,1.2,-0.069008690973831
bb_and_bb,0.9302199892842424,0.7179822515826039,-0.8434585921905634,40892.46348793045,540,539,0.20422708282133203,11,11,0.005898255099533055,291,0.5326460481099656,0.4932282375578865,0.6270828439667531,,,10.0,20.0,1.4,-0.1343379235885489
bb_and_bb,0.9282910545747523,0.6233078453434695,-0.659517040148783,40237.59016955217,119,119,0.0624231998033915,11,11,0.005898255099533055,97,0.6288659793814433,3.402973555261088,1.9782179976519876,,,10.0,40.0,1.8,-0.13626685829803908
bb_and_bb,0.9143646305535831,0.6305176121366143,-0.695594428755552,35793.40138754291,166,166,0.08011796510199067,11,11,0.005898255099533055,124,0.5725806451612904,2.509984974837565,0.7908865837904289,,,10.0,20.0,1.8,-0.15019328231920825
bb_and_bb,0.907315704518209,0.612883352077653,-0.6644087691152429,33723.64527270752,119,118,0.053084295895797495,11,11,0.005898255099533055,107,0.7009345794392523,3.721198839080215,2.9551161185618957,,,5.0,20.0,1.8,-0.15724220835458236
bb_and_bb,0.8683510391274598,0.6230775667149914,-0.649380548756468,24165.325273157396,140,140,0.0720078643401327,11,11,0.005898255099533055,95,0.631578947368421,3.0387138738537143,1.7475395339105138,,,20.0,60.0,1.8,-0.19620687374533152
bb_and_bb,0.8462952965426425,0.7072489689732108,-0.6114684494765701,19948.87399349098,567,566,0.2202015237159007,11,11,0.005898255099533055,230,0.5347826086956522,0.21792050715759856,0.6974091122522008,,,20.0,60.0,1.4,-0.21826261633014887
bb_and_bb,0.7964145168612633,0.7641064702549637,-0.8349775666527228,12819.12075837119,856,855,0.2944212337183583,11,11,0.005898255099533055,415,0.5084337349397591,0.33736164458897017,0.2571555887693533,,,5.0,20.0,1.0,-0.26814339601152803
bb_and_bb,0.7845887752514529,0.6019654860354735,-0.6480331659226761,11522.393484104525,51,51,0.030228557385106904,11,11,0.005898255099533055,47,0.7021276595744681,4.2796525644003145,3.9844410049890255,,,10.0,40.0,2.0,-0.27996913762133846
bb_and_bb,0.7740385005660562,0.7521362691746625,-0.8303522704159279,10470.387365485383,773,772,0.273040058982551,11,11,0.005898255099533055,333,0.5195195195195195,0.08488107512295624,0.18209234040897915,,,10.0,20.0,1.2,-0.29051941230673517
bb_and_bb,0.7688561257812769,0.6132541129610807,-0.6493805487564682,9987.291140509102,85,85,0.04890636520029491,11,11,0.005898255099533055,70,0.6285714285714286,3.1065125337163564,1.7512274717206289,,,10.0,20.0,2.0,-0.2957017870915144
bb_and_bb,0.734099198213189,0.5985213249275975,-0.6493805487564674,7249.117256904922,44,44,0.029491275497665274,11,11,0.005898255099533055,40,0.7,5.01411134680574,3.074449113287525,,,5.0,20.0,2.0,-0.3304587146596023
bb_and_bb,0.6824307683984587,0.6030692605538575,-0.6493805487564679,4448.038666161384,51,51,0.03588105185549275,11,11,0.005898255099533055,37,0.5675675675675675,4.313380265733498,0.8652625558183136,,,20.0,60.0,2.0,-0.3821271444743326
bb_and_bb,0.675378666615349,0.7539904798205032,-0.7066387364446272,4156.360170587922,902,901,0.31383632342098794,11,11,0.005898255099533055,306,0.49673202614379086,-0.09716323720261176,-0.02072964605484562,,,10.0,40.0,1.0,-0.3891792462574424
bb_and_bb,0.6617850842205026,0.7422486179073526,-0.7244216473451168,3644.0446970593334,830,829,0.29663307938068323,11,11,0.005898255099533055,247,0.5060728744939271,-0.3630865647901578,0.08513215697225629,,,20.0,60.0,1.2,-0.4027728286522887
bb_and_bb,0.49650646562434253,0.7799100323412101,-0.8591614821598762,671.3724953734691,1047,1046,0.3494716146473335,11,11,0.005898255099533055,346,0.48554913294797686,-0.5472852373087783,-0.16922617145292418,,,10.0,20.0,1.0,-0.5680514472484488
bb_and_bb,0.4515822391587132,0.7788032482571368,-0.8504601232839376,410.42026442354165,1087,1086,0.36913246497911034,11,11,0.005898255099533055,266,0.5150375939849624,-0.7449324966361345,0.14794005670651922,,,20.0,60.0,1.0,-0.6129756737140781
