Date,gspc_open_implied_rsi14,TQQQ_OPEN,GSPC_SMA160_RATIO,GSPC_BB20_Z,GSPC_PREV_CLOSE_RET_10D,GSPC_PREV_CLOSE_RET_20D,PRE5_TQQQ_OPEN_RETURN,PRE10_TQQQ_OPEN_RETURN,PRE20_TQQQ_OPEN_RETURN,base_target_regime_at_open,selected_leg,action,skip_reason,strategy_return,strategy_equity
2010-02-12,43.0378122589776,0.2004484585818023,0.023904320103449228,-0.7184003773017456,-0.005587727799182152,-0.058663919992422264,,,,above,TQQQ,,,0.004092164272333276,1.0040921642723333
2010-02-16,44.48138382896311,0.2117622635212514,0.025983179900289644,-0.5187066410838862,0.0015272003649366983,-0.06351980360928311,,,,above,TQQQ,,,0.038736173471820345,1.0429868525292818
2010-02-17,50.908889597757366,0.2177911924413176,0.04106686351868505,0.25311104071779483,0.005214934048696884,-0.03623146670265642,,,,above,TQQQ,,,0.016970007341968074,1.06068634707428
2010-02-18,51.894853623923495,0.2183371301338427,0.042745310942684966,0.5953524944674592,-0.0034531565719009283,-0.04409550399864837,,,,above,TQQQ,,,0.01895814052934308,1.0807949878996699
2010-02-19,54.0708642844092,0.2211896419188025,0.04770996584258613,1.2211222392909,0.008630404682743897,-0.02749467328783639,,,,above,TQQQ,,,0.0,1.0807949878996699
2010-02-22,55.7495079333542,0.225333123005568,0.050827510218248495,1.5922173148314296,0.043325769890608434,-0.006547306401650355,0.10347389789747763,,,above,TQQQ,,,-0.007020297042985568,1.0732074860420442
2010-02-23,54.669295747765624,0.2199244149037374,0.04714034809007228,1.312234967390768,0.03922384439700921,0.014884223505757799,0.06408535335170651,,,above,TQQQ,,,-0.0390419217520106,1.0313074033483187
2010-02-24,49.66688732781187,0.2162525403214021,0.03497445936078547,0.593407996880427,0.03582715303805761,-0.001987685454425292,0.009794805926298444,,,above,TQQQ,,,0.030240182740999932,1.062494327687718
2010-02-25,51.599956256622306,0.2119356614335032,0.038652480952954926,0.8630626140225522,0.03243280841990037,0.011966951814434523,-0.009547573567366796,,,above,TQQQ,,,-0.0005700939572830244,1.0618886060918555
2010-02-26,52.38885222080758,0.2181627947848259,0.039038573624129214,0.9477548040188585,0.032589606475156074,0.0049566664293849705,-0.041837313922215125,,,above,TQQQ,,,0.012474990532172603,1.0751356563990735
2010-03-01,53.348942640123695,0.2243413251449817,0.039809548369947434,1.0001599634969272,0.024126790952079924,0.0184042492123897,-0.031821012930109305,0.08837352169407886,,above,TQQQ,,,0.042894115141727696,1.1212526490376324
2010-03-02,57.95909571186113,0.2330741484674836,0.0493091741813223,1.5061833741059123,0.03737757046132506,0.038961853865510765,0.020083764884301747,0.05940180943743978,,above,TQQQ,,,0.006012254372556036,1.127993905179549
2010-03-03,58.86472895239853,0.2350348661967643,0.05017713939384971,1.4726842788902101,0.021408992465862253,0.026735572998317636,0.07778686956037895,0.07017251641286593,,above,TQQQ,,,0.005554155095777391,1.1342589582760076
2010-03-04,58.78030234093101,0.2345385162617609,0.048642565000116766,1.3624495343228846,0.017535110299709666,0.01402140224643822,0.10899159021667848,0.07647685051409137,,above,TQQQ,,,0.011039111653239342,1.1467801695601034
2010-03-05,61.24140687428907,0.2413363396235486,0.05309113041007185,1.5209294018991872,0.01465549645640385,0.02341238400439294,0.07506193479546486,0.06035035920831544,,above,TQQQ,,,0.044201820539013115,1.197469940812698
2010-03-08,65.85538710725993,0.2469689561331623,0.06428849649591273,1.9010809894456755,0.026623426577159215,0.0711026769213492,0.07575516667552806,0.07102025838245352,,above,TQQQ,,,0.005332519746628517,1.203855472918076
2010-03-09,65.27130290266851,0.2466954786563391,0.06227348547547096,1.6567742368050922,0.027517793129706813,0.06782099116258467,0.05961539603186483,0.12297198217516003,,above,TQQQ,,,0.017701847459578035,1.2251659388630498
2010-03-10,66.43804878531058,0.2527997428949531,0.06358216427418828,1.6598515616395342,0.0418874260995612,0.07921528636285813,0.049612266674565975,0.14077493975188293,,above,TQQQ,,,0.024470539070320818,1.2551464098376244
2010-03-11,67.16713398531223,0.2570670747794923,0.06588371493367107,1.6505585558627147,0.03652599930683542,0.07014344846459974,0.07786024625827959,0.19281361704326194,,above,TQQQ,,,0.009209433282397095,1.2667055969586642
2010-03-12,70.50812620706434,0.2638895979872641,0.07188027344486358,1.863014770611395,0.04288542562690889,0.07687265124676568,0.06518179226751131,0.17832683172691177,,above,UVIX,enter_uvix_high_rsi,,-0.010230582567048896,1.2537464607608357
2010-03-15,68.5521245885098,0.2598700116770095,0.06784183399963872,1.5472830394263966,0.041195484252731784,0.06631619004154699,0.06851323388587516,0.17628616937483144,0.31649602024538237,above,TQQQ,exit_uvix,,0.03950380002512888,1.303274210228945
2010-03-16,70.12376771009264,0.2624014310995993,0.06891648348882118,1.5614688701174475,0.031190945717544327,0.06973435795018212,0.053404031125448004,0.11496711834287465,0.22717809753167018,above,TQQQ,skip_uvix_loss_filter,skip_bb20_z_lte_1p607,0.018908568995122055,1.3279172605526222
2010-03-17,73.36380738221656,0.2655026951282031,0.07627041326866979,1.7936688377634888,0.03679650560909287,0.058993274186310396,0.03798140019721474,0.11643619240697878,0.20483031548808683,above,UVIX,enter_uvix_high_rsi,,-0.010481398833933175,1.3139988301263061
2010-03-18,75.26156717782348,0.2675119985546472,0.08084442492111776,1.829883322937506,0.04238500542491064,0.06066334146979968,0.0328148610861454,0.13202172231653453,0.21602173192185625,above,UVIX,,,-0.023957745470795877,1.2825183806052165
2010-03-19,75.26238926893018,0.2645347096236503,0.08016111014077487,1.6378763778594663,0.03816663532394071,0.053381482769087496,0.013726954737935282,0.1084613240257517,0.20942371547782224,above,UVIX,exit_uvix|enter_uvix_high_rsi,,0.023655185421993297,1.3128565907055474
2010-03-22,66.9512374911291,0.2614335451970694,0.0703579440798372,1.082871989871518,0.018617787082865656,0.045736882947454705,0.01795012020255138,0.07112535018780552,0.17397170063237266,above,TQQQ,exit_uvix,,0.13477846082712786,1.4898013812875917
2010-03-23,71.89290650080268,0.2735408927162865,0.0777745817226907,1.343474733933888,0.023987754583882248,0.05216563778187466,-0.0036885694505320865,0.059741940229319335,0.18874271104234097,above,TQQQ,skip_uvix_loss_filter,skip_bb20_z_lte_1p607,0.020914481186861567,1.5209598042486914
2010-03-24,73.1182584187542,0.2754026165336184,0.08245856309810229,1.4795574449232176,0.029567358689250867,0.07269328534086728,0.030275389800476393,0.08204577102735455,0.2649141245219153,above,TQQQ,skip_uvix_loss_filter,skip_bb20_z_lte_1p607,-0.014224216572644943,1.4993253425947703
