asset,leg,model,alpha,beta,train_rows,test_rows,test_corr,test_mae_bps,test_rmse_bps,test_mean_error_bps,full_corr,full_mae_bps,full_rmse_bps,full_mean_error_bps
TQQQ,CTO,linear_actual_vs_proxy,0.00021768769495351045,2.914680887138566,2850,1222,0.9948592502650745,20.375705115345337,26.33359702648184,6.804265745514192,0.9888371733017467,20.48136906415434,35.048182245818246,2.1811847242144527e-15
TQQQ,OTC,linear_actual_vs_proxy,-0.00027654015795559373,2.929719373392572,2850,1222,0.9974800428817611,20.382514365024615,26.949887008779026,-4.053542225922669,0.9932537222715976,20.31863123502612,35.342661477807965,-6.8843642858018666e-15
TMF,CTO,linear_actual_vs_proxy,-0.00010119433325861322,2.975515642970575,2996,1284,0.997418247655573,11.842016191266564,15.722634434064547,2.540399086237382,0.9917079241806946,13.427908462638069,25.46327819813608,-5.577054913420764e-15
TMF,OTC,linear_actual_vs_proxy,-9.607446772141486e-05,2.948762336444204,2996,1284,0.9972458047011468,10.793135991926494,14.696671761049227,-0.019667771128251337,0.9911942004082349,13.684718937204325,26.255172449945313,-1.7509358449111699e-15
GLD,CTO,linear_actual_vs_proxy,0.00021964484805832093,0.49174366101060685,3754,1610,0.40376457638249597,52.23031214303936,77.85112759629382,-3.940510107946698,0.38404692538888097,51.00429230243772,74.86575144971916,3.104650516289588e-15
GLD,OTC,linear_actual_vs_proxy,2.0408525158451988e-05,0.44044264442566816,3754,1610,0.562975429812526,39.4363348772157,57.14936174310189,1.8985001661997467,0.5591487602620073,42.93490649532793,63.34506627893063,0.0
