Date,signal_date,gspc_prev_close_rsi14,GSPC_CLOSE_BB20_Z,GSPC_SIGNAL_CLOSE,base_target_regime_at_open,selected_leg,action,strategy_return,strategy_equity
2010-02-12,2010-02-11,43.84806055098826,-0.7056437713510477,1078.469970703125,TQQQ,TQQQ,,0.004092164272333054,1.004092164272333
2010-02-16,2010-02-12,42.899420467473185,-0.734210950495585,1075.510009765625,TQQQ,TQQQ,,0.038736173471820345,1.0429868525292816
2010-02-17,2010-02-16,50.45027432569435,0.10157379584357153,1094.8699951171875,TQQQ,TQQQ,,0.016970007341968074,1.0606863470742796
2010-02-18,2010-02-17,52.08565956533895,0.39754934947601334,1099.510009765625,TQQQ,TQQQ,,0.01895814052934286,1.080794987899669
2010-02-19,2010-02-18,54.60336981296703,1.0009555777557353,1106.75,TQQQ,TQQQ,,0.0,1.080794987899669
2010-02-22,2010-02-19,55.44611402354992,1.453287815956861,1109.1700439453125,TQQQ,TQQQ,,-0.007020297042985568,1.0732074860420433
2010-02-23,2010-02-22,54.91981394422783,1.461457895251337,1108.010009765625,TQQQ,TQQQ,,-0.0390419217520106,1.0313074033483178
2010-02-24,2010-02-23,49.115813394041574,0.5032658318780472,1094.5999755859375,TQQQ,TQQQ,,0.030240182740999932,1.062494327687717
2010-02-25,2010-02-24,53.33017311090678,1.1825288216525363,1105.239990234375,TQQQ,TQQQ,,-0.0005700939572831354,1.0618886060918546
2010-02-26,2010-02-25,52.32136778230418,0.9670099542431853,1102.93994140625,TQQQ,TQQQ,,0.012474990532172603,1.0751356563990726
2010-03-01,2010-02-26,52.96706580175005,1.0316519154408115,1104.489990234375,TQQQ,TQQQ,,0.042894115141727696,1.1212526490376313
2010-03-02,2010-03-01,57.45816747389516,1.6103538234275012,1115.7099609375,TQQQ,TQQQ,,0.006012254372556036,1.1279939051795478
2010-03-03,2010-03-02,58.44836436337921,1.5800116447545605,1118.31005859375,TQQQ,TQQQ,,0.005554155095777391,1.1342589582760065
2010-03-04,2010-03-03,58.63974902062617,1.4420694595729313,1118.7900390625,TQQQ,TQQQ,,0.011039111653239342,1.1467801695601023
2010-03-05,2010-03-04,60.352389898411325,1.561116279570657,1122.969970703125,TQQQ,TQQQ,,0.044201820539013115,1.197469940812697
2010-03-08,2010-03-05,66.04970657608663,2.1846553077801483,1138.699951171875,TQQQ,TQQQ,,0.005332519746628517,1.2038554729180748
2010-03-09,2010-03-08,65.92003308104009,1.9057601184724686,1138.5,TQQQ,TQQQ,,0.017701847459578035,1.2251659388630487
2010-03-10,2010-03-09,66.6085274016894,1.789169921971684,1140.449951171875,TQQQ,TQQQ,,0.024470539070320818,1.2551464098376233
2010-03-11,2010-03-10,68.42630256702567,1.9181410244054147,1145.6099853515625,TQQQ,UVIX,enter_uvix_prev_close,-0.03598753435716684,1.2099767852903172
2010-03-12,2010-03-11,70.00419940307481,1.9499380426836659,1150.239990234375,TQQQ,UVIX,,-0.01873727470279074,1.1873051178803329
2010-03-15,2010-03-12,69.80135629013088,1.779280751546163,1149.989990234375,TQQQ,UVIX,,0.004835764149229815,1.1930466454035757
2010-03-16,2010-03-15,69.99610658229895,1.6445027235119245,1150.510009765625,TQQQ,UVIX,,-0.061057285096685066,1.1202024562415258
2010-03-17,2010-03-16,73.1995592389637,2.0097258260102575,1159.4599609375,TQQQ,UVIX,,-0.0735037033535485,1.0378634272020324
2010-03-18,2010-03-17,75.33817923570511,2.1065673369113505,1166.2099609375,TQQQ,UVIX,,-0.023957745470795988,1.0129985593796782
2010-03-19,2010-03-18,74.97545141749055,1.8157315316613465,1165.8299560546875,TQQQ,UVIX,,0.023655185421993297,1.0369612281340166
2010-03-22,2010-03-19,69.36316486054201,1.3327441587861344,1159.9000244140625,TQQQ,UVIX,,-0.03254095767829168,1.0032175166952781
2010-03-23,2010-03-22,71.64155528175249,1.462347255332664,1165.81005859375,TQQQ,UVIX,,-0.04111485499564238,0.9619703739672634
2010-03-24,2010-03-23,74.52730910292857,1.6798163720195078,1174.1700439453125,TQQQ,UVIX,,0.05568994332259547,1.0155424495715162
2010-03-25,2010-03-24,68.71717716665628,1.2563368737180098,1167.719970703125,TQQQ,UVIX,,0.0028720893839842,1.018459178259916
2010-03-26,2010-03-25,66.98217204012582,1.0593390985075286,1165.72998046875,TQQQ,UVIX,,-0.0074139188484657614,1.0109084045618217
2010-03-29,2010-03-26,67.36564546383791,1.0256242550775656,1166.5899658203125,TQQQ,UVIX,,-0.03937033849875182,0.9711085984829897
2010-03-30,2010-03-29,70.23569862866051,1.3290106839247477,1173.219970703125,TQQQ,UVIX,,-0.01950222385757705,0.9521698212053565
2010-03-31,2010-03-30,70.25696360799567,1.2405081602357404,1173.27001953125,TQQQ,UVIX,,-0.020326172884950755,0.9328158528037038
2010-04-01,2010-03-31,66.34073803127563,0.9244599457629802,1169.4300537109375,TQQQ,UVIX,,-0.010132729978339139,0.9233638816477298
2010-04-05,2010-04-01,70.3582295737263,1.4975024274076512,1178.0999755859375,TQQQ,UVIX,,-0.07480840215550566,0.8542885050535577
2010-04-06,2010-04-05,73.96357237283306,2.2422345143618485,1187.43994140625,TQQQ,UVIX,,-0.06410208764479652,0.7995268284286723
2010-04-07,2010-04-06,74.67393409196191,2.1421499274933216,1189.43994140625,TQQQ,UVIX,,0.03501441607363298,0.8275217934613059
2010-04-08,2010-04-07,67.71977071614499,1.3800308191865078,1182.449951171875,TQQQ,UVIX,,-0.018828914577066924,0.8119404563015618
2010-04-09,2010-04-08,69.46766751680829,1.629200804765452,1186.43994140625,TQQQ,UVIX,,-0.03007765913618421,0.7875191880180455
2010-04-12,2010-04-09,72.63872743686122,2.1899151149075,1194.3699951171875,TQQQ,UVIX,,0.0007274749143857395,0.7880920884719261
2010-04-13,2010-04-12,73.4294656883994,2.1092565606077223,1196.47998046875,TQQQ,UVIX,,0.0036129068826957766,0.7909393918025645
2010-04-14,2010-04-13,73.74702892146776,1.958797675116829,1197.300048828125,TQQQ,UVIX,,-0.04305982024819044,0.756881683764333
2010-04-15,2010-04-14,78.29488850301144,2.9118706646788954,1210.6500244140625,TQQQ,UVIX,,0.004175917570484522,0.7600423592863423
2010-04-16,2010-04-15,78.59992830811605,2.457857666809316,1211.6700439453125,TQQQ,UVIX,,0.0763567195346424,0.8180767005488175
2010-04-19,2010-04-16,60.93339006151265,0.7569917516811561,1192.1300048828125,TQQQ,TQQQ,exit_uvix_rsi,0.09377706804013153,0.8947935349582303
2010-04-20,2010-04-19,63.37858574937104,1.0445756822976118,1197.52001953125,TQQQ,TQQQ,,0.014785054735754644,0.9080231063497871
2010-04-21,2010-04-20,67.3221143393722,1.6340112679439052,1207.1700439453125,TQQQ,TQQQ,,0.017599911740855623,0.924004232880201
2010-04-22,2010-04-21,66.34142319855056,1.3808859374887723,1205.93994140625,TQQQ,TQQQ,,0.014802817999693296,0.9376820993704728
2010-04-23,2010-04-22,67.47389876733436,1.42567879650912,1208.6700439453125,TQQQ,TQQQ,,0.013238130767937228,0.950095257620693
2010-04-26,2010-04-23,70.8095595442498,1.8793901405193916,1217.280029296875,TQQQ,UVIX,enter_uvix_prev_close,-0.02106538152633508,0.9300811385325515
2010-04-27,2010-04-26,66.35787216639238,1.3391129323985802,1212.050048828125,TQQQ,TQQQ,exit_uvix_gspc_profit,-0.07786914009938639,0.8576565200523634
2010-04-28,2010-04-27,48.54712645636831,-0.7677437576088391,1183.7099609375,TQQQ,TQQQ,,0.002351390562511435,0.8596732054994909
2010-04-29,2010-04-28,52.27118592018294,-0.27522833447846107,1191.3599853515625,TQQQ,TQQQ,,0.0510412680829293,0.9035520160451016
2010-04-30,2010-04-29,58.751842398661985,0.8582770533527245,1206.780029296875,TQQQ,TQQQ,,-0.058927174243170954,0.8503082489578435
2010-05-03,2010-04-30,49.350118987158254,-0.9962060910453193,1186.68994140625,TQQQ,TQQQ,,0.04084008420627527,0.8850349094465724
2010-05-04,2010-05-03,55.31790053549393,0.3763881215425478,1202.260009765625,TQQQ,TQQQ,,-0.08840672023511864,0.8067918758088157
2010-05-05,2010-05-04,44.84397547379059,-2.4646932205085066,1173.5999755859375,TQQQ,TQQQ,,-0.016432503518346797,0.7935342654710138
2010-05-06,2010-05-05,42.506303919144074,-2.8009443500071773,1165.8699951171875,TQQQ,TQQQ,,-0.09796646813242404,0.7157945161407612
2010-05-07,2010-05-06,33.36599126991784,-5.269951483748658,1128.1500244140625,TQQQ,TQQQ,,-0.07277244987396736,0.663704395594847
2010-05-10,2010-05-07,30.167446561087345,-4.191042648867841,1110.8800048828125,wait_mix,wait_mix,,0.13615662418551144,0.7540721455561266
2010-05-11,2010-05-10,45.950647763084966,-1.131774123460226,1159.72998046875,TQQQ,TQQQ,,0.04393579597549713,0.7872029054940859
2010-05-12,2010-05-11,45.06594826711506,-1.1766300352295462,1155.7900390625,TQQQ,TQQQ,,0.05388133650285276,0.8296184501410361
2010-05-13,2010-05-12,49.302713581620566,-0.5152794605573614,1171.6700439453125,TQQQ,TQQQ,,-0.045206145509546714,0.7921145977665558
2010-05-14,2010-05-13,45.887416666214335,-0.9582570661611433,1157.43994140625,TQQQ,TQQQ,,-0.0615335894931448,0.7433729432760611
2010-05-17,2010-05-14,41.18879931336986,-1.6423847296091396,1135.6800537109375,TQQQ,TQQQ,,0.013515265897702022,0.7534198262655945
2010-05-18,2010-05-17,41.561905443424905,-1.4156905891969684,1136.93994140625,TQQQ,TQQQ,,-0.038221865053618465,0.7246227153373502
2010-05-19,2010-05-18,38.217010096785486,-1.7960490344642368,1120.800048828125,TQQQ,TQQQ,,-0.026392619682778395,0.7054980235979493
2010-05-20,2010-05-19,37.07231792340099,-1.7654748846894806,1115.050048828125,wait_mix,wait_mix,,-0.05305499200339925,0.6680678315975461
2010-05-21,2010-05-20,29.805613949410798,-2.8712533019658806,1071.5899658203125,wait_mix,low_rsi_tqqq_priority,enter_low_rsi_tqqq_priority,0.09051829084165375,0.7285401898800458
2010-05-24,2010-05-21,34.89669611155401,-1.9190711082480072,1087.68994140625,wait_mix,wait_mix,exit_low_rsi_tqqq_priority,-0.004353422443677091,0.7253685466663012
2010-05-25,2010-05-24,32.67134402645354,-2.0777541184677535,1073.6500244140625,wait_mix,wait_mix,,0.0097384078141185,0.7324324813892721
2010-05-26,2010-05-25,32.79625977247855,-1.8264589885288216,1074.030029296875,wait_mix,wait_mix,,-0.00020345899871243578,0.7322834614099841
2010-05-27,2010-05-26,31.780292321285287,-1.751909124791619,1067.949951171875,wait_mix,wait_mix,,-0.036402248430736805,0.705626696926018
2010-05-28,2010-05-27,42.79976838949596,-0.74367315532343,1103.06005859375,wait_mix,wait_mix,,0.014422598345718685,0.7158036673577981
2010-06-01,2010-05-28,40.0885915638017,-1.0050083842613173,1089.4100341796875,wait_mix,wait_mix,,0.009540208781539272,0.7226325837909829
2010-06-02,2010-06-01,36.662253986178364,-1.3929395625425076,1070.7099609375,wait_mix,wait_mix,,-0.01524656475246422,0.7116149193099732
2010-06-03,2010-06-02,44.25450182402023,-0.5514808529928449,1098.3800048828125,wait_mix,wait_mix,,-0.019541916338342236,0.6977086000917015
2010-06-04,2010-06-03,45.38826878362794,-0.3457689066414298,1102.8299560546875,wait_mix,wait_mix,,0.047706203374559664,0.7309936284638556
2010-06-07,2010-06-04,38.24455193930017,-1.4412603031721332,1064.8800048828125,wait_mix,wait_mix,,0.020371849819412757,0.7458853208818689
2010-06-08,2010-06-07,35.93195506257473,-1.7199225542317809,1050.469970703125,wait_mix,wait_mix,,-0.01005272714288552,0.7383871392711598
2010-06-09,2010-06-08,39.10490175862453,-1.2065186226445852,1062.0,wait_mix,wait_mix,,-0.0016533312455814242,0.7371663407424673
2010-06-10,2010-06-09,37.99586657726027,-1.2851629951649428,1055.68994140625,wait_mix,wait_mix,,-0.03647043123685023,0.7102815664022987
2010-06-11,2010-06-10,46.11958300197054,-0.25656256914331094,1086.8399658203125,wait_mix,wait_mix,,0.025029899854416282,0.7280598428777861
2010-06-14,2010-06-11,47.25677790897838,0.011963710453049102,1091.5999755859375,wait_mix,wait_mix,,-0.009843099353329832,0.7208934775091704
2010-06-15,2010-06-14,46.81638688525978,0.0678467150750724,1089.6300048828125,wait_mix,wait_mix,,-0.0024363286064298384,0.7191371441077261
2010-06-16,2010-06-15,52.95227518077308,1.3426365032694922,1115.22998046875,wait_mix,wait_mix,,0.005938665423996126,0.7234078590005499
2010-06-17,2010-06-16,52.79341583481941,1.5091344203719832,1114.6099853515625,wait_mix,wait_mix,,0.01976023814206096,0.7377025705682393
2010-06-18,2010-06-17,53.14260044258847,1.6397544046519146,1116.0400390625,wait_mix,wait_mix,,0.0008321505396553519,0.7383164501604428
