Date,signal_source,signal_price,signal_sma,signal_below_sma,trigger_monitor_price,trigger_reference_price,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2002-08-21,GSPC,949.3599853515625,1055.3151264190674,True,0.2259639597231448,0.2259639597231448,False,wait_mix,flat,0.0,1.0,0.09307843380987017,1.0930784338098702
2002-08-22,GSPC,962.7000122070312,1054.1153137207032,True,0.2348204665015067,0.2259639597231448,False,wait_mix,wait_mix,-0.009900857626996624,0.9900991423730033,0.0344184929383233,1.1307005461649888
2002-08-23,GSPC,940.8599853515625,1052.71275100708,True,0.2089177594385474,0.2259639597231448,False,wait_mix,wait_mix,-0.014858410254129897,0.975387843123363,-0.10874296857618539,1.0077448122042938
2002-08-26,GSPC,947.9500122070312,1051.309251022339,True,0.2128057876151089,0.2259639597231448,False,wait_mix,wait_mix,0.014854447511317795,0.9898766906422164,0.019506081604502342,1.0274019647476647
2002-08-27,GSPC,934.8200073242188,1049.8713134765626,True,0.1862142152697089,0.2259639597231448,False,wait_mix,wait_mix,0.005672822449269801,0.9954920853549003,-0.1003099960796035,0.9243432776916495
2002-08-28,GSPC,917.8699951171875,1048.3535636901856,True,0.1692049373105031,0.2259639597231448,False,wait_mix,wait_mix,-0.004856296935730688,0.9906576801912472,-0.0834636408875746,0.84719422230555
2002-08-29,GSPC,917.7999877929688,1046.8701885223388,True,0.178279476390945,0.2259639597231448,False,wait_mix,wait_mix,0.0027804561253744744,0.9934121604062841,0.04151077831219002,0.8823619138550438
2002-08-30,GSPC,916.0700073242188,1045.3671882629394,True,0.1674909140264219,0.2259639597231448,False,wait_mix,wait_mix,0.017584421736709255,1.0108807387932435,-0.07643004726926797,0.8149229510705011
2002-09-03,GSPC,878.02001953125,1043.6948135375976,True,0.1446867389428521,0.2259639597231448,False,wait_mix,wait_mix,0.008086736908985585,1.0190554653742254,-0.14812649363938607,0.6942112717421668
2002-09-04,GSPC,893.4000244140625,1042.1635009765625,True,0.1549696345661181,0.2259639597231448,False,wait_mix,wait_mix,0.02453880888680855,1.0440618726841013,0.09309558216709106,0.7588392742319605
2002-09-05,GSPC,879.1500244140625,1040.4945014953614,True,0.1357429357934808,0.2259639597231448,False,wait_mix,wait_mix,0.00193184796610905,1.046078841489338,-0.10152713918354174,0.6817964936190745
2002-09-06,GSPC,893.9199829101562,1039.0341892242432,True,0.1538566680258926,0.2259639597231448,False,wait_mix,wait_mix,0.013299249064974438,1.0599909045439047,0.10012925303366327,0.7500642672461232
2002-09-09,GSPC,902.9600219726562,1037.5596893310546,True,0.1588522351050806,0.2259639597231448,False,wait_mix,wait_mix,-0.01507845531124027,1.0440078790594183,0.03212804572266833,0.7741623663191463
2002-09-10,GSPC,909.5800170898438,1036.1971897125245,True,0.1667558884520004,0.2259639597231448,False,wait_mix,wait_mix,-0.00016617487262298282,1.0438343911830983,0.051001029547639354,0.8136454440384594
2002-09-11,GSPC,909.4500122070312,1034.8855644226073,True,0.1660434949078095,0.2259639597231448,False,wait_mix,wait_mix,0.0017968976901128787,1.0457100547894755,0.016550136197747225,0.8271113869539723
2002-09-12,GSPC,886.9099731445312,1033.3776264190674,True,0.1495060244233147,0.2259639597231448,False,wait_mix,wait_mix,-0.010031539641232956,1.0352199729216192,-0.11089213438511006,0.7353912398804177
2002-09-13,GSPC,889.8099975585938,1031.8630012512208,True,0.1538153779377583,0.2259639597231448,False,wait_mix,wait_mix,0.01519238321850627,1.0509474314656961,0.012760843672165425,0.7447754525304116
2002-09-16,GSPC,891.0999755859375,1030.3493759155274,True,0.1461336116921347,0.2259639597231448,False,wait_mix,wait_mix,0.01008141342513455,1.061542467010385,-0.04988809334900544,0.7076200252305266
2002-09-17,GSPC,873.52001953125,1028.7272506713866,True,0.140835786627148,0.2259639597231448,False,wait_mix,wait_mix,0.003196315763434288,1.0649354919312453,-0.03755500697458337,0.6810453502476393
2002-09-18,GSPC,869.4600219726562,1027.2823757171632,True,0.1397257851811554,0.2259639597231448,False,wait_mix,wait_mix,0.002585664525883179,1.067689057855086,-0.03135433508129931,0.6596916261304141
2002-09-19,GSPC,843.3200073242188,1025.593313598633,True,0.1260071971946599,0.2259639597231448,False,wait_mix,wait_mix,0.005888861360201746,1.073976530692599,-0.1349714482496104,0.5706520919534516
2002-09-20,GSPC,845.3900146484375,1023.8132514953613,True,0.1284707911353214,0.2259639597231448,False,wait_mix,wait_mix,0.013095314247932442,1.0880405908569228,0.01621843177298385,0.5799071739729091
