cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,uvix_exits,uvix_gspc_profit_exit_only,uvix_rsi_exit_only,uvix_rsi_and_gspc_profit_exit,low_rsi_entries,low_rsi_exits,skipped_uvix_entry_days,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,start,end,base_reentry_rule,transition_policy,objective
1.6513714822851053,0.6699870710817502,-0.8050607989173029,6881855.167401936,368,367,338,1,28,15,15,50,40.5,0.8,66.0,61.0,14,1.1,30.0,34.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6513714822851053,0.6699870710817502,-0.8050607989173029,6881855.167401936,368,367,339,1,27,15,15,50,40.5,0.8,66.0,60.5,14,1.1,30.0,34.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6513205564894973,0.6712664759880284,-0.8050607989173026,6879721.155949484,368,367,343,1,23,15,15,50,40.5,0.8,66.0,60.0,14,1.1,30.5,34.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6511751345976076,0.6647650691940272,-0.8050607989173031,6873630.765401682,344,343,300,3,40,13,13,40,40.5,0.9,66.5,63.5,14,1.1,30.5,38.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6505876225055118,0.6714171046790318,-0.8050607989173033,6849076.72234901,356,355,315,3,37,13,13,49,40.5,0.7,66.0,62.5,14,1.1,29.5,38.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6500064044423608,0.6698605010563217,-0.8050607989173031,6824866.708607512,368,367,343,1,23,14,14,50,40.5,0.8,66.0,60.0,14,1.1,29.5,34.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6499326561585468,0.6628951715344779,-0.8050607989173032,6821800.54879948,344,343,309,2,32,13,13,40,40.5,0.9,66.5,62.5,14,1.1,30.0,38.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6499040290095683,0.6672382409585493,-0.8050607989173031,6820610.694193645,359,358,333,1,24,15,15,67,40.5,0.8,66.0,60.0,14,1.15,30.0,34.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.649902644982645,0.6637541010828434,-0.805060798917303,6820553.173636252,344,343,323,1,19,13,13,40,40.5,0.9,66.5,60.0,14,1.1,30.0,38.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.64966054657107,0.6629538174511439,-0.805060798917303,6810498.492566131,344,343,323,1,19,13,13,40,40.5,0.9,66.5,60.0,14,1.1,30.0,37.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6493348964217835,0.6637875160800535,-0.8050607989173033,6796995.72160773,344,343,323,1,19,13,13,40,40.5,0.9,66.5,60.0,14,1.1,30.0,39.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6484519165873048,0.67082408153231,-0.805060798917303,6760510.06131028,368,367,330,1,36,13,13,50,40.5,0.8,66.0,62.5,14,1.1,29.5,38.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6482099507160868,0.6700322563862294,-0.8050607989173031,6750543.894225726,368,367,330,1,36,13,13,50,40.5,0.8,66.0,62.5,14,1.1,29.5,37.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6478844788487899,0.6708571489668002,-0.8050607989173031,6737159.991689356,368,367,330,1,36,13,13,50,40.5,0.8,66.0,62.5,14,1.1,29.5,39.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6473950784844584,0.6625833040343578,-0.8050607989173029,6717081.945168005,344,343,300,3,40,15,15,40,40.5,0.9,66.5,63.5,14,1.1,30.0,33.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6473950784844584,0.6625833040343578,-0.8050607989173029,6717081.945168005,344,343,289,3,51,15,15,40,40.5,0.9,66.5,64.5,14,1.1,30.0,33.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6473950784844584,0.6625833040343578,-0.8050607989173029,6717081.945168005,344,343,303,3,37,15,15,40,40.5,0.9,66.5,63.0,14,1.1,30.0,33.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
