Date,signal_source,signal_price,signal_sma,signal_below_sma,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
1992-08-18,TECH_UNDERLIER,1.4536583916619017,1.5604542015817233,True,False,cash_wait,flat,0.0,1.0,-0.009472897810180797,0.9905271021898192
1992-08-19,TECH_UNDERLIER,1.4492593353730765,1.5595201290179603,True,False,cash_wait,cash_wait,0.0,1.0,-0.009505985993747582,0.9811111654299753
1992-08-20,TECH_UNDERLIER,1.4554218026036498,1.5585356328780906,True,False,cash_wait,cash_wait,0.0,1.0,0.01232905246789641,0.9932073364654006
1992-08-21,TECH_UNDERLIER,1.4422269347406311,1.5574292122708056,True,False,cash_wait,cash_wait,0.0,1.0,-0.027624177001815357,0.9657708012033788
1992-08-24,TECH_UNDERLIER,1.41799545722454,1.5560407247552253,True,False,cash_wait,cash_wait,0.0,1.0,-0.0508416689346849,0.9166694018618112
1992-08-25,TECH_UNDERLIER,1.4259515318836915,1.5545790315527865,True,False,cash_wait,cash_wait,0.0,1.0,0.016393749166214003,0.9316970501042773
1992-08-26,TECH_UNDERLIER,1.4396388700082428,1.5531121176999245,True,False,cash_wait,cash_wait,0.0,1.0,0.028358846778708893,0.9581189039923594
1992-08-27,TECH_UNDERLIER,1.4497759073139995,1.5517501948888417,True,False,cash_wait,cash_wait,0.0,1.0,0.02068675185982809,0.9779392720114599
1992-08-28,TECH_UNDERLIER,1.454617849176508,1.55037196726206,True,False,cash_wait,cash_wait,0.0,1.0,0.00958198574043841,0.9873098721708885
1992-08-31,TECH_UNDERLIER,1.4528582859861285,1.548843153608137,True,False,cash_wait,cash_wait,0.0,1.0,-0.004066291932416245,0.9832951820028851
1992-09-01,TECH_UNDERLIER,1.4629781926674097,1.5473604889282018,True,False,cash_wait,cash_wait,0.0,1.0,0.020460419771303327,1.0034138141857643
1992-09-02,TECH_UNDERLIER,1.4779185508158346,1.546093305306973,True,False,cash_wait,cash_wait,0.0,1.0,0.030201992148726896,1.0337189103237268
1992-09-03,TECH_UNDERLIER,1.4818654780775213,1.5448458979115538,True,False,cash_wait,cash_wait,0.0,1.0,0.007576916856242534,1.0415513125599754
1992-09-04,TECH_UNDERLIER,1.4792354003286912,1.5437435722261599,True,False,cash_wait,cash_wait,0.0,1.0,-0.0057307204902644834,1.035582473111426
1992-09-08,TECH_UNDERLIER,1.4792354003286912,1.5428891521158294,True,False,cash_wait,cash_wait,0.0,1.0,-0.00040369872900341836,1.0351644097832529
1992-09-09,TECH_UNDERLIER,1.4919523472449636,1.5417813176331117,True,False,cash_wait,cash_wait,0.0,1.0,0.02538597329977719,1.0614430658508902
1992-09-10,TECH_UNDERLIER,1.5059625762474926,1.540707118388539,True,False,cash_wait,cash_wait,0.0,1.0,0.027766655574525297,1.09091578987234
1992-09-11,TECH_UNDERLIER,1.5107695058140886,1.5396752069078095,True,False,cash_wait,cash_wait,0.0,1.0,0.00916960170772714,1.10091905316214
1992-09-14,TECH_UNDERLIER,1.539160920055509,1.5388966721884312,False,False,above,cash_wait,0.0,1.0,0.05597560112261431,1.16254365895023
1992-09-15,TECH_UNDERLIER,1.5274081514944091,1.5380765728766927,True,False,cash_wait,above,0.05597560112261431,1.0559756011226142,-0.023313678150588834,1.1354404902494564
1992-09-16,TECH_UNDERLIER,1.5152025464020817,1.537280802919528,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.024376868730195844,1.107762006467696
1992-09-17,TECH_UNDERLIER,1.5230610393907302,1.5364554721334043,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,0.015158087766964798,1.1245535601866425
1992-09-18,TECH_UNDERLIER,1.5313477174578771,1.5357433114276176,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,0.01592121059512988,1.142457814243877
1992-09-21,TECH_UNDERLIER,1.530040404640119,1.5349467865294637,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.0029660484322465565,1.139069229035031
1992-09-22,TECH_UNDERLIER,1.5174031531699606,1.5339460971716894,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.025184463254389503,1.1103823818921925
1992-09-23,TECH_UNDERLIER,1.5156576799320174,1.5327924570371896,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.003857101835120921,1.1060995239693103
1992-09-24,TECH_UNDERLIER,1.52788141135494,1.531759185469628,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,0.023792453939002704,1.132416345945303
1992-09-25,TECH_UNDERLIER,1.5039070364810543,1.5306176323579608,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.04746498775204228,1.0786662179547966
1992-09-28,TECH_UNDERLIER,1.4973486827074773,1.5294815750422832,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.013465127450608329,1.0641418398533695
1992-09-29,TECH_UNDERLIER,1.51003831645613,1.5284542115584048,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,0.025041709806459964,1.09078977099989
1992-09-30,TECH_UNDERLIER,1.512659210658145,1.5272766350261606,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,0.004829435181542922,1.096057669495624
1992-10-01,TECH_UNDERLIER,1.505234822293172,1.5261137284978055,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.01509203918181949,1.0795159242020624
1992-10-02,TECH_UNDERLIER,1.4908096050809603,1.524934023878646,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.029120123971273913,1.048080286660334
1992-10-05,TECH_UNDERLIER,1.4776719775847564,1.5238754397269623,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.026814741338664492,1.0199762848713838
1992-10-06,TECH_UNDERLIER,1.4881994059769181,1.5229711332772928,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,0.02099050523780184,1.0413861024214104
1992-10-07,TECH_UNDERLIER,1.4860089919599009,1.52178972923928,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,-0.004810533806154902,1.0363764793704522
1992-10-08,TECH_UNDERLIER,1.5096720279123486,1.5208517751057928,True,False,cash_wait,cash_wait,0.0,1.0559756011226142,0.0473816749137586,1.0854817328042485
