label,uvix_entry_rsi,uvix_exit_rsi_gap,uvix_exit_rsi,bb_window,uvix_bb_min_z,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,uvix_exits,uvix_day_share,episode_count,episode_win_rate,episode_avg_return_pct,delta_vs_canonical_cagr,delta_vs_canonical_annualized_vol,delta_vs_canonical_max_drawdown,delta_vs_canonical_final_multiple,delta_vs_canonical_uvix_entries,delta_vs_canonical_uvix_exits,delta_vs_canonical_uvix_day_share,delta_vs_canonical_episode_count,delta_vs_canonical_episode_win_rate,delta_vs_canonical_episode_avg_return_pct
canonical (RSI+BB joint grid内の組),69.5,1.0,68.5,20.0,1.6,1.2067517432340442,0.6306481523337262,-0.6568036304375768,355244.52569269954,99.0,98.0,0.0702875399361022,87.0,0.7126436781609196,4.587519790710594,,,,,,,,,,
joint grid CAGR 1位 (説明用上位行),68.0,2.0,66.0,23.0,1.65,1.2860393772918997,0.6418789116926081,-0.6480331659226761,628147.9085383463,137.0,136.0,0.0987957729171786,112.0,0.7053571428571429,3.790807423963464,0.07928763405785544,0.011230759358881959,0.008770464514900711,272903.38284564676,38.0,38.0,0.028508232981076395,25.0,-0.007286535303776653,-0.7967123667471303
