entry_rule,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,uvix_exits,uvix_day_share,low_rsi_entries,low_rsi_exits,low_rsi_day_share,episode_count,episode_win_rate,episode_avg_return_pct,episode_median_return_pct,bb_window,bb_min_z,bb_window_short,bb_window_long,bb_min_z_both,cagr_delta_vs_rsi_only
rsi_only_ge_69p5,1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,127,126,0.08871958712214303,11,11,0.005898255099533055,97,0.6701030927835051,3.6372703711577845,3.0941502907246177,,,,,,0.0
rsi_and_bb20_z_gt_1p60,1.2067517432340442,0.6306481523337262,-0.6568036304375768,355244.52569269954,99,98,0.07028753993610223,11,11,0.005898255099533055,87,0.7126436781609196,4.587519790710594,3.6407004553887123,,,,,,0.14219383036125288
bb_only,0.04173139197491249,0.9337488078597418,-0.9361320814057841,1.935080428279324,1715,1714,0.5165888424674367,11,11,0.005898255099533055,505,0.500990099009901,-1.040299583721228,0.04712907288468848,5.0,0.5,,,,-1.0228265208978788
bb_only,0.0961522739957481,0.9254997461320037,-0.9142926829741109,4.403401495002724,1669,1668,0.5050380928975178,11,11,0.005898255099533055,511,0.49510763209393344,-0.9681622228675613,-0.04491666436690078,5.0,0.55,,,,-0.9684056388770432
bb_only,0.06845110118210274,0.9089176835528409,-0.912244236664897,2.9127038444601085,1621,1620,0.49275006144015726,11,11,0.005898255099533055,510,0.48823529411764705,-1.1688226690674886,-0.07727552199594534,5.0,0.6,,,,-0.9961068116906886
bb_only,0.08694684966763155,0.8977707961345269,-0.9330397435180856,3.842812809083601,1586,1585,0.48267387564512165,11,11,0.005898255099533055,513,0.47953216374269003,-1.2510061630047535,-0.21107445151159476,5.0,0.65,,,,-0.9776110632051598
bb_only,0.10503176059933272,0.8934145409005438,-0.9273844668513203,5.016082677261212,1548,1547,0.4721061685917916,11,11,0.005898255099533055,517,0.48936170212765956,-1.14113956678188,-0.06928821805826102,5.0,0.7,,,,-0.9595261522734586
bb_only,0.15410685318551898,0.8895333163746204,-0.8676956202097261,10.11755596052504,1493,1492,0.45809781273040057,11,11,0.005898255099533055,523,0.4818355640535373,-1.0703199285734366,-0.13394469042221635,5.0,0.75,,,,-0.9104510596872724
bb_only,0.21153410621400326,0.8830152812731294,-0.8813270608745438,22.16185466115201,1446,1445,0.44556402064389283,11,11,0.005898255099533055,530,0.4811320754716981,-0.9248131088089732,-0.1292678212605758,5.0,0.8,,,,-0.8530238066587881
bb_only,0.2613452517876429,0.8749313108982535,-0.8333857305069372,42.47648935600453,1395,1394,0.4327844679282379,11,11,0.005898255099533055,528,0.4810606060606061,-0.8618401312035305,-0.15773860334460377,5.0,0.85,,,,-0.8032126610851484
bb_only,0.37933198486171804,0.8651853627707934,-0.8611191724064181,179.97320077463857,1344,1343,0.416564266404522,11,11,0.005898255099533055,535,0.4934579439252336,-0.6724250122911339,-0.06595972753575818,5.0,0.9,,,,-0.6852259280110733
bb_only,0.41010858774905046,0.8472495529475099,-0.9151807506839912,257.01293795473646,1275,1274,0.39886950110592284,11,11,0.005898255099533055,543,0.4953959484346225,-0.4342607495391749,-0.03943902316509984,5.0,0.95,,,,-0.6544493251237409
bb_only,0.4390939067856583,0.8389545062808127,-0.8332235968040766,356.9748745396468,1215,1214,0.38264929958220695,11,11,0.005898255099533055,545,0.4954128440366973,-0.27228302466360693,-0.03943902316509984,5.0,1.0,,,,-0.625464006087133
bb_only,0.586682958748012,0.8343010966839629,-0.8091984321368608,1726.9492088425563,1165,1164,0.3681494224625215,11,11,0.005898255099533055,553,0.5009041591320073,-0.06565808134650583,0.18134593406904376,5.0,1.05,,,,-0.4778749541247793
bb_only,0.5808657476219157,0.8271217580263795,-0.8112517496083088,1627.5062763138003,1112,1111,0.3521749815679528,11,11,0.005898255099533055,558,0.5053763440860215,0.08574654346302796,0.19060924925737854,5.0,1.1,,,,-0.48369216525087566
bb_only,0.5902922322975614,0.8144853969750767,-0.7888870202752801,1791.484000567026,1053,1052,0.337183583189973,11,11,0.005898255099533055,554,0.4981949458483754,-0.01118503042763121,-0.03499658077517065,5.0,1.15,,,,-0.4742656805752299
bb_only,0.5915238271344951,0.7926830002953691,-0.7913261443514694,1814.0180923045332,976,975,0.31604816908331285,11,11,0.005898255099533055,548,0.5145985401459854,0.0005993638688141062,0.31662074470151236,5.0,1.2,,,,-0.4730340857382962
bb_only,0.6400761325868016,0.7842965204614214,-0.7703807282472955,2946.942281142125,899,898,0.2961415581223888,11,11,0.005898255099533055,530,0.5132075471698113,0.14291092049828735,0.31662074470151236,5.0,1.25,,,,-0.4244817802859897
